profile,actor,DPS,increase,
2T,Flask_of_Alchemical_Chaos_3-Tempered_Potion_3,3543624,5.83%,
2T,Flask_of_Tempered_Aggression_3-Tempered_Potion_3,3527748,5.36%,
2T,Flask_of_Tempered_Swiftness_3-Tempered_Potion_3,3526702,5.33%,
2T,Flask_of_Tempered_Versatility_3-Tempered_Potion_3,3521277,5.17%,
2T,Flask_of_Tempered_Mastery_3-Tempered_Potion_3,3518259,5.08%,
2T,Flask_of_Tempered_Aggression_3-Potion_of_Unwavering_Focus_3,3487475,4.16%,
2T,Flask_of_Alchemical_Chaos_3-Potion_of_Unwavering_Focus_3,3482573,4.01%,
2T,Flask_of_Tempered_Swiftness_3-Potion_of_Unwavering_Focus_3,3481100,3.97%,
2T,Flask_of_Tempered_Versatility_3-Potion_of_Unwavering_Focus_3,3480480,3.95%,
2T,Flask_of_Tempered_Mastery_3-Potion_of_Unwavering_Focus_3,3477323,3.85%,
2T,Flask_of_Tempered_Aggression_3,3474799,3.78%,
2T,Flask_of_Tempered_Versatility_3,3467940,3.57%,
2T,Flask_of_Tempered_Swiftness_3,3467330,3.56%,
2T,Flask_of_Alchemical_Chaos_3,3467295,3.56%,
2T,Flask_of_Tempered_Aggression_2,3463331,3.44%,
2T,Flask_of_Alchemical_Chaos_2,3459543,3.32%,
2T,Flask_of_Tempered_Swiftness_2,3458758,3.30%,
2T,Flask_of_Tempered_Mastery_3,3458741,3.30%,
2T,Flask_of_Tempered_Versatility_2,3458707,3.30%,
2T,Flask_of_Tempered_Aggression_1,3454353,3.17%,
2T,Flask_of_Tempered_Mastery_2,3451333,3.08%,
2T,Flask_of_Tempered_Swiftness_1,3449763,3.03%,
2T,Flask_of_Alchemical_Chaos_1,3449218,3.02%,
2T,Flask_of_Tempered_Versatility_1,3448864,3.00%,
2T,Flask_of_Tempered_Mastery_1,3442238,2.81%,
2T,Tempered_Potion_3,3427341,2.36%,
2T,Tempered_Potion_2,3420027,2.14%,
2T,Tempered_Potion_1,3413708,1.95%,
2T,Potion_of_Unwavering_Focus_3,3367601,0.58%,
2T,Potion_of_Unwavering_Focus_2,3360336,0.36%,
2T,Potion_of_Unwavering_Focus_1,3357161,0.27%,
2T,Base,3348259,0.00%,
