profile,actor,DPS,increase,
4T,Flask_of_Alchemical_Chaos_3-Tempered_Potion_3,2727585,6.22%,
4T,Flask_of_Tempered_Swiftness_3-Tempered_Potion_3,2721899,6.00%,
4T,Flask_of_Tempered_Mastery_3-Tempered_Potion_3,2714428,5.71%,
4T,Flask_of_Tempered_Versatility_3-Tempered_Potion_3,2706623,5.41%,
4T,Flask_of_Tempered_Aggression_3-Tempered_Potion_3,2705230,5.35%,
4T,Flask_of_Tempered_Swiftness_3-Potion_of_Unwavering_Focus_3,2683102,4.49%,
4T,Flask_of_Tempered_Mastery_3-Potion_of_Unwavering_Focus_3,2679127,4.34%,
4T,Flask_of_Alchemical_Chaos_3-Potion_of_Unwavering_Focus_3,2674452,4.16%,
4T,Flask_of_Tempered_Swiftness_3,2672206,4.07%,
4T,Flask_of_Tempered_Versatility_3-Potion_of_Unwavering_Focus_3,2670474,4.00%,
4T,Flask_of_Tempered_Aggression_3-Potion_of_Unwavering_Focus_3,2667970,3.90%,
4T,Flask_of_Tempered_Mastery_3,2667651,3.89%,
4T,Flask_of_Alchemical_Chaos_3,2663156,3.72%,
4T,Flask_of_Tempered_Swiftness_2,2663046,3.71%,
4T,Flask_of_Tempered_Mastery_2,2657902,3.51%,
4T,Flask_of_Tempered_Versatility_3,2657626,3.50%,
4T,Flask_of_Tempered_Aggression_3,2654318,3.37%,
4T,Flask_of_Alchemical_Chaos_2,2654182,3.37%,
4T,Flask_of_Tempered_Swiftness_1,2653399,3.34%,
4T,Flask_of_Tempered_Mastery_1,2650683,3.23%,
4T,Flask_of_Tempered_Versatility_2,2649819,3.20%,
4T,Flask_of_Tempered_Aggression_2,2648113,3.13%,
4T,Flask_of_Alchemical_Chaos_1,2647605,3.11%,
4T,Flask_of_Tempered_Versatility_1,2643135,2.94%,
4T,Flask_of_Tempered_Aggression_1,2642528,2.91%,
4T,Tempered_Potion_3,2633281,2.55%,
4T,Tempered_Potion_2,2627982,2.35%,
4T,Tempered_Potion_1,2621316,2.09%,
4T,Potion_of_Unwavering_Focus_3,2579919,0.47%,
4T,Potion_of_Unwavering_Focus_2,2577650,0.39%,
4T,Potion_of_Unwavering_Focus_1,2575357,0.30%,
4T,Base,2567757,0.00%,
