profile,actor,DPS,increase,
4T,Flask_of_Alchemical_Chaos_3-Tempered_Potion_3,2557005,6.10%,
4T,Flask_of_Tempered_Mastery_3-Tempered_Potion_3,2543612,5.55%,
4T,Flask_of_Tempered_Swiftness_3-Tempered_Potion_3,2543208,5.53%,
4T,Flask_of_Tempered_Aggression_3-Tempered_Potion_3,2540314,5.41%,
4T,Flask_of_Tempered_Versatility_3-Tempered_Potion_3,2539884,5.39%,
4T,Flask_of_Tempered_Swiftness_3-Potion_of_Unwavering_Focus_3,2513789,4.31%,
4T,Flask_of_Tempered_Mastery_3-Potion_of_Unwavering_Focus_3,2510250,4.16%,
4T,Flask_of_Alchemical_Chaos_3-Potion_of_Unwavering_Focus_3,2509293,4.12%,
4T,Flask_of_Tempered_Aggression_3-Potion_of_Unwavering_Focus_3,2506703,4.02%,
4T,Flask_of_Tempered_Versatility_3-Potion_of_Unwavering_Focus_3,2505162,3.95%,
4T,Flask_of_Tempered_Swiftness_3,2502904,3.86%,
4T,Flask_of_Alchemical_Chaos_3,2498650,3.68%,
4T,Flask_of_Tempered_Mastery_3,2498058,3.66%,
4T,Flask_of_Tempered_Aggression_3,2497186,3.62%,
4T,Flask_of_Tempered_Versatility_3,2495274,3.54%,
4T,Flask_of_Tempered_Swiftness_2,2494961,3.53%,
4T,Flask_of_Alchemical_Chaos_2,2492205,3.42%,
4T,Flask_of_Tempered_Swiftness_1,2490792,3.36%,
4T,Flask_of_Tempered_Mastery_2,2490758,3.36%,
4T,Flask_of_Tempered_Aggression_2,2489885,3.32%,
4T,Flask_of_Tempered_Versatility_2,2488809,3.27%,
4T,Flask_of_Alchemical_Chaos_1,2485546,3.14%,
4T,Flask_of_Tempered_Mastery_1,2485162,3.12%,
4T,Flask_of_Tempered_Aggression_1,2481643,2.98%,
4T,Flask_of_Tempered_Versatility_1,2480290,2.92%,
4T,Tempered_Potion_3,2468705,2.44%,
4T,Tempered_Potion_2,2465140,2.29%,
4T,Tempered_Potion_1,2458809,2.03%,
4T,Potion_of_Unwavering_Focus_3,2420451,0.44%,
4T,Potion_of_Unwavering_Focus_2,2419363,0.39%,
4T,Potion_of_Unwavering_Focus_1,2416774,0.29%,
4T,Base,2409888,0.00%,
