profile,actor,DPS,increase,
2T,Crystallized_Augment_Rune,1313114,1.01%,
2T,Chippy_Tea,1308923,0.68%,
2T,Zesty_Nibblers,1308147,0.62%,
2T,Salt_Baked_Seafood,1307923,0.61%,
2T,Deepfin_Patty,1307872,0.60%,
2T,Sweet_and_Spicy_Soup,1307691,0.59%,
2T,Marinated_Tenderloins,1307688,0.59%,
2T,Fish_and_Chips,1307543,0.58%,
2T,Fiery_Fish_Sticks,1307285,0.56%,
2T,Ginger_Glazed_Fillet,1307205,0.55%,
2T,Salty_Dog,1307155,0.55%,
2T,Feast_of_the_Divine_Day,1300314,0.02%,
2T,Base,1300041,0.00%,
2T,Stuffed_Cave_Peppers,1299841,-0.02%,
2T,Feast_of_the_Midnight_Masquerade,1299743,-0.02%,
