profile,actor,DPS,increase,
2T,Deepfin_Patty,7536023,0.62%,
2T,Sweet_and_Spicy_Soup,7533323,0.58%,
2T,Salt_Baked_Seafood,7533213,0.58%,
2T,Marinated_Tenderloins,7532275,0.57%,
2T,Beledars_Bounty,7532090,0.56%,
2T,Crystallized_Augment_Rune,7530669,0.54%,
2T,Chippy_Tea,7530147,0.54%,
2T,Fish_and_Chips,7530093,0.54%,
2T,Zesty_Nibblers,7521366,0.42%,
2T,GingerGlazed_Fillet,7517159,0.36%,
2T,Salty_Dog,7516372,0.35%,
2T,Fiery_Fish_Sticks,7516237,0.35%,
2T,Feast_of_the_Divine_Day,7514272,0.33%,
2T,Stuffed_Cave_Peppers,7504715,0.20%,
2T,Base,7489854,0.00%,
