profile,actor,DPS,increase,
Dungeons-Route,Crystallized_Augment_Rune,1907823,0.82%,
Dungeons-Route,Beledars_Bounty,1902312,0.53%,
Dungeons-Route,Salt_Baked_Seafood,1902091,0.52%,
Dungeons-Route,Chippy_Tea,1902081,0.52%,
Dungeons-Route,Deepfin_Patty,1901917,0.51%,
Dungeons-Route,Marinated_Tenderloins,1901898,0.51%,
Dungeons-Route,Fish_and_Chips,1901834,0.51%,
Dungeons-Route,Feast_of_the_Divine_Day,1901628,0.50%,
Dungeons-Route,Sweet_and_Spicy_Soup,1901492,0.49%,
Dungeons-Route,Salty_Dog,1899337,0.37%,
Dungeons-Route,Zesty_Nibblers,1899323,0.37%,
Dungeons-Route,Fiery_Fish_Sticks,1898979,0.36%,
Dungeons-Route,GingerGlazed_Fillet,1898508,0.33%,
Dungeons-Route,Stuffed_Cave_Peppers,1896940,0.25%,
Dungeons-Route,Base,1892256,0.00%,
