profile,actor,DPS,increase,
Single,Crystallized_Augment_Rune,1116571,1.07%,
Single,Salty_Dog,1111867,0.64%,
Single,Chippy_Tea,1111682,0.63%,
Single,Marinated_Tenderloins,1111628,0.62%,
Single,Fish_and_Chips,1111273,0.59%,
Single,Ginger_Glazed_Fillet,1111250,0.59%,
Single,Deepfin_Patty,1110980,0.56%,
Single,Sweet_and_Spicy_Soup,1110819,0.55%,
Single,Zesty_Nibblers,1110808,0.55%,
Single,Salt_Baked_Seafood,1110760,0.54%,
Single,Fiery_Fish_Sticks,1110684,0.54%,
Single,Stuffed_Cave_Peppers,1105049,0.03%,
Single,Feast_of_the_Divine_Day,1104811,0.00%,
Single,Base,1104761,0.00%,
Single,Feast_of_the_Midnight_Masquerade,1104566,-0.02%,
