profile,actor,DPS,increase,
4T,Weapon_Councils_Guile_3,4923814,1.30%,
4T,Weapon_Oathsworns_Tenacity_3,4920929,1.25%,
4T,Weapon_Stormriders_Fury_3,4917840,1.18%,
4T,Weapon_Councils_Guile_2,4914609,1.12%,
4T,Weapon_Stonebound_Artistry_3,4912523,1.07%,
4T,Weapon_Stormriders_Fury_2,4912299,1.07%,
4T,Legs_Daybreak_Spellthread_3,4911992,1.06%,
4T,Weapon_Oathsworns_Tenacity_2,4909027,1.00%,
4T,Weapon_Councils_Guile_1,4908196,0.98%,
4T,Legs_Sunset_Spellthread_3,4907729,0.97%,
4T,Weapon_Stonebound_Artistry_2,4907101,0.96%,
4T,Weapon_Authority_of_Radiant_Power_3,4906485,0.95%,
4T,Legs_Charged_Armor_Kit_3,4904343,0.90%,
4T,Weapon_Oathsworns_Tenacity_1,4903274,0.88%,
4T,Legs_Sunset_Spellthread_2,4903179,0.88%,
4T,Legs_Daybreak_Spellthread_2,4902569,0.87%,
4T,Weapon_Stormriders_Fury_1,4902040,0.86%,
4T,Weapon_Authority_of_Radiant_Power_2,4901592,0.85%,
4T,Legs_Charged_Armor_Kit_2,4898730,0.79%,
4T,Chest_Crystalline_Radiance_3,4898173,0.78%,
4T,Weapon_Stonebound_Artistry_1,4898152,0.78%,
4T,Legs_Sunset_Spellthread_1,4896560,0.74%,
4T,Legs_Daybreak_Spellthread_1,4896504,0.74%,
4T,Legs_Weavercloth_Spellthread_3,4894287,0.70%,
4T,Chest_Crystalline_Radiance_2,4894004,0.69%,
4T,Weapon_Authority_of_Radiant_Power_1,4891115,0.63%,
4T,Legs_Charged_Armor_Kit_1,4890291,0.61%,
4T,Legs_Weavercloth_Spellthread_2,4888726,0.58%,
4T,Chest_Crystalline_Radiance_1,4888542,0.58%,
4T,Chest_Councils_Intellect_3,4887853,0.56%,
4T,Temp_Weapon_Algari_Mana_Oil_3,4887683,0.56%,
4T,Weapon_Authority_of_the_Depths_3,4887449,0.56%,
4T,Temp_Weapon_Algari_Mana_Oil_2,4886229,0.53%,
4T,Legs_Weavercloth_Spellthread_1,4885560,0.52%,
4T,Weapon_Authority_of_the_Depths_2,4885181,0.51%,
4T,Chest_Councils_Intellect_2,4884475,0.50%,
4T,Ring_Radiant_Haste_3,4884006,0.49%,
4T,Temp_Weapon_Algari_Mana_Oil_1,4883435,0.47%,
4T,Ring_Radiant_Critical_Strike_3,4881441,0.43%,
4T,Ring_Radiant_Versatility_3,4880527,0.41%,
4T,Weapon_Authority_of_Storms_2,4880060,0.40%,
4T,Ring_Cursed_Critical_Strike_3,4879583,0.39%,
4T,Weapon_Authority_of_the_Depths_1,4878836,0.38%,
4T,Ring_Radiant_Critical_Strike_2,4878374,0.37%,
4T,Ring_Cursed_Haste_3,4878013,0.36%,
4T,Chest_Councils_Intellect_1,4877945,0.36%,
4T,Ring_Radiant_Haste_2,4877776,0.36%,
4T,Ring_Cursed_Versatility_3,4877186,0.35%,
4T,Ring_Radiant_Versatility_2,4877159,0.34%,
4T,Ring_Radiant_Mastery_3,4876227,0.33%,
4T,Ring_Cursed_Versatility_2,4876200,0.33%,
4T,Ring_Cursed_Mastery_3,4876157,0.32%,
4T,Weapon_Authority_of_Storms_3,4876017,0.32%,
4T,Ring_Radiant_Critical_Strike_1,4875165,0.30%,
4T,Ring_Cursed_Mastery_2,4874949,0.30%,
4T,Ring_Cursed_Mastery_1,4874460,0.29%,
4T,Ring_Radiant_Versatility_1,4874447,0.29%,
4T,Ring_Cursed_Critical_Strike_1,4874313,0.29%,
4T,Ring_Cursed_Critical_Strike_2,4874204,0.28%,
4T,Ring_Radiant_Mastery_1,4874037,0.28%,
4T,Ring_Cursed_Haste_2,4873449,0.27%,
4T,Ring_Cursed_Versatility_1,4873397,0.27%,
4T,Ring_Glimmering_Versatility_2,4873222,0.26%,
4T,Weapon_Authority_of_Storms_1,4872731,0.25%,
4T,Ring_Glimmering_Critical_Strike_3,4872381,0.25%,
4T,Ring_Cursed_Haste_1,4872129,0.24%,
4T,Ring_Glimmering_Versatility_3,4872035,0.24%,
4T,Ring_Glimmering_Mastery_3,4871940,0.24%,
4T,Ring_Radiant_Mastery_2,4871704,0.23%,
4T,Ring_Radiant_Haste_1,4871646,0.23%,
4T,Ring_Glimmering_Critical_Strike_1,4870444,0.21%,
4T,Ring_Glimmering_Haste_2,4870225,0.20%,
4T,Ring_Glimmering_Critical_Strike_2,4869953,0.20%,
4T,Ring_Glimmering_Mastery_1,4869776,0.19%,
4T,Ring_Glimmering_Haste_3,4869745,0.19%,
4T,Ring_Glimmering_Mastery_2,4868595,0.17%,
4T,Ring_Glimmering_Versatility_1,4868257,0.16%,
4T,Ring_Glimmering_Haste_1,4867639,0.15%,
4T,Temp_Weapon_Oil_of_Deep_Toxins_3,4864488,0.08%,
4T,Temp_Weapon_Oil_of_Deep_Toxins_2,4864232,0.08%,
4T,Temp_Weapon_Oil_of_Deep_Toxins_1,4863771,0.07%,
4T,Base,4860403,0.00%,
