profile,actor,DPS,increase,
4T,Weapon_Oathsworns_Tenacity_3,12414157,1.31%,
4T,Weapon_Stormriders_Fury_3,12398269,1.18%,
4T,Weapon_Stonebound_Artistry_3,12391025,1.12%,
4T,Weapon_Councils_Guile_3,12387419,1.09%,
4T,Weapon_Oathsworns_Tenacity_2,12383499,1.06%,
4T,Weapon_Stormriders_Fury_2,12380675,1.04%,
4T,Weapon_Stonebound_Artistry_2,12375963,1.00%,
4T,Weapon_Councils_Guile_2,12369856,0.95%,
4T,Weapon_Oathsworns_Tenacity_1,12366619,0.92%,
4T,Weapon_Stormriders_Fury_1,12358734,0.86%,
4T,Weapon_Stonebound_Artistry_1,12355394,0.83%,
4T,Weapon_Councils_Guile_1,12349729,0.79%,
4T,Legs_Daybreak_Spellthread_3,12347449,0.77%,
4T,Legs_Sunset_Spellthread_3,12340908,0.71%,
4T,Legs_Charged_Armor_Kit_3,12337561,0.69%,
4T,Legs_Daybreak_Spellthread_2,12335737,0.67%,
4T,Weapon_Authority_of_Radiant_Power_3,12333743,0.66%,
4T,Chest_Crystalline_Radiance_3,12328263,0.61%,
4T,Weapon_Authority_of_Radiant_Power_2,12326966,0.60%,
4T,Legs_Sunset_Spellthread_2,12326935,0.60%,
4T,Legs_Charged_Armor_Kit_2,12326033,0.59%,
4T,Temp_Weapon_Algari_Mana_Oil_3,12319972,0.54%,
4T,Legs_Daybreak_Spellthread_1,12317721,0.53%,
4T,Temp_Weapon_Algari_Mana_Oil_2,12316210,0.51%,
4T,Chest_Crystalline_Radiance_2,12316039,0.51%,
4T,Legs_Sunset_Spellthread_1,12315161,0.50%,
4T,Weapon_Authority_of_Radiant_Power_1,12312845,0.49%,
4T,Legs_Charged_Armor_Kit_1,12312226,0.48%,
4T,Legs_Weavercloth_Spellthread_3,12311819,0.48%,
4T,Temp_Weapon_Algari_Mana_Oil_1,12311765,0.48%,
4T,Legs_Weavercloth_Spellthread_2,12307496,0.44%,
4T,Chest_Crystalline_Radiance_1,12307087,0.44%,
4T,Ring_Radiant_Haste_3,12304688,0.42%,
4T,Chest_Councils_Intellect_3,12301865,0.40%,
4T,Ring_Cursed_Versatility_3,12300144,0.38%,
4T,Ring_Radiant_Versatility_3,12299785,0.38%,
4T,Ring_Radiant_Critical_Strike_3,12298259,0.37%,
4T,Ring_Radiant_Haste_2,12298130,0.37%,
4T,Chest_Councils_Intellect_2,12298031,0.36%,
4T,Ring_Cursed_Mastery_3,12296728,0.35%,
4T,Ring_Radiant_Mastery_3,12296306,0.35%,
4T,Ring_Cursed_Haste_3,12295875,0.35%,
4T,Ring_Cursed_Versatility_2,12295766,0.35%,
4T,Ring_Radiant_Versatility_2,12295380,0.34%,
4T,Legs_Weavercloth_Spellthread_1,12293580,0.33%,
4T,Weapon_Authority_of_the_Depths_3,12292089,0.32%,
4T,Ring_Radiant_Haste_1,12291866,0.31%,
4T,Ring_Cursed_Haste_2,12291849,0.31%,
4T,Ring_Radiant_Versatility_1,12291445,0.31%,
4T,Ring_Glimmering_Versatility_3,12290697,0.30%,
4T,Ring_Radiant_Critical_Strike_1,12290487,0.30%,
4T,Ring_Radiant_Critical_Strike_2,12290055,0.30%,
4T,Ring_Radiant_Mastery_2,12289757,0.30%,
4T,Ring_Radiant_Mastery_1,12289498,0.29%,
4T,Ring_Cursed_Critical_Strike_3,12289064,0.29%,
4T,Chest_Councils_Intellect_1,12288923,0.29%,
4T,Ring_Glimmering_Haste_3,12288722,0.29%,
4T,Ring_Cursed_Versatility_1,12287861,0.28%,
4T,Weapon_Authority_of_the_Depths_2,12287604,0.28%,
4T,Ring_Cursed_Mastery_2,12287557,0.28%,
4T,Ring_Cursed_Mastery_1,12285231,0.26%,
4T,Ring_Cursed_Haste_1,12284922,0.26%,
4T,Ring_Cursed_Critical_Strike_2,12284914,0.26%,
4T,Ring_Glimmering_Critical_Strike_3,12282675,0.24%,
4T,Ring_Cursed_Critical_Strike_1,12281349,0.23%,
4T,Weapon_Authority_of_Storms_2,12280389,0.22%,
4T,Ring_Glimmering_Critical_Strike_2,12279823,0.22%,
4T,Ring_Glimmering_Mastery_3,12279730,0.22%,
4T,Weapon_Authority_of_the_Depths_1,12278848,0.21%,
4T,Weapon_Authority_of_Storms_3,12278420,0.20%,
4T,Ring_Glimmering_Haste_2,12277737,0.20%,
4T,Ring_Glimmering_Versatility_1,12277112,0.19%,
4T,Ring_Glimmering_Versatility_2,12276913,0.19%,
4T,Ring_Glimmering_Critical_Strike_1,12276191,0.19%,
4T,Ring_Glimmering_Mastery_2,12275427,0.18%,
4T,Ring_Glimmering_Mastery_1,12274892,0.18%,
4T,Ring_Glimmering_Haste_1,12274753,0.17%,
4T,Weapon_Authority_of_Storms_1,12272364,0.15%,
4T,Temp_Weapon_Oil_of_Deep_Toxins_2,12263781,0.08%,
4T,Temp_Weapon_Oil_of_Deep_Toxins_1,12259978,0.05%,
4T,Temp_Weapon_Oil_of_Deep_Toxins_3,12257954,0.04%,
4T,Base,12253379,0.00%,
