profile,actor,DPS,increase,
Composite,Weapon_Authority_of_the_Depths_3,1468096,1.60%,
Composite,Weapon_Authority_of_Radiant_Power_3,1466859,1.52%,
Composite,Weapon_Stonebound_Artistry_3,1464708,1.37%,
Composite,Weapon_Authority_of_the_Depths_2,1464337,1.34%,
Composite,Weapon_Authority_of_Radiant_Power_2,1463875,1.31%,
Composite,Weapon_Oathsworns_Tenacity_3,1462941,1.25%,
Composite,Weapon_Councils_Guile_3,1462791,1.24%,
Composite,Weapon_Stonebound_Artistry_2,1461929,1.18%,
Composite,Weapon_Stormriders_Fury_3,1461790,1.17%,
Composite,Weapon_Authority_of_Storms_3,1460865,1.10%,
Composite,Weapon_Councils_Guile_2,1460471,1.08%,
Composite,Weapon_Authority_of_Radiant_Power_1,1460167,1.05%,
Composite,Weapon_Oathsworns_Tenacity_2,1460128,1.05%,
Composite,Legs_Daybreak_Spellthread_3,1459812,1.03%,
Composite,Chest_Crystalline_Radiance_3,1459732,1.02%,
Composite,Legs_Sunset_Spellthread_3,1459656,1.02%,
Composite,Weapon_Stormriders_Fury_2,1459197,0.99%,
Composite,Weapon_Stonebound_Artistry_1,1459040,0.98%,
Composite,Weapon_Authority_of_Storms_2,1458864,0.96%,
Composite,Weapon_Authority_of_the_Depths_1,1458600,0.95%,
Composite,Legs_Daybreak_Spellthread_2,1458159,0.92%,
Composite,Legs_Sunset_Spellthread_2,1458106,0.91%,
Composite,Weapon_Councils_Guile_1,1457489,0.87%,
Composite,Chest_Crystalline_Radiance_2,1457449,0.87%,
Composite,Weapon_Oathsworns_Tenacity_1,1457250,0.85%,
Composite,Weapon_Stormriders_Fury_1,1457058,0.84%,
Composite,Legs_Daybreak_Spellthread_1,1456841,0.82%,
Composite,Legs_Sunset_Spellthread_1,1456676,0.81%,
Composite,Legs_Weavercloth_Spellthread_3,1456486,0.80%,
Composite,Legs_Weavercloth_Spellthread_2,1455364,0.72%,
Composite,Chest_Councils_Intellect_3,1455360,0.72%,
Composite,Chest_Crystalline_Radiance_1,1455232,0.71%,
Composite,Legs_Weavercloth_Spellthread_1,1454570,0.67%,
Composite,Weapon_Authority_of_Storms_1,1454531,0.66%,
Composite,Chest_Councils_Intellect_2,1453652,0.60%,
Composite,Temp_Weapon_Algari_Mana_Oil_3,1453604,0.60%,
Composite,Temp_Weapon_Algari_Mana_Oil_2,1452675,0.54%,
Composite,Temp_Weapon_Algari_Mana_Oil_1,1451721,0.47%,
Composite,Chest_Councils_Intellect_1,1451718,0.47%,
Composite,Ring_Radiant_Mastery_3,1450828,0.41%,
Composite,Ring_Cursed_Mastery_3,1450646,0.40%,
Composite,Ring_Radiant_Haste_3,1450593,0.39%,
Composite,Ring_Radiant_Critical_Strike_3,1450539,0.39%,
Composite,Ring_Radiant_Mastery_2,1450487,0.38%,
Composite,Ring_Radiant_Versatility_3,1450421,0.38%,
Composite,Ring_Cursed_Critical_Strike_3,1450244,0.37%,
Composite,Ring_Cursed_Haste_3,1450159,0.36%,
Composite,Ring_Radiant_Haste_2,1449702,0.33%,
Composite,Ring_Radiant_Critical_Strike_2,1449603,0.32%,
Composite,Ring_Radiant_Versatility_2,1449589,0.32%,
Composite,Ring_Cursed_Mastery_2,1449554,0.32%,
Composite,Ring_Cursed_Versatility_3,1449550,0.32%,
Composite,Ring_Radiant_Mastery_1,1449452,0.31%,
Composite,Ring_Cursed_Critical_Strike_2,1449429,0.31%,
Composite,Ring_Cursed_Haste_2,1449380,0.31%,
Composite,Ring_Radiant_Critical_Strike_1,1448887,0.27%,
Composite,Ring_Radiant_Haste_1,1448865,0.27%,
Composite,Ring_Cursed_Versatility_2,1448788,0.27%,
Composite,Ring_Glimmering_Mastery_3,1448782,0.27%,
Composite,Ring_Radiant_Versatility_1,1448764,0.27%,
Composite,Ring_Cursed_Haste_1,1448745,0.26%,
Composite,Ring_Cursed_Mastery_1,1448698,0.26%,
Composite,Ring_Glimmering_Haste_3,1448580,0.25%,
Composite,Ring_Glimmering_Versatility_3,1448415,0.24%,
Composite,Temp_Weapon_Oil_of_Deep_Toxins_2,1448207,0.23%,
Composite,Ring_Glimmering_Mastery_2,1448191,0.23%,
Composite,Ring_Cursed_Critical_Strike_1,1448163,0.22%,
Composite,Ring_Glimmering_Haste_2,1448150,0.22%,
Composite,Ring_Glimmering_Critical_Strike_3,1447974,0.21%,
Composite,Ring_Cursed_Versatility_1,1447948,0.21%,
Composite,Temp_Weapon_Oil_of_Deep_Toxins_3,1447938,0.21%,
Composite,Ring_Glimmering_Critical_Strike_2,1447813,0.20%,
Composite,Ring_Glimmering_Versatility_2,1447786,0.20%,
Composite,Ring_Glimmering_Mastery_1,1447636,0.19%,
Composite,Ring_Glimmering_Haste_1,1447497,0.18%,
Composite,Temp_Weapon_Oil_of_Deep_Toxins_1,1447418,0.17%,
Composite,Ring_Glimmering_Versatility_1,1447265,0.16%,
Composite,Ring_Glimmering_Critical_Strike_1,1446907,0.14%,
Composite,Base,1444930,0.00%,
