profile,actor,DPS,increase,
Dungeons-Slice,Weapon_Authority_of_Radiant_Power_3,1431820,1.40%,
Dungeons-Slice,Weapon_Stormriders_Fury_3,1430533,1.31%,
Dungeons-Slice,Weapon_Councils_Guile_3,1429100,1.21%,
Dungeons-Slice,Weapon_Stonebound_Artistry_3,1429074,1.21%,
Dungeons-Slice,Weapon_Authority_of_Radiant_Power_2,1428253,1.15%,
Dungeons-Slice,Weapon_Oathsworns_Tenacity_3,1428157,1.14%,
Dungeons-Slice,Weapon_Stonebound_Artistry_2,1428014,1.13%,
Dungeons-Slice,Weapon_Stormriders_Fury_2,1427942,1.13%,
Dungeons-Slice,Legs_Sunset_Spellthread_3,1426337,1.01%,
Dungeons-Slice,Legs_Daybreak_Spellthread_3,1426015,0.99%,
Dungeons-Slice,Weapon_Oathsworns_Tenacity_2,1425815,0.97%,
Dungeons-Slice,Weapon_Councils_Guile_2,1425620,0.96%,
Dungeons-Slice,Weapon_Authority_of_Radiant_Power_1,1425149,0.93%,
Dungeons-Slice,Chest_Crystalline_Radiance_3,1425047,0.92%,
Dungeons-Slice,Legs_Sunset_Spellthread_2,1424863,0.91%,
Dungeons-Slice,Weapon_Authority_of_the_Depths_3,1424268,0.86%,
Dungeons-Slice,Weapon_Authority_of_Storms_3,1424214,0.86%,
Dungeons-Slice,Weapon_Oathsworns_Tenacity_1,1424035,0.85%,
Dungeons-Slice,Legs_Daybreak_Spellthread_1,1423989,0.85%,
Dungeons-Slice,Legs_Daybreak_Spellthread_2,1423940,0.84%,
Dungeons-Slice,Weapon_Stormriders_Fury_1,1423939,0.84%,
Dungeons-Slice,Weapon_Stonebound_Artistry_1,1423547,0.81%,
Dungeons-Slice,Weapon_Councils_Guile_1,1423017,0.78%,
Dungeons-Slice,Chest_Crystalline_Radiance_2,1422978,0.77%,
Dungeons-Slice,Legs_Weavercloth_Spellthread_3,1422674,0.75%,
Dungeons-Slice,Legs_Sunset_Spellthread_1,1422404,0.73%,
Dungeons-Slice,Legs_Weavercloth_Spellthread_2,1422157,0.72%,
Dungeons-Slice,Weapon_Authority_of_Storms_2,1421418,0.66%,
Dungeons-Slice,Chest_Councils_Intellect_2,1420853,0.62%,
Dungeons-Slice,Weapon_Authority_of_the_Depths_2,1420815,0.62%,
Dungeons-Slice,Chest_Councils_Intellect_3,1420744,0.62%,
Dungeons-Slice,Chest_Crystalline_Radiance_1,1420703,0.61%,
Dungeons-Slice,Weapon_Authority_of_the_Depths_1,1420529,0.60%,
Dungeons-Slice,Legs_Weavercloth_Spellthread_1,1420028,0.56%,
Dungeons-Slice,Temp_Weapon_Algari_Mana_Oil_3,1419650,0.54%,
Dungeons-Slice,Weapon_Authority_of_Storms_1,1418664,0.47%,
Dungeons-Slice,Chest_Councils_Intellect_1,1418437,0.45%,
Dungeons-Slice,Temp_Weapon_Algari_Mana_Oil_2,1417848,0.41%,
Dungeons-Slice,Temp_Weapon_Algari_Mana_Oil_1,1417338,0.37%,
Dungeons-Slice,Ring_Radiant_Versatility_3,1417084,0.36%,
Dungeons-Slice,Ring_Radiant_Mastery_3,1417024,0.35%,
Dungeons-Slice,Ring_Radiant_Haste_3,1416701,0.33%,
Dungeons-Slice,Ring_Radiant_Critical_Strike_3,1416691,0.33%,
Dungeons-Slice,Ring_Cursed_Mastery_2,1416678,0.33%,
Dungeons-Slice,Ring_Radiant_Critical_Strike_2,1416583,0.32%,
Dungeons-Slice,Ring_Radiant_Mastery_2,1415855,0.27%,
Dungeons-Slice,Ring_Radiant_Versatility_1,1415777,0.26%,
Dungeons-Slice,Ring_Cursed_Haste_2,1415746,0.26%,
Dungeons-Slice,Ring_Radiant_Versatility_2,1415628,0.25%,
Dungeons-Slice,Ring_Cursed_Critical_Strike_3,1415623,0.25%,
Dungeons-Slice,Ring_Cursed_Haste_3,1415557,0.25%,
Dungeons-Slice,Ring_Radiant_Haste_2,1414893,0.20%,
Dungeons-Slice,Ring_Glimmering_Mastery_3,1414834,0.20%,
Dungeons-Slice,Ring_Cursed_Critical_Strike_1,1414678,0.19%,
Dungeons-Slice,Ring_Cursed_Mastery_3,1414633,0.18%,
Dungeons-Slice,Ring_Glimmering_Versatility_2,1414529,0.18%,
Dungeons-Slice,Ring_Glimmering_Critical_Strike_3,1414512,0.17%,
Dungeons-Slice,Ring_Glimmering_Critical_Strike_1,1414502,0.17%,
Dungeons-Slice,Ring_Cursed_Versatility_3,1414477,0.17%,
Dungeons-Slice,Ring_Cursed_Versatility_2,1414373,0.16%,
Dungeons-Slice,Ring_Radiant_Critical_Strike_1,1414292,0.16%,
Dungeons-Slice,Ring_Radiant_Haste_1,1414200,0.15%,
Dungeons-Slice,Ring_Glimmering_Haste_3,1414085,0.14%,
Dungeons-Slice,Temp_Weapon_Oil_of_Deep_Toxins_2,1413949,0.13%,
Dungeons-Slice,Ring_Cursed_Versatility_1,1413874,0.13%,
Dungeons-Slice,Ring_Cursed_Mastery_1,1413752,0.12%,
Dungeons-Slice,Ring_Glimmering_Critical_Strike_2,1413674,0.11%,
Dungeons-Slice,Temp_Weapon_Oil_of_Deep_Toxins_3,1413614,0.11%,
Dungeons-Slice,Ring_Radiant_Mastery_1,1413603,0.11%,
Dungeons-Slice,Ring_Cursed_Haste_1,1413590,0.11%,
Dungeons-Slice,Ring_Glimmering_Mastery_2,1413177,0.08%,
Dungeons-Slice,Ring_Glimmering_Haste_1,1413147,0.08%,
Dungeons-Slice,Ring_Glimmering_Versatility_3,1413118,0.08%,
Dungeons-Slice,Ring_Cursed_Critical_Strike_2,1413103,0.07%,
Dungeons-Slice,Ring_Glimmering_Haste_2,1412878,0.06%,
Dungeons-Slice,Ring_Glimmering_Mastery_1,1412744,0.05%,
Dungeons-Slice,Temp_Weapon_Oil_of_Deep_Toxins_1,1412717,0.05%,
Dungeons-Slice,Ring_Glimmering_Versatility_1,1412526,0.03%,
Dungeons-Slice,Base,1412056,0.00%,
