profile,actor,DPS,increase,
Dungeons-Slice,Weapon_Oathsworns_Tenacity_3,6450770,1.19%,
Dungeons-Slice,Weapon_Councils_Guile_3,6444835,1.09%,
Dungeons-Slice,Weapon_Stonebound_Artistry_3,6442671,1.06%,
Dungeons-Slice,Weapon_Stormriders_Fury_3,6442668,1.06%,
Dungeons-Slice,Weapon_Stormriders_Fury_2,6439732,1.01%,
Dungeons-Slice,Weapon_Oathsworns_Tenacity_1,6436355,0.96%,
Dungeons-Slice,Weapon_Oathsworns_Tenacity_2,6432979,0.91%,
Dungeons-Slice,Weapon_Councils_Guile_2,6431480,0.88%,
Dungeons-Slice,Weapon_Stonebound_Artistry_2,6429163,0.85%,
Dungeons-Slice,Weapon_Stonebound_Artistry_1,6427875,0.83%,
Dungeons-Slice,Legs_Daybreak_Spellthread_3,6425720,0.79%,
Dungeons-Slice,Weapon_Authority_of_Radiant_Power_3,6420473,0.71%,
Dungeons-Slice,Weapon_Stormriders_Fury_1,6417040,0.66%,
Dungeons-Slice,Weapon_Councils_Guile_1,6414577,0.62%,
Dungeons-Slice,Legs_Daybreak_Spellthread_1,6413121,0.60%,
Dungeons-Slice,Legs_Sunset_Spellthread_2,6413099,0.60%,
Dungeons-Slice,Legs_Charged_Armor_Kit_3,6408160,0.52%,
Dungeons-Slice,Chest_Crystalline_Radiance_2,6408033,0.52%,
Dungeons-Slice,Legs_Charged_Armor_Kit_2,6407981,0.52%,
Dungeons-Slice,Legs_Weavercloth_Spellthread_2,6405633,0.48%,
Dungeons-Slice,Ring_Radiant_Haste_2,6405007,0.47%,
Dungeons-Slice,Weapon_Authority_of_Radiant_Power_2,6403987,0.45%,
Dungeons-Slice,Temp_Weapon_Algari_Mana_Oil_3,6402954,0.44%,
Dungeons-Slice,Ring_Radiant_Haste_3,6402780,0.43%,
Dungeons-Slice,Legs_Sunset_Spellthread_1,6402577,0.43%,
Dungeons-Slice,Chest_Crystalline_Radiance_3,6402257,0.43%,
Dungeons-Slice,Legs_Daybreak_Spellthread_2,6401929,0.42%,
Dungeons-Slice,Temp_Weapon_Algari_Mana_Oil_1,6401218,0.41%,
Dungeons-Slice,Legs_Sunset_Spellthread_3,6401102,0.41%,
