profile,actor,DPS,increase,
Single,Weapon_Authority_of_Radiant_Power_3,1111799,7.74%,
Single,Weapon_Authority_of_Radiant_Power_2,1107590,7.33%,
Single,Weapon_Authority_of_Radiant_Power_1,1103232,6.91%,
Single,Weapon_Stonebound_Artistry_3,1072179,3.90%,
Single,Weapon_Councils_Guile_3,1069148,3.60%,
Single,Weapon_Oathsworns_Tenacity_3,1068677,3.56%,
Single,Weapon_Stormriders_Fury_3,1065441,3.24%,
Single,Ring_Cursed_Mastery_3,1065401,3.24%,
Single,Ring_Cursed_Mastery_2,1064068,3.11%,
Single,Ring_Cursed_Haste_3,1063499,3.06%,
Single,Weapon_Stonebound_Artistry_2,1063012,3.01%,
Single,Ring_Cursed_Critical_Strike_3,1062709,2.98%,
Single,Ring_Cursed_Mastery_1,1062202,2.93%,
Single,Ring_Cursed_Haste_2,1061124,2.83%,
Single,Ring_Cursed_Critical_Strike_2,1060996,2.81%,
Single,Weapon_Councils_Guile_2,1059734,2.69%,
Single,Weapon_Oathsworns_Tenacity_2,1059660,2.68%,
Single,Ring_Cursed_Critical_Strike_1,1059626,2.68%,
Single,Ring_Cursed_Haste_1,1059602,2.68%,
Single,Weapon_Stormriders_Fury_2,1057532,2.48%,
Single,Ring_Cursed_Versatility_3,1056423,2.37%,
Single,Ring_Cursed_Versatility_2,1054995,2.23%,
Single,Weapon_Authority_of_the_Depths_3,1054310,2.17%,
Single,Ring_Cursed_Versatility_1,1054245,2.16%,
Single,Weapon_Authority_of_the_Depths_2,1053450,2.08%,
Single,Weapon_Stonebound_Artistry_1,1053280,2.07%,
Single,Weapon_Councils_Guile_1,1050827,1.83%,
Single,Weapon_Authority_of_the_Depths_1,1050820,1.83%,
Single,Weapon_Oathsworns_Tenacity_1,1050663,1.81%,
Single,Weapon_Stormriders_Fury_1,1049267,1.68%,
Single,Temp_Weapon_Algari_Mana_Oil_3,1038503,0.63%,
Single,Temp_Weapon_Algari_Mana_Oil_2,1038031,0.59%,
Single,Legs_Daybreak_Spellthread_3,1037332,0.52%,
Single,Legs_Sunset_Spellthread_3,1037245,0.51%,
Single,Temp_Weapon_Algari_Mana_Oil_1,1037162,0.50%,
Single,Legs_Sunset_Spellthread_2,1036801,0.47%,
Single,Ring_Radiant_Mastery_3,1036171,0.41%,
Single,Ring_Radiant_Mastery_2,1036155,0.41%,
Single,Legs_Daybreak_Spellthread_2,1036078,0.40%,
Single,Ring_Radiant_Critical_Strike_3,1035921,0.38%,
Single,Legs_Daybreak_Spellthread_1,1035900,0.38%,
Single,Ring_Radiant_Mastery_1,1035832,0.38%,
Single,Legs_Weavercloth_Spellthread_3,1035720,0.36%,
Single,Ring_Radiant_Versatility_1,1035718,0.36%,
Single,Legs_Sunset_Spellthread_1,1035630,0.36%,
Single,Ring_Radiant_Versatility_3,1035569,0.35%,
Single,Ring_Radiant_Critical_Strike_1,1035527,0.35%,
Single,Ring_Radiant_Versatility_2,1035517,0.34%,
Single,Ring_Radiant_Critical_Strike_2,1035503,0.34%,
Single,Ring_Glimmering_Critical_Strike_3,1035336,0.33%,
Single,Ring_Glimmering_Mastery_3,1035133,0.31%,
Single,Ring_Radiant_Haste_2,1035080,0.30%,
Single,Ring_Radiant_Haste_3,1035053,0.30%,
Single,Ring_Glimmering_Mastery_2,1035025,0.30%,
Single,Legs_Weavercloth_Spellthread_2,1034928,0.29%,
Single,Ring_Glimmering_Versatility_2,1034857,0.28%,
Single,Ring_Radiant_Haste_1,1034812,0.28%,
Single,Ring_Glimmering_Versatility_3,1034608,0.26%,
Single,Ring_Glimmering_Critical_Strike_2,1034571,0.25%,
Single,Ring_Glimmering_Critical_Strike_1,1034565,0.25%,
Single,Ring_Glimmering_Haste_3,1034480,0.24%,
Single,Ring_Glimmering_Mastery_1,1034439,0.24%,
Single,Ring_Glimmering_Versatility_1,1034337,0.23%,
Single,Temp_Weapon_Oil_of_Deep_Toxins_2,1034304,0.23%,
Single,Ring_Glimmering_Haste_2,1034222,0.22%,
Single,Chest_Crystalline_Radiance_3,1034206,0.22%,
Single,Temp_Weapon_Oil_of_Deep_Toxins_3,1034197,0.22%,
Single,Ring_Glimmering_Haste_1,1034167,0.21%,
Single,Legs_Weavercloth_Spellthread_1,1034151,0.21%,
Single,Chest_Crystalline_Radiance_2,1033751,0.17%,
Single,Chest_Councils_Intellect_2,1033648,0.16%,
Single,Chest_Councils_Intellect_1,1033643,0.16%,
Single,Chest_Councils_Intellect_3,1033624,0.16%,
Single,Chest_Crystalline_Radiance_1,1033533,0.15%,
Single,Temp_Weapon_Oil_of_Deep_Toxins_1,1033469,0.15%,
Single,Weapon_Authority_of_Storms_3,1032072,0.01%,
Single,Base,1031961,0.00%,
Single,Weapon_Authority_of_Storms_1,1031861,-0.01%,
Single,Weapon_Authority_of_Storms_2,1031692,-0.03%,
