profile,actor,DPS,increase,
2T,CB1_VE1_QR1_QO1_QS1_QO4,1572670,2.65%,
2T,CB1_ME1_MR1_VO1_QS1_ME4,1572571,2.64%,
2T,CB1_ME1_QR1_QO1_QS1_QO4,1572352,2.63%,
2T,CB1_ME1_QR1_DO1_MS1_QO4,1572209,2.62%,
2T,CB1_ME1_QR1_QO1_MS1_QO4,1572206,2.62%,
2T,CB1_ME1_MR1_QO1_MS1_ME4,1572155,2.62%,
2T,CB1_VE1_MR1_VO1_MS1_QO4,1572153,2.62%,
2T,CB1_VE1_MR1_QO1_MS1_ME4,1572140,2.62%,
2T,CB1_VE1_QR1_VO1_MS1_ME4,1572130,2.62%,
2T,CB1_ME1_MR1_DO1_QS1_ME4,1572127,2.62%,
2T,CB1_VE1_MR1_DO1_QS1_QO4,1572066,2.61%,
2T,CB1_ME1_QR1_VO1_MS1_ME4,1572060,2.61%,
2T,CB1_DE1_MR1_VO1_MS1_QO4,1571972,2.61%,
2T,CB1_VE1_QR1_DO1_MS1_ME4,1571904,2.60%,
2T,CB1_ME1_MR1_VO1_MS1_QO4,1571901,2.60%,
2T,CB1_VE1_MR1_DO1_QS1_ME4,1571888,2.60%,
2T,CB1_ME1_MR1_QO1_QS1_ME4,1571883,2.60%,
2T,CB1_VE1_MR1_DO1_MS1_QO4,1571864,2.60%,
2T,CB1_DE1_MR1_VO1_MS1_ME4,1571860,2.60%,
2T,CB1_VE1_MR1_QO1_QS1_QO4,1571858,2.60%,
2T,CB1_ME1_MR1_QO1_QS1_QO4,1571850,2.60%,
2T,CB1_VE1_MR1_VO1_QS1_ME4,1571820,2.60%,
2T,CB1_DE1_QR1_VO1_QS1_QO4,1571815,2.60%,
2T,CB1_ME1_QR1_QO1_MS1_ME4,1571805,2.59%,
2T,CB1_VE1_MR1_QO1_MS1_QO4,1571761,2.59%,
2T,CB1_ME1_QR1_VO1_QS1_QO4,1571743,2.59%,
2T,CB1_ME1_QR1_VO1_MS1_QO4,1571702,2.59%,
2T,CB1_DE1_MR1_QO1_MS1_QO4,1571698,2.59%,
2T,CB1_VE1_QR1_QO1_QS1_ME4,1571696,2.59%,
2T,CB1_ME1_MR1_VO1_MS1_ME4,1571665,2.59%,
2T,CB1_ME1_MR1_DO1_MS1_QO4,1571648,2.58%,
2T,CB1_DE1_MR1_QO1_QS1_QO4,1571636,2.58%,
2T,CB1_ME1_QR1_QO1_QS1_ME4,1571628,2.58%,
2T,CB1_VE1_MR1_VO1_QS1_QO4,1571618,2.58%,
2T,CB1_ME1_MR1_DO1_MS1_ME4,1571617,2.58%,
2T,CB1_ME1_MR1_QO1_MS1_QO4,1571611,2.58%,
2T,CB1_DE1_MR1_VO1_QS1_ME4,1571595,2.58%,
2T,CB1_DE1_QR1_DO1_QS1_QO4,1571589,2.58%,
2T,CB1_ME1_MR1_VO1_QS1_QO4,1571584,2.58%,
2T,CB1_VE1_QR1_DO1_QS1_QO4,1571526,2.58%,
2T,CB1_VE1_QR1_DO1_MS1_QO4,1571523,2.58%,
2T,CB1_DE1_MR1_DO1_MS1_ME4,1571517,2.58%,
2T,CB1_VE1_MR1_DO1_MS1_ME4,1571510,2.58%,
2T,CB1_DE1_QR1_DO1_MS1_QO4,1571499,2.57%,
2T,CB1_DE1_QR1_VO1_MS1_QO4,1571497,2.57%,
2T,CB1_DE1_MR1_QO1_MS1_ME4,1571484,2.57%,
2T,CB1_DE1_QR1_QO1_QS1_QO4,1571402,2.57%,
2T,CB1_ME1_QR1_VO1_QS1_ME4,1571381,2.57%,
2T,CB1_DE1_QR1_QO1_MS1_ME4,1571365,2.57%,
2T,CB1_DE1_MR1_DO1_QS1_ME4,1571365,2.57%,
2T,CB1_DE1_MR1_DO1_MS1_QO4,1571363,2.57%,
2T,CB1_DE1_QR1_QO1_MS1_QO4,1571360,2.57%,
2T,CB1_VE1_QR1_VO1_QS1_QO4,1571357,2.57%,
2T,CB1_ME1_QR1_DO1_MS1_ME4,1571336,2.56%,
2T,CB1_ME1_QR1_DO1_QS1_QO4,1571326,2.56%,
2T,CB1_DE1_QR1_DO1_MS1_ME4,1571313,2.56%,
2T,CB1_VE1_MR1_VO1_MS1_ME4,1571285,2.56%,
2T,CB1_VE1_QR1_QO1_MS1_QO4,1571219,2.56%,
2T,CB1_DE1_QR1_VO1_MS1_ME4,1571204,2.56%,
2T,CB1_VE1_QR1_VO1_MS1_QO4,1571174,2.55%,
2T,CB1_DE1_MR1_DO1_QS1_QO4,1571165,2.55%,
2T,CB1_DE1_QR1_VO1_QS1_ME4,1571163,2.55%,
2T,CB1_ME1_MR1_DO1_QS1_QO4,1571114,2.55%,
