profile,actor,DPS,increase,
Dungeons-Route,CB1_ME1_MR1_VO1_MS1_ME4,1917830,2.19%,
Dungeons-Route,CB1_ME1_MR1_VO1_QS1_QO4,1917773,2.19%,
Dungeons-Route,CB1_DE1_QR1_DO1_QS1_ME4,1917759,2.19%,
Dungeons-Route,CB1_ME1_MR1_VO1_QS1_ME4,1917735,2.19%,
Dungeons-Route,CB1_DE1_MR1_DO1_QS1_ME4,1917694,2.19%,
Dungeons-Route,CB1_ME1_MR1_DO1_MS1_QO4,1917657,2.18%,
Dungeons-Route,CB1_ME1_QR1_DO1_MS1_ME4,1917623,2.18%,
Dungeons-Route,CB1_ME1_QR1_DO1_MS1_QO4,1917622,2.18%,
Dungeons-Route,CB1_ME1_QR1_VO1_MS1_ME4,1917597,2.18%,
Dungeons-Route,CB1_ME1_MR1_QO1_MS1_ME4,1917585,2.18%,
Dungeons-Route,CB1_DE1_QR1_DO1_MS1_ME4,1917571,2.18%,
Dungeons-Route,CB1_DE1_QR1_VO1_MS1_ME4,1917571,2.18%,
Dungeons-Route,CB1_ME1_QR1_QO1_QS1_ME4,1917568,2.18%,
Dungeons-Route,CB1_DE1_MR1_DO1_MS1_ME4,1917565,2.18%,
Dungeons-Route,CB1_ME1_MR1_QO1_QS1_ME4,1917529,2.18%,
Dungeons-Route,CB1_DE1_MR1_DO1_QS1_QO4,1917518,2.18%,
Dungeons-Route,CB1_ME1_MR1_DO1_QS1_ME4,1917518,2.18%,
Dungeons-Route,CB1_DE1_MR1_QO1_MS1_ME4,1917508,2.18%,
Dungeons-Route,CB1_ME1_QR1_QO1_MS1_ME4,1917500,2.18%,
Dungeons-Route,CB1_VE1_QR1_DO1_MS1_QO4,1917499,2.18%,
Dungeons-Route,CB1_DE1_QR1_DO1_MS1_QO4,1917489,2.18%,
Dungeons-Route,CB1_VE1_QR1_VO1_MS1_QO4,1917486,2.18%,
Dungeons-Route,CB1_VE1_MR1_QO1_MS1_QO4,1917464,2.17%,
Dungeons-Route,CB1_VE1_QR1_VO1_MS1_ME4,1917464,2.17%,
Dungeons-Route,CB1_VE1_MR1_QO1_MS1_ME4,1917464,2.17%,
Dungeons-Route,CB1_VE1_QR1_QO1_QS1_QO4,1917418,2.17%,
Dungeons-Route,CB1_VE1_MR1_VO1_QS1_ME4,1917417,2.17%,
Dungeons-Route,CB1_ME1_QR1_QO1_QS1_QO4,1917395,2.17%,
Dungeons-Route,CB1_DE1_QR1_DO1_QS1_QO4,1917371,2.17%,
Dungeons-Route,CB1_DE1_QR1_VO1_MS1_QO4,1917368,2.17%,
Dungeons-Route,CB1_ME1_MR1_QO1_MS1_QO4,1917364,2.17%,
Dungeons-Route,CB1_DE1_QR1_QO1_QS1_QO4,1917356,2.17%,
Dungeons-Route,CB1_VE1_QR1_DO1_QS1_ME4,1917332,2.17%,
Dungeons-Route,CB1_DE1_QR1_QO1_QS1_ME4,1917324,2.17%,
Dungeons-Route,CB1_ME1_QR1_VO1_MS1_QO4,1917320,2.17%,
Dungeons-Route,CB1_DE1_QR1_QO1_MS1_ME4,1917319,2.17%,
Dungeons-Route,CB1_VE1_QR1_QO1_QS1_ME4,1917319,2.17%,
Dungeons-Route,CB1_DE1_MR1_VO1_QS1_ME4,1917314,2.17%,
Dungeons-Route,CB1_DE1_MR1_QO1_MS1_QO4,1917306,2.17%,
Dungeons-Route,CB1_ME1_QR1_VO1_QS1_ME4,1917302,2.17%,
Dungeons-Route,CB1_VE1_QR1_VO1_QS1_ME4,1917298,2.16%,
Dungeons-Route,CB1_ME1_MR1_VO1_MS1_QO4,1917293,2.16%,
Dungeons-Route,CB1_ME1_MR1_DO1_MS1_ME4,1917282,2.16%,
Dungeons-Route,CB1_VE1_QR1_QO1_MS1_ME4,1917276,2.16%,
Dungeons-Route,CB1_ME1_QR1_DO1_QS1_QO4,1917276,2.16%,
Dungeons-Route,CB1_VE1_MR1_VO1_MS1_ME4,1917270,2.16%,
Dungeons-Route,CB1_DE1_QR1_QO1_MS1_QO4,1917269,2.16%,
Dungeons-Route,CB1_VE1_MR1_VO1_MS1_QO4,1917267,2.16%,
Dungeons-Route,CB1_VE1_MR1_VO1_QS1_QO4,1917267,2.16%,
Dungeons-Route,CB1_DE1_MR1_VO1_MS1_ME4,1917252,2.16%,
Dungeons-Route,CB1_VE1_MR1_DO1_MS1_ME4,1917222,2.16%,
Dungeons-Route,CB1_VE1_QR1_DO1_MS1_ME4,1917221,2.16%,
Dungeons-Route,CB1_DE1_MR1_VO1_QS1_QO4,1917182,2.16%,
