profile,actor,DPS,increase,
Single,CB1_DE1_MR1_VO1_QS1_ME4,2383117,2.40%,
Single,CB1_DE1_QR1_DO1_QS1_ME4,2382943,2.39%,
Single,CB1_ME1_QR1_QO1_MS1_ME4,2382215,2.36%,
Single,CB1_VE1_QR1_VO1_MS1_ME4,2382043,2.35%,
Single,CB1_DE1_MR1_DO1_MS1_ME4,2381761,2.34%,
Single,CB1_VE1_MR1_QO1_QS1_ME4,2381721,2.34%,
Single,CB1_DE1_QR1_DO1_MS1_ME4,2381697,2.34%,
Single,CB1_ME1_MR1_QO1_QS1_ME4,2381581,2.33%,
Single,CB1_DE1_MR1_QO1_MS1_ME4,2381550,2.33%,
Single,CB1_DE1_MR1_QO1_QS1_ME4,2381526,2.33%,
Single,CB1_DE1_QR1_VO1_QS1_ME4,2381509,2.33%,
Single,CB1_DE1_QR1_QO1_MS1_ME4,2381484,2.33%,
Single,CB1_ME1_QR1_VO1_MS1_ME4,2381457,2.33%,
Single,CB1_DE1_QR1_VO1_MS1_ME4,2381441,2.33%,
Single,CB1_ME1_QR1_QO1_QS1_ME4,2381405,2.33%,
Single,CB1_DE1_QR1_QO1_QS1_ME4,2381281,2.32%,
Single,CB1_VE1_QR1_QO1_MS1_ME4,2381256,2.32%,
Single,CB1_DE1_MR1_VO1_MS1_ME4,2381177,2.32%,
Single,CB1_ME1_QR1_DO1_QS1_ME4,2381124,2.31%,
Single,CB1_VE1_MR1_DO1_QS1_ME4,2381085,2.31%,
Single,CB1_ME1_QR1_VO1_QS1_ME4,2380948,2.31%,
Single,CB1_ME1_QR1_DO1_MS1_ME4,2380897,2.30%,
Single,CB1_VE1_QR1_QO1_QS1_ME4,2380794,2.30%,
Single,CB1_VE1_MR1_QO1_MS1_ME4,2380666,2.29%,
Single,CB1_VE1_MR1_VO1_QS1_ME4,2380645,2.29%,
Single,CB1_ME1_MR1_DO1_QS1_QO4,2380540,2.29%,
Single,CB1_VE1_QR1_VO1_QS1_ME4,2380522,2.29%,
Single,CB1_VE1_MR1_VO1_MS1_ME4,2380449,2.29%,
Single,CB1_ME1_MR1_DO1_MS1_ME4,2380428,2.28%,
Single,CB1_DE1_MR1_DO1_QS1_ME4,2380400,2.28%,
Single,CB1_VE1_MR1_DO1_MS1_ME4,2380360,2.28%,
Single,CB1_DE1_MR1_DO1_QS1_QO4,2380330,2.28%,
Single,CB1_ME1_MR1_VO1_MS1_ME4,2380243,2.28%,
Single,CB1_VE1_QR1_DO1_QS1_ME4,2380209,2.28%,
Single,ME9,2380099,2.27%,
Single,CB1_ME1_MR1_QO1_MS1_ME4,2380084,2.27%,
Single,CB1_VE1_QR1_DO1_MS1_ME4,2380057,2.27%,
Single,CB1_VE1_QR1_QO1_QS1_QO4,2380056,2.27%,
Single,CB1_VE1_QR1_DO1_QS1_QO4,2380017,2.27%,
Single,CB1_ME1_MR1_VO1_QS1_ME4,2379953,2.26%,
Single,CB1_ME1_MR1_DO1_QS1_ME4,2379865,2.26%,
Single,CB1_DE1_QR1_QO1_MS1_QO4,2379778,2.26%,
Single,CB1_DE1_MR1_QO1_QS1_QO4,2379708,2.25%,
Single,CB1_ME8,2379697,2.25%,
Single,CB1_ME1_MR1_DO1_MS1_QO4,2379667,2.25%,
Single,CB1_DE1_MR1_VO1_QS1_QO4,2379636,2.25%,
Single,CB1_DE1_QR1_VO1_QS1_QO4,2379631,2.25%,
Single,CB1_VE1_QR1_QO1_MS1_QO4,2379541,2.25%,
Single,CB1_ME1_QR1_DO1_MS1_QO4,2379443,2.24%,
Single,CB1_DE1_QR1_DO1_QS1_QO4,2379430,2.24%,
Single,CB1_VE1_MR1_QO1_QS1_QO4,2379344,2.24%,
Single,CB1_ME1_QR1_QO1_QS1_QO4,2379326,2.24%,
Single,CB1_ME1_QR1_QO1_MS1_QO4,2379230,2.23%,
Single,CB1_DE1_QR1_QO1_QS1_QO4,2379198,2.23%,
Single,CB1_VE1_QR1_VO1_QS1_QO4,2379094,2.23%,
Single,CB1_VE1_QR1_DO1_MS1_QO4,2379034,2.22%,
Single,CB1_VE1_MR1_DO1_MS1_QO4,2379033,2.22%,
Single,CB1_VE1_QR1_VO1_MS1_QO4,2378945,2.22%,
Single,CB1_DE1_QR1_DO1_MS1_QO4,2378808,2.22%,
Single,CB1_VE1_MR1_VO1_QS1_QO4,2378793,2.21%,
Single,CB1_ME1_QR1_VO1_QS1_MA1_ME3,2378766,2.21%,
Single,CB1_ME1_MR1_QO1_QS1_QO4,2378732,2.21%,
Single,CB1_VE1_MR1_QO1_MS1_QO4,2378686,2.21%,
Single,CB1_ME1_QR1_DO1_QS1_QO4,2378578,2.21%,
Single,CB1_DE1_QR1_DO1_QS1_MA1_ME3,2378576,2.21%,
Single,CB1_VE1_MR1_DO1_QS1_QO4,2378575,2.21%,
Single,CB1_DE1_QR1_VO1_QS1_MA1_ME3,2378442,2.20%,
Single,CB1_DE1_MR1_VO1_MS1_QO4,2378343,2.20%,
Single,CB1_ME1_QR1_VO1_QS1_QO4,2378342,2.20%,
Single,CB1_ME1_MR1_QO1_MS1_QO4,2378313,2.19%,
Single,CB1_DE1_MR1_QO1_MS1_QO4,2378297,2.19%,
Single,CB1_DE1_QR1_VO1_MS1_MA1_ME3,2378234,2.19%,
Single,CB1_DE1_MR1_DO1_MS1_QO4,2378197,2.19%,
Single,CB1_DE1_QR1_VO1_MS1_QO4,2378169,2.19%,
Single,CB1_ME1_MR1_VO1_QS1_QO4,2378165,2.19%,
Single,CB1_ME1_MR1_VO1_MS1_QO4,2378128,2.19%,
Single,CB1_ME1_QR1_DO1_QS1_MA1_ME3,2378076,2.18%,
Single,CB1_ME1_QR1_VO1_MS1_QO4,2378057,2.18%,
Single,CB1_ME1_MR1_QO1_QS1_MA1_ME3,2378006,2.18%,
Single,CB1_DE1_QR1_QO1_MS1_MA1_ME3,2378004,2.18%,
Single,CB1_VE1_QR1_QO1_QS1_QA1_ME3,2377961,2.18%,
Single,CB1_ME1_MR1_DO1_MS1_MA1_ME3,2377876,2.18%,
Single,CB1_DE1_QR1_QO1_MS1_QA1_ME3,2377849,2.17%,
Single,CB1_VE1_QR1_DO1_MS1_QA1_ME3,2377830,2.17%,
Single,CB1_ME1_QR1_QO1_MS1_MA1_ME3,2377804,2.17%,
Single,CB1_VE1_MR1_VO1_MS1_QO4,2377772,2.17%,
Single,CB1_ME1_MR1_DO1_QS1_MA1_ME3,2377753,2.17%,
Single,CB1_DE1_QR1_QO1_QS1_MA1_ME3,2377739,2.17%,
Single,CB1_DE1_QR1_VO1_MS1_QA1_ME3,2377666,2.17%,
Single,CB1_ME1_MR1_DO1_QS1_QA1_ME3,2377662,2.17%,
Single,CB1_DE1_MR1_DO1_MS1_MA1_ME3,2377630,2.16%,
Single,CB1_ME1_QR1_VO1_QS1_QA1_ME3,2377613,2.16%,
Single,CB1_ME1_QR1_DO1_QS1_QA1_ME3,2377601,2.16%,
Single,CB1_ME1_QR1_QO1_QS1_QA1_ME3,2377595,2.16%,
Single,CB1_VE1_QR1_QO1_QS1_MA1_ME3,2377552,2.16%,
Single,CB1_DE1_QR1_VO1_QS1_QA1_ME3,2377510,2.16%,
Single,CB1_ME1_MR1_QO1_QS1_QA1_ME3,2377497,2.16%,
Single,CB1_ME1_QR1_DO1_MS1_MA1_ME3,2377462,2.16%,
Single,CB1_VE1_MR1_DO1_MS1_MA1_ME3,2377455,2.16%,
Single,CB1_DE1_QR1_DO1_QS1_QA1_ME3,2377444,2.16%,
Single,CB1_VE1_QR1_DO1_QS1_QA1_ME3,2377432,2.16%,
Single,CB1_VE1_QR1_VO1_MS1_QA1_ME3,2377425,2.16%,
Single,CB1_VE1_QR1_DO1_QS1_MA1_ME3,2377416,2.16%,
Single,CB1_VE1_MR1_QO1_MS1_QA1_ME3,2377363,2.15%,
Single,CB1_DE1_QR1_VO1_MS1_QA1_QO3,2377360,2.15%,
Single,CB1_DE1_MR1_VO1_QS1_MA1_ME3,2377334,2.15%,
Single,CB1_ME1_QR1_DO1_MS1_QA1_ME3,2377298,2.15%,
Single,CB1_VE1_MR1_DO1_QS1_MA1_ME3,2377288,2.15%,
Single,CB1_VE1_MR1_QO1_QS1_MA1_ME3,2377240,2.15%,
Single,CB1_VE1_QR1_QO1_MS1_MA1_ME3,2377221,2.15%,
Single,CB1_VE1_QR1_DO1_QS1_QA1_QO3,2377213,2.15%,
Single,CB1_ME1_QR1_QO1_MS1_QA1_ME3,2377213,2.15%,
Single,CB1_DE1_QR1_DO1_MS1_QA1_ME3,2377211,2.15%,
Single,CB1_DE1_MR1_QO1_QS1_QA1_ME3,2377180,2.15%,
Single,QO9,2377177,2.14%,
Single,CB1_ME1_QR1_QO1_QS1_MA1_ME3,2377173,2.14%,
Single,CB1_VE1_MR1_DO1_MS1_QA1_ME3,2377169,2.14%,
