profile,actor,DPS,increase,
4T,Versatile_Emerald_2,2713348,0.29%,
4T,Deadly_Emerald_2,2713052,0.28%,
4T,Masterful_Emerald_3,2713043,0.28%,
4T,Versatile_Emerald_3,2713016,0.28%,
4T,Deadly_Emerald_3,2712961,0.28%,
4T,Masterful_Ruby_3,2712896,0.27%,
4T,Cubic_Blasphemia_3,2712876,0.27%,
4T,Masterful_Emerald_2,2712867,0.27%,
4T,Quick_Sapphire_3,2712857,0.27%,
4T,Elusive_Blasphemite_3,2712750,0.27%,
4T,Quick_Emerald_3,2712730,0.27%,
4T,Quick_Onyx_3,2712693,0.27%,
4T,Quick_Ruby_3,2712517,0.26%,
4T,Versatile_Ruby_3,2712473,0.26%,
4T,Quick_Emerald_2,2712444,0.26%,
4T,Deadly_Onyx_3,2712341,0.25%,
4T,Deadly_Sapphire_3,2712318,0.25%,
4T,Versatile_Onyx_3,2712299,0.25%,
4T,Masterful_Sapphire_1,2712273,0.25%,
4T,Quick_Ruby_1,2712237,0.25%,
4T,Versatile_Sapphire_3,2712190,0.25%,
4T,Deadly_Onyx_2,2712183,0.25%,
4T,Versatile_Onyx_2,2712169,0.25%,
4T,Masterful_Onyx_2,2712169,0.25%,
4T,Cubic_Blasphemia_2,2712135,0.25%,
4T,Deadly_Emerald_1,2712111,0.25%,
4T,Masterful_Onyx_3,2712071,0.24%,
4T,Deadly_Ruby_3,2712050,0.24%,
4T,Versatile_Ruby_2,2712039,0.24%,
4T,Elusive_Blasphemite_2,2711996,0.24%,
4T,Quick_Sapphire_1,2711975,0.24%,
4T,Versatile_Ruby_1,2711963,0.24%,
4T,Masterful_Onyx_1,2711946,0.24%,
4T,Masterful_Sapphire_2,2711914,0.24%,
4T,Deadly_Ruby_2,2711887,0.24%,
4T,Deadly_Onyx_1,2711860,0.24%,
4T,Masterful_Ruby_1,2711750,0.23%,
4T,Versatile_Emerald_1,2711697,0.23%,
4T,Culminating_Blasphemite_2,2711651,0.23%,
4T,Cubic_Blasphemia_1,2711643,0.23%,
4T,Masterful_Ruby_2,2711624,0.23%,
4T,Quick_Sapphire_2,2711542,0.22%,
4T,Quick_Onyx_2,2711531,0.22%,
4T,Versatile_Sapphire_1,2711523,0.22%,
4T,Culminating_Blasphemite_3,2711521,0.22%,
4T,Masterful_Emerald_1,2711489,0.22%,
4T,Quick_Ruby_2,2711432,0.22%,
4T,Versatile_Onyx_1,2711218,0.21%,
4T,Deadly_Ruby_1,2711194,0.21%,
4T,Masterful_Sapphire_3,2711124,0.21%,
4T,Culminating_Blasphemite_1,2711085,0.21%,
4T,Deadly_Sapphire_1,2711061,0.21%,
4T,Deadly_Sapphire_2,2711023,0.21%,
4T,Quick_Onyx_1,2710998,0.20%,
4T,Elusive_Blasphemite_1,2710863,0.20%,
4T,Versatile_Sapphire_2,2710652,0.19%,
4T,Quick_Emerald_1,2710351,0.18%,
4T,Deadly_Amber_3,2708096,0.10%,
4T,Versatile_Amber_3,2707918,0.09%,
4T,Deadly_Amber_2,2707703,0.08%,
4T,Quick_Amber_3,2707590,0.08%,
4T,Masterful_Amber_3,2707569,0.08%,
4T,Masterful_Amber_1,2707543,0.08%,
4T,Deadly_Amber_1,2707477,0.07%,
4T,Masterful_Amber_2,2707455,0.07%,
4T,Versatile_Amber_1,2707282,0.07%,
4T,Quick_Amber_2,2707191,0.06%,
4T,Versatile_Amber_2,2707106,0.06%,
4T,Quick_Amber_1,2706933,0.05%,
4T,Solid_Amber_2,2706168,0.03%,
4T,Solid_Amber_1,2706054,0.02%,
4T,Solid_Amber_3,2706035,0.02%,
4T,Base,2705468,0.00%,
