profile,actor,DPS,increase,
Composite,Versatile_Onyx_3,996967,0.30%,
Composite,Deadly_Onyx_3,996909,0.29%,
Composite,Elusive_Blasphemite_3,996887,0.29%,
Composite,Cubic_Blasphemia_3,996802,0.28%,
Composite,Culminating_Blasphemite_3,996766,0.28%,
Composite,Masterful_Sapphire_3,996719,0.27%,
Composite,Masterful_Ruby_3,996682,0.27%,
Composite,Culminating_Blasphemite_2,996637,0.27%,
Composite,Masterful_Onyx_3,996610,0.26%,
Composite,Quick_Onyx_3,996607,0.26%,
Composite,Deadly_Onyx_2,996561,0.26%,
Composite,Quick_Sapphire_3,996557,0.26%,
Composite,Deadly_Ruby_3,996555,0.26%,
Composite,Cubic_Blasphemia_2,996553,0.26%,
Composite,Masterful_Ruby_2,996549,0.26%,
Composite,Deadly_Sapphire_3,996547,0.26%,
Composite,Versatile_Ruby_3,996546,0.26%,
Composite,Quick_Ruby_3,996543,0.26%,
Composite,Masterful_Emerald_3,996516,0.25%,
Composite,Quick_Onyx_1,996502,0.25%,
Composite,Deadly_Onyx_1,996472,0.25%,
Composite,Quick_Onyx_2,996456,0.25%,
Composite,Deadly_Sapphire_2,996400,0.24%,
Composite,Masterful_Sapphire_2,996395,0.24%,
Composite,Quick_Ruby_2,996388,0.24%,
Composite,Elusive_Blasphemite_2,996372,0.24%,
Composite,Masterful_Emerald_2,996357,0.24%,
Composite,Versatile_Ruby_2,996355,0.24%,
Composite,Deadly_Emerald_2,996346,0.24%,
Composite,Versatile_Emerald_1,996333,0.24%,
Composite,Versatile_Emerald_3,996332,0.24%,
Composite,Masterful_Emerald_1,996325,0.23%,
Composite,Versatile_Onyx_2,996320,0.23%,
Composite,Versatile_Onyx_1,996319,0.23%,
Composite,Deadly_Emerald_3,996306,0.23%,
Composite,Masterful_Onyx_2,996302,0.23%,
Composite,Masterful_Ruby_1,996259,0.23%,
Composite,Quick_Sapphire_2,996251,0.23%,
Composite,Versatile_Sapphire_3,996239,0.23%,
Composite,Quick_Sapphire_1,996227,0.22%,
Composite,Deadly_Ruby_2,996225,0.22%,
Composite,Masterful_Sapphire_1,996186,0.22%,
Composite,Quick_Emerald_3,996175,0.22%,
Composite,Elusive_Blasphemite_1,996173,0.22%,
Composite,Cubic_Blasphemia_1,996164,0.22%,
Composite,Versatile_Sapphire_2,996158,0.22%,
Composite,Masterful_Onyx_1,996107,0.21%,
Composite,Quick_Ruby_1,996089,0.21%,
Composite,Deadly_Ruby_1,996055,0.21%,
Composite,Versatile_Emerald_2,996052,0.21%,
Composite,Versatile_Ruby_1,996048,0.21%,
Composite,Versatile_Sapphire_1,995975,0.20%,
Composite,Quick_Emerald_2,995970,0.20%,
Composite,Culminating_Blasphemite_1,995956,0.20%,
Composite,Deadly_Emerald_1,995892,0.19%,
Composite,Deadly_Sapphire_1,995848,0.19%,
Composite,Quick_Emerald_1,995325,0.13%,
Composite,Deadly_Amber_3,995013,0.10%,
Composite,Masterful_Amber_2,994970,0.10%,
Composite,Deadly_Amber_2,994861,0.09%,
Composite,Versatile_Amber_3,994825,0.08%,
Composite,Masterful_Amber_3,994792,0.08%,
Composite,Deadly_Amber_1,994736,0.07%,
Composite,Versatile_Amber_1,994726,0.07%,
Composite,Versatile_Amber_2,994712,0.07%,
Composite,Masterful_Amber_1,994712,0.07%,
Composite,Quick_Amber_3,994686,0.07%,
Composite,Quick_Amber_1,994643,0.07%,
Composite,Quick_Amber_2,994630,0.06%,
Composite,Solid_Amber_1,994151,0.02%,
Composite,Solid_Amber_3,994122,0.01%,
Composite,Solid_Amber_2,994000,0.00%,
Composite,Base,993993,0.00%,
