profile,actor,DPS,increase,
Single,Deadly_Sapphire_3,2406225,0.28%,
Single,Masterful_Onyx_3,2406010,0.28%,
Single,Deadly_Emerald_3,2405968,0.27%,
Single,Quick_Onyx_3,2405889,0.27%,
Single,Versatile_Ruby_3,2405827,0.27%,
Single,Versatile_Ruby_2,2405778,0.27%,
Single,Versatile_Onyx_3,2405772,0.27%,
Single,Masterful_Sapphire_3,2405553,0.26%,
Single,Quick_Emerald_3,2405505,0.25%,
Single,Quick_Ruby_2,2405275,0.25%,
Single,Versatile_Sapphire_3,2405173,0.24%,
Single,Deadly_Sapphire_2,2405145,0.24%,
Single,Versatile_Emerald_3,2405017,0.23%,
Single,Masterful_Ruby_1,2404971,0.23%,
Single,Masterful_Sapphire_2,2404969,0.23%,
Single,Deadly_Ruby_2,2404965,0.23%,
Single,Deadly_Ruby_3,2404957,0.23%,
Single,Deadly_Onyx_3,2404949,0.23%,
Single,Masterful_Emerald_3,2404947,0.23%,
Single,Quick_Sapphire_3,2404924,0.23%,
Single,Deadly_Ruby_1,2404919,0.23%,
Single,Quick_Ruby_3,2404890,0.23%,
Single,Versatile_Onyx_1,2404888,0.23%,
Single,Masterful_Emerald_1,2404824,0.23%,
Single,Quick_Sapphire_1,2404820,0.23%,
Single,Deadly_Sapphire_1,2404751,0.22%,
Single,Masterful_Ruby_2,2404730,0.22%,
Single,Masterful_Ruby_3,2404652,0.22%,
Single,Deadly_Onyx_2,2404646,0.22%,
Single,Versatile_Emerald_2,2404527,0.21%,
Single,Cubic_Blasphemia_3,2404497,0.21%,
Single,Deadly_Emerald_2,2404473,0.21%,
Single,Versatile_Emerald_1,2404469,0.21%,
Single,Quick_Ruby_1,2404405,0.21%,
Single,Masterful_Emerald_2,2404274,0.20%,
Single,Versatile_Sapphire_1,2404260,0.20%,
Single,Masterful_Sapphire_1,2404259,0.20%,
Single,Quick_Emerald_1,2404215,0.20%,
Single,Elusive_Blasphemite_3,2404200,0.20%,
Single,Versatile_Onyx_2,2404153,0.20%,
Single,Masterful_Onyx_2,2404135,0.20%,
Single,Cubic_Blasphemia_1,2404067,0.19%,
Single,Quick_Onyx_1,2403775,0.18%,
Single,Versatile_Sapphire_2,2403772,0.18%,
Single,Quick_Onyx_2,2403750,0.18%,
Single,Quick_Sapphire_2,2403737,0.18%,
Single,Deadly_Onyx_1,2403673,0.18%,
Single,Versatile_Ruby_1,2403646,0.18%,
Single,Elusive_Blasphemite_2,2403593,0.18%,
Single,Quick_Emerald_2,2403489,0.17%,
Single,Cubic_Blasphemia_2,2403376,0.17%,
Single,Culminating_Blasphemite_2,2403306,0.16%,
Single,Deadly_Emerald_1,2403298,0.16%,
Single,Culminating_Blasphemite_1,2403045,0.15%,
Single,Elusive_Blasphemite_1,2403006,0.15%,
Single,Masterful_Onyx_1,2402773,0.14%,
Single,Culminating_Blasphemite_3,2402603,0.13%,
Single,Masterful_Amber_2,2401646,0.09%,
Single,Deadly_Amber_3,2401639,0.09%,
Single,Deadly_Amber_2,2401551,0.09%,
Single,Versatile_Amber_2,2401304,0.08%,
Single,Quick_Amber_3,2401011,0.07%,
Single,Masterful_Amber_1,2400911,0.06%,
Single,Quick_Amber_2,2400905,0.06%,
Single,Quick_Amber_1,2400815,0.06%,
Single,Versatile_Amber_3,2400790,0.06%,
Single,Masterful_Amber_3,2400594,0.05%,
Single,Deadly_Amber_1,2400365,0.04%,
Single,Versatile_Amber_1,2399726,0.01%,
Single,Solid_Amber_2,2399597,0.01%,
Single,Solid_Amber_3,2399444,0.00%,
Single,Base,2399390,0.00%,
Single,Solid_Amber_1,2398954,-0.02%,
