profile,actor,DPS,increase,
8T,Blood_Elf,12377998,2.16%,
8T,Orc,12361978,2.02%,
8T,Troll,12357878,1.99%,
8T,Maghar_Orc,12355332,1.97%,
8T,Void_Elf,12290602,1.44%,
8T,Dark_Iron_Dwarf,12272781,1.29%,
8T,Human,12265984,1.23%,
8T,Dracthyr,12254041,1.13%,
8T,Zandalari_Troll_Paku,12250032,1.10%,
8T,Night_Elf_Crit,12244376,1.05%,
8T,Worgen,12242751,1.04%,
8T,Highmountain_Tauren,12240001,1.02%,
8T,Draenei,12236504,0.99%,
8T,Kul_Tiran,12236099,0.99%,
8T,Nightborne,12233080,0.96%,
8T,Mechagnome,12228264,0.92%,
8T,Gnome,12226777,0.91%,
8T,Goblin,12215146,0.81%,
8T,Night_Elf_Haste,12212402,0.79%,
8T,Dwarf,12205471,0.73%,
8T,Tauren,12190388,0.61%,
8T,Panda_Feast,12182075,0.54%,
8T,Earthen_Sapphire,12155327,0.32%,
8T,Earthen_Ruby,12145637,0.24%,
8T,Zandalari_Troll_Kimbul,12144563,0.23%,
8T,Zandalari_Troll_Bwonsamdi,12137298,0.17%,
8T,Earthen_Emerald,12129702,0.11%,
8T,Earthen_Onyx,12123393,0.06%,
8T,Lightforged_Draenei,12121193,0.04%,
8T,Base,12116663,0.00%,
8T,Undead,12114045,-0.02%,
8T,Vulpera,12106943,-0.08%,
