profile,actor,DPS,increase,
8T,Orc,6757262,2.48%,
8T,Dark_Iron_Dwarf,6752750,2.41%,
8T,Troll,6724442,1.98%,
8T,Maghar_Orc,6724040,1.97%,
8T,Blood_Elf,6699871,1.61%,
8T,Draenei,6681145,1.32%,
8T,Void_Elf,6677492,1.27%,
8T,Mechagnome,6673732,1.21%,
8T,Human,6671228,1.17%,
8T,Night_Elf_Haste,6662598,1.04%,
8T,Nightborne,6660621,1.01%,
8T,Kul_Tiran,6658454,0.98%,
8T,Gnome,6657891,0.97%,
8T,Goblin,6657395,0.96%,
8T,Night_Elf_Crit,6655730,0.94%,
8T,Zandalari_Troll_Paku,6653177,0.90%,
8T,Dracthyr,6652478,0.89%,
8T,Worgen,6652252,0.89%,
8T,Tauren,6647705,0.82%,
8T,Highmountain_Tauren,6647102,0.81%,
8T,Dwarf,6646604,0.80%,
8T,Panda_Feast,6633248,0.60%,
8T,Zandalari_Troll_Bwonsamdi,6599705,0.09%,
8T,Vulpera,6597787,0.06%,
8T,Undead,6597606,0.06%,
8T,Earthen_Onyx,6597453,0.05%,
8T,Zandalari_Troll_Kimbul,6595568,0.03%,
8T,Earthen_Sapphire,6595537,0.03%,
8T,Earthen_Ruby,6595527,0.03%,
8T,Base,6593858,0.00%,
8T,Earthen_Emerald,6593292,-0.01%,
8T,Lightforged_Draenei,6591920,-0.03%,
