profile,actor,DPS,increase,
2T,Finger2_Ring_of_Earthen_Craftsmanship_636,1612136,1.01%,
2T,Finger2_Binding_of_Binding_636,1611426,0.97%,
2T,Embellishment_Duskthread_Lining_90%_1,1610443,0.90%,
2T,Embellishment_Dawnthread_Lining_90%_1,1608514,0.78%,
2T,Embellishment_Duskthread_Lining_70%_1,1607295,0.71%,
2T,Embellishment_Dawnthread_Lining_70%_1,1607236,0.70%,
2T,Finger1_Binding_of_Binding_636,1605187,0.58%,
2T,Embellishment_Duskthread_Lining_50%_1,1604398,0.53%,
2T,Finger1_Ring_of_Earthen_Craftsmanship_636,1604094,0.51%,
2T,Head_Studious_Brilliance_Expeditor_Haste-636,1604079,0.51%,
2T,Embellishment_Duskthread_Lining_40%_1,1603568,0.47%,
2T,Embellishment_Dawnthread_Lining_50%_1,1603494,0.47%,
2T,Woven_Dusk_636,1603074,0.44%,
2T,Embellishment_Dawnthread_Lining_40%_1,1603046,0.44%,
2T,Embellishment_Elemental_Focusing_Lens_1,1602375,0.40%,
2T,Neck_Amulet_of_Earthen_Craftsmanship_636,1601048,0.32%,
2T,Embellishment_Blessed_Weapon_Grip_1,1600841,0.30%,
2T,Consecrated_Gloves_636,1600607,0.29%,
2T,Finger2_Seal_of_the_Poisoned_Pact_639,1599864,0.24%,
2T,Consecrated_Slippers_636,1599231,0.20%,
2T,Consecrated_Hood_636,1599160,0.20%,
2T,Embellishment_Pouch_of_Pocket_Grenades_1,1598898,0.18%,
2T,Wrists_Blasting_Bracers_Haste-636,1598684,0.17%,
2T,Consecrated_Leggings_636,1597930,0.12%,
2T,Consecrated_Cloak_636,1597236,0.08%,
2T,Back_Wings_of_Shattered_Sorrow_639,1597133,0.07%,
2T,Consecrated_Cord_636,1596828,0.05%,
2T,Embellishment_Prismatic_Null_Stone_1,1596452,0.03%,
2T,Base,1596003,0.00%,
2T,1H_Scepter_of_Radiant_Magics_636_OH_Dalaran_Guardians_Arcanotool_639,1594849,-0.07%,
2T,Head_Studious_Brilliance_Expeditor_Vers-636,1593346,-0.17%,
2T,Consecrated_Mantle_636,1592120,-0.24%,
2T,Consecrated_Cuffs_636,1591922,-0.26%,
2T,Consecrated_Robe_636,1591662,-0.27%,
2T,Head_Studious_Brilliance_Expeditor_Mastery-636,1591290,-0.30%,
2T,Head_Studious_Brilliance_Expeditor_Crit-636,1590779,-0.33%,
2T,Wrists_Blasting_Bracers_Vers-636,1590340,-0.35%,
2T,Wrists_Blasting_Bracers_Mastery-636,1588932,-0.44%,
2T,2H_Vagabonds_Bounding_Baton_636,1588863,-0.45%,
2T,Wrists_Blasting_Bracers_Crit-636,1588194,-0.49%,
2T,1H_Fateweaved_Needle_639_OH_Vagabonds_Torch_636,1584807,-0.70%,
2T,Finger1_Seal_of_the_Poisoned_Pact_639,1584441,-0.72%,
2T,1H_Fateweaved_Mallet_639_OH_Vagabonds_Torch_636,1583918,-0.76%,
2T,2H_Voltaic_Stormcaller_639,1568408,-1.73%,
2T,Neck_Sureki_Zealots_Insignia_639,1549701,-2.90%,
2T,1H_Crusher_of_the_Unsettled_639_OH_Fate_Weaver_639,1363438,-14.57%,
2T,1H_Crusher_of_the_Unsettled_639_OH_Vagabonds_Torch_636,1358906,-14.86%,
