profile,actor,DPS,increase,
8T,Embellishment_Duskthread_Lining_90%_1,6446069,0.85%,
8T,Neck_Amulet_of_Earthen_Craftsmanship_636,6436940,0.71%,
8T,Embellishment_Dawnthread_Lining_90%_1,6435476,0.68%,
8T,Embellishment_Duskthread_Lining_70%_1,6433628,0.66%,
8T,Embellishment_Dawnthread_Lining_70%_1,6433595,0.66%,
8T,Embellishment_Dawnthread_Lining_50%_1,6426841,0.55%,
8T,Embellishment_Duskthread_Lining_40%_1,6425180,0.52%,
8T,Embellishment_Duskthread_Lining_50%_1,6420294,0.45%,
8T,Embellishment_Dawnthread_Lining_40%_1,6417414,0.40%,
8T,Consecrated_Mantle_636,6409998,0.29%,
8T,Woven_Dusk_636,6408539,0.26%,
8T,Consecrated_Robe_636,6407360,0.24%,
8T,Consecrated_Gloves_636,6403746,0.19%,
8T,Embellishment_Blessed_Weapon_Grip_1,6403361,0.18%,
8T,Embellishment_Pouch_of_Pocket_Grenades_1,6399533,0.12%,
8T,Embellishment_Prismatic_Null_Stone_1,6399484,0.12%,
8T,Consecrated_Leggings_636,6398881,0.11%,
8T,Embellishment_Elemental_Focusing_Lens_1,6398712,0.11%,
8T,Wrists_Blasting_Bracers_Vers-636,6396164,0.07%,
8T,Consecrated_Slippers_636,6394459,0.04%,
8T,Consecrated_Cloak_636,6393878,0.03%,
8T,Wrists_Blasting_Bracers_Haste-636,6392684,0.02%,
8T,Head_Studious_Brilliance_Expeditor_Mastery-636,6392264,0.01%,
8T,Wrists_Blasting_Bracers_Mastery-636,6391732,0.00%,
8T,Base,6391721,0.00%,
8T,Finger2_Seal_of_the_Poisoned_Pact_632,6390915,-0.01%,
8T,Consecrated_Cuffs_636,6390609,-0.02%,
8T,Consecrated_Cord_636,6385914,-0.09%,
8T,2H_Vagabonds_Bounding_Baton_636,6385211,-0.10%,
8T,Wrists_Blasting_Bracers_Crit-636,6383594,-0.13%,
8T,Back_Wings_of_Shattered_Sorrow_632,6378389,-0.21%,
8T,Finger2_Ring_of_Earthen_Craftsmanship_636,6370719,-0.33%,
8T,1H_Scepter_of_Radiant_Magics_636_OH_Dalaran_Guardians_Arcanotool_632,6370114,-0.34%,
8T,Finger2_Binding_of_Binding_636,6365185,-0.42%,
8T,Consecrated_Hood_636,6361679,-0.47%,
8T,Head_Studious_Brilliance_Expeditor_Crit-636,6353551,-0.60%,
8T,Head_Studious_Brilliance_Expeditor_Vers-636,6351783,-0.62%,
8T,Finger1_Ring_of_Earthen_Craftsmanship_636,6327521,-1.00%,
8T,Finger1_Binding_of_Binding_636,6322218,-1.09%,
8T,Finger1_Seal_of_the_Poisoned_Pact_632,6307465,-1.32%,
8T,Head_Studious_Brilliance_Expeditor_Haste-636,6307128,-1.32%,
8T,1H_Fateweaved_Mallet_632_OH_Vagabonds_Torch_636,6288272,-1.62%,
8T,1H_Fateweaved_Needle_632_OH_Vagabonds_Torch_636,6279988,-1.75%,
8T,2H_Voltaic_Stormcaller_632,6229022,-2.55%,
8T,Neck_Sureki_Zealots_Insignia_632,6192630,-3.11%,
8T,1H_Crusher_of_the_Unsettled_632_OH_Vagabonds_Torch_636,5403796,-15.46%,
8T,1H_Crusher_of_the_Unsettled_632_OH_Fate_Weaver_632,5378230,-15.86%,
