profile,actor,DPS,increase,
Composite,Reshii_Wraps_Critical_Strike_730_Interlopers_Silken_Striders_723,5511428,3.70%,
Composite,Reshii_Wraps_Versatility_730_Interlopers_Silken_Striders_723,5507156,3.62%,
Composite,Reshii_Wraps_Mastery_730_Interlopers_Silken_Striders_723,5504976,3.58%,
Composite,Reshii_Wraps_Haste_730_Interlopers_Silken_Striders_723,5495629,3.41%,
Composite,Reshii_Wraps_Haste_730,5455094,2.64%,
Composite,Reshii_Wraps_Mastery_730,5440666,2.37%,
Composite,Embellishment_Darkmoon_Sigil_Ascension_OH_1_Writhing_Waist_1,5392702,1.47%,
Composite,Embellishment_Darkmoon_Sigil_Ascension_OH_1_Writhing_Wrists_1,5388828,1.40%,
Composite,Woven_Dawn_Grips_Treads_720,5388170,1.38%,
Composite,Woven_Dusk_Gloves_Slippers_720,5354983,0.76%,
Composite,Embellishment_Dawnthread_Lining_90%_1,5351273,0.69%,
Composite,Embellishment_Duskthread_Lining_90%_1,5348365,0.63%,
Composite,Embellishment_Darkmoon_Sigil_Ascension_OH_1,5346049,0.59%,
Composite,1H_Voidglass_Kris_723,5341749,0.51%,
Composite,Embellishment_Duskthread_Lining_70%_1,5340346,0.48%,
Composite,Embellishment_Dawnthread_Lining_70%_1,5340308,0.48%,
Composite,Embellishment_Darkmoon_Sigil_Symbiosis_OH_1,5337874,0.44%,
Composite,2H_Voidglass_Spire_723,5337449,0.43%,
Composite,Embellishment_Dawnthread_Lining_60%_1,5336342,0.41%,
Composite,Embellishment_Duskthread_Lining_60%_1,5335546,0.39%,
Composite,Embellishment_Darkmoon_Sigil_Ascension_MH_1,5335113,0.39%,
Composite,2H_Voidglass_Spire_723_Diamantine_Voidcore_Slot1_723,5333330,0.35%,
Composite,Embellishment_Elemental_Focusing_Lens_1,5332807,0.34%,
Composite,Embellishment_Pouch_of_Pocket_Grenades_1,5327167,0.24%,
Composite,Embellishment_Blessed_Weapon_Grip_OH_1,5326731,0.23%,
Composite,Embellishment_Darkmoon_Sigil_Symbiosis_MH_1,5326317,0.22%,
Composite,1H_Voidglass_Kris_723_723_Diamantine_Voidcore_Slot1_723,5326157,0.22%,
Composite,Embellishment_Darkmoon_Sigil_Vivacity_OH_1,5322719,0.15%,
Composite,Head_Studious_Brilliance_Expeditor_Mastery-720,5320008,0.10%,
Composite,Embellishment_Darkmoon_Sigil_Radiance_OH_1,5319607,0.09%,
Composite,Embellishment_Blessed_Weapon_Grip_MH_1,5317272,0.05%,
Composite,Finger1_Binding_of_Binding_720,5315652,0.02%,
Composite,Wrists_Blasting_Bracers_Crit_720,5314835,0.00%,
Composite,Base,5314639,0.00%,
Composite,Wrists_Blasting_Bracers_Mastery_720,5313087,-0.03%,
Composite,Consecrated_Cord_720,5312429,-0.04%,
Composite,Consecrated_Gloves_720,5311750,-0.05%,
Composite,Consecrated_Robe_720,5311107,-0.07%,
Composite,Consecrated_Slippers_720,5310917,-0.07%,
Composite,Neck_Amulet_of_Earthen_Craftsmanship_720,5310586,-0.08%,
Composite,Embellishment_Prismatic_Null_Stone_1,5310495,-0.08%,
Composite,Embellishment_Darkmoon_Sigil_Vivacity_MH_1,5310490,-0.08%,
Composite,Embellishment_Darkmoon_Sigil_Radiance_MH_1,5310378,-0.08%,
Composite,Consecrated_Cuffs_720,5309825,-0.09%,
Composite,Wrists_Blasting_Bracers_Vers_720,5309552,-0.10%,
Composite,Wrists_Blasting_Bracers_Haste_720,5308207,-0.12%,
Composite,Consecrated_Cloak_720,5306895,-0.15%,
Composite,Consecrated_Mantle_720,5306264,-0.16%,
Composite,Head_Studious_Brilliance_Expeditor_Crit-720,5306186,-0.16%,
Composite,Head_Studious_Brilliance_Expeditor_Vers-720,5305275,-0.18%,
Composite,Consecrated_Hood_720,5300275,-0.27%,
Composite,Consecrated_Leggings_720,5299845,-0.28%,
Composite,Head_Studious_Brilliance_Expeditor_Haste-720,5299208,-0.29%,
Composite,1H_Stixs_Metal_Detector_723_OH_Vagabonds_Torch_720,5298263,-0.31%,
Composite,Waist_Durable_Information_Securing_Container_Critical_Chain_701,5289971,-0.46%,
Composite,1H_Scepter_of_Radiant_Magics_720_OH_Operators_Fraud_Detector_723,5288736,-0.49%,
Composite,Waist_Durable_Information_Securing_Container_Electric_Current_701,5278176,-0.69%,
Composite,Finger1_Ring_of_Earthen_Craftsmanship_720,5274309,-0.76%,
Composite,2H_Vagabonds_Bounding_Baton_720,5273009,-0.78%,
Composite,Finger1_The_Jastor_Diamond_684,5272517,-0.79%,
Composite,Finger2_Binding_of_Binding_720,5261451,-1.00%,
Composite,1H_Voidglass_Kris_723_723_Diamantine_Voidcore_Slot2_723,5246900,-1.27%,
Composite,2H_Voidglass_Spire_723_Diamantine_Voidcore_Slot2_723,5243855,-1.33%,
Composite,Finger2_Ring_of_Earthen_Craftsmanship_720,5221935,-1.74%,
Composite,Finger2_The_Jastor_Diamond_684,5221932,-1.74%,
Composite,Finger2_Cyrces_Circlet_SRC_FRC_WRC_658,5166485,-2.79%,
Composite,Finger2_Cyrces_Circlet_SRC_FRC_LSC_658,5137173,-3.34%,
