profile,actor,DPS,increase,
4T,M15_V0_H19_C9,4492209,86.28%,
4T,M17_V0_H19_C7,4491143,86.23%,
4T,M16_V0_H17_C10,4491093,86.23%,
4T,M16_V0_H19_C8,4490811,86.22%,
4T,M17_V0_H18_C8,4490118,86.19%,
4T,M18_V0_H18_C7,4489975,86.19%,
4T,M15_V1_H19_C8,4489957,86.18%,
4T,M16_V0_H18_C9,4489784,86.18%,
4T,M17_V1_H18_C7,4489735,86.18%,
4T,M15_V1_H18_C9,4489596,86.17%,
4T,M18_V0_H19_C6,4489513,86.17%,
4T,M15_V0_H18_C10,4489469,86.16%,
4T,M17_V0_H17_C9,4489468,86.16%,
4T,M14_V0_H19_C10,4489327,86.16%,
4T,M16_V1_H18_C8,4488875,86.14%,
4T,M17_V0_H16_C10,4488688,86.13%,
4T,M16_V1_H19_C7,4488616,86.13%,
4T,M18_V0_H17_C8,4488257,86.11%,
4T,M16_V1_H17_C9,4488245,86.11%,
4T,M15_V0_H20_C8,4487995,86.10%,
4T,M17_V1_H16_C9,4487928,86.10%,
4T,M17_V1_H17_C8,4487907,86.10%,
4T,M15_V1_H17_C10,4487599,86.09%,
4T,M14_V0_H20_C9,4487509,86.08%,
4T,M16_V2_H19_C6,4487271,86.07%,
4T,M16_V2_H18_C7,4487238,86.07%,
4T,M15_V2_H18_C8,4487211,86.07%,
4T,M16_V0_H20_C7,4487205,86.07%,
4T,M18_V1_H18_C6,4487116,86.07%,
4T,M15_V0_H17_C11,4487024,86.06%,
4T,M17_V0_H20_C6,4486977,86.06%,
4T,M17_V2_H18_C6,4486903,86.06%,
4T,M16_V2_H17_C8,4486719,86.05%,
4T,M14_V1_H19_C9,4486681,86.05%,
4T,M15_V1_H20_C7,4486648,86.05%,
4T,M17_V2_H16_C8,4486638,86.05%,
4T,M16_V1_H16_C10,4486527,86.04%,
4T,M14_V1_H18_C10,4486328,86.03%,
4T,M17_V2_H17_C7,4486163,86.03%,
4T,M15_V1_H16_C11,4486139,86.03%,
