profile,actor,DPS,increase,
8T,M18_V0_H13_C2,6872159,63.06%,
8T,M17_V0_H13_C3,6871964,63.06%,
8T,M17_V0_H10_C6,6871881,63.05%,
8T,M17_V1_H13_C2,6870530,63.02%,
8T,M18_V1_H10_C4,6869286,62.99%,
8T,M17_V2_H10_C4,6866170,62.92%,
8T,M15_V1_H13_C4,6865090,62.89%,
8T,M16_V1_H13_C3,6864609,62.88%,
8T,M20_V1_H10_C2,6864381,62.88%,
8T,M19_V0_H10_C4,6864358,62.87%,
8T,M20_V0_H10_C3,6864292,62.87%,
8T,M16_V0_H13_C4,6864279,62.87%,
8T,M18_V0_H10_C5,6863156,62.85%,
8T,M19_V2_H10_C2,6863069,62.84%,
8T,M21_V0_H10_C2,6862319,62.83%,
8T,M19_V1_H10_C3,6862253,62.82%,
8T,M15_V0_H13_C5,6860534,62.78%,
8T,M19_V0_H11_C3,6858980,62.75%,
8T,M16_V0_H10_C7,6858309,62.73%,
8T,M18_V0_H11_C4,6857971,62.72%,
8T,M16_V2_H13_C2,6857520,62.71%,
8T,M19_V0_H9_C5,6857486,62.71%,
8T,M17_V1_H11_C4,6857459,62.71%,
8T,M18_V0_H12_C3,6856947,62.70%,
8T,M14_V1_H13_C5,6856944,62.70%,
8T,M17_V1_H10_C5,6856342,62.68%,
8T,M16_V1_H10_C6,6855937,62.68%,
8T,M18_V2_H10_C3,6854887,62.65%,
8T,M18_V2_H9_C4,6854105,62.63%,
8T,M20_V1_H9_C3,6853619,62.62%,
8T,M14_V0_H13_C6,6853536,62.62%,
8T,M19_V1_H11_C2,6853312,62.61%,
8T,M18_V1_H9_C5,6852975,62.60%,
8T,M20_V0_H9_C4,6852966,62.60%,
8T,M18_V3_H10_C2,6852629,62.60%,
8T,M18_V1_H12_C2,6852530,62.59%,
8T,M17_V2_H11_C3,6852122,62.58%,
8T,M18_V1_H11_C3,6852036,62.58%,
8T,M14_V2_H13_C4,6852035,62.58%,
8T,M17_V0_H11_C5,6852035,62.58%,
