profile,actor,DPS,increase,
Single,M18_V0_H10_C2,856231,55.66%,
Single,M17_V0_H11_C2,856022,55.62%,
Single,M17_V0_H10_C3,855922,55.60%,
Single,M19_V0_H9_C2,855907,55.60%,
Single,M17_V1_H10_C2,855696,55.56%,
Single,M18_V0_H9_C3,855503,55.53%,
Single,M18_V1_H9_C2,855065,55.45%,
Single,M16_V0_H10_C4,854787,55.40%,
Single,M16_V0_H11_C3,854760,55.39%,
Single,M17_V0_H9_C4,854742,55.39%,
Single,M16_V1_H11_C2,854395,55.33%,
Single,M17_V1_H9_C3,854305,55.31%,
Single,M16_V1_H10_C3,853943,55.24%,
Single,M16_V1_H9_C4,853776,55.21%,
Single,M16_V2_H10_C2,853505,55.17%,
Single,M15_V0_H11_C4,853434,55.15%,
Single,M16_V0_H12_C2,853434,55.15%,
Single,M15_V0_H10_C5,853353,55.14%,
Single,M17_V2_H9_C2,853341,55.14%,
Single,M16_V0_H9_C5,853278,55.12%,
Single,M15_V1_H11_C3,853081,55.09%,
Single,M15_V1_H10_C4,853058,55.08%,
Single,M15_V2_H11_C2,852947,55.06%,
Single,M15_V0_H13_C2,852791,55.04%,
Single,M15_V2_H10_C3,852743,55.03%,
Single,M16_V2_H9_C3,852706,55.02%,
Single,M15_V0_H12_C3,852662,55.01%,
Single,M15_V1_H12_C2,852141,54.92%,
Single,M14_V1_H11_C4,852120,54.91%,
Single,M16_V3_H9_C2,851985,54.89%,
Single,M15_V0_H9_C6,851909,54.88%,
Single,M14_V0_H11_C5,851870,54.87%,
Single,M15_V1_H9_C5,851801,54.86%,
Single,M15_V3_H10_C2,851719,54.84%,
Single,M15_V2_H9_C4,851492,54.80%,
Single,M14_V1_H13_C2,851475,54.80%,
Single,M14_V0_H13_C3,851383,54.78%,
Single,M14_V0_H10_C6,851324,54.77%,
Single,M14_V2_H11_C3,851295,54.76%,
Single,M15_V3_H9_C3,851213,54.75%,
Single,M14_V1_H10_C5,851079,54.72%,
Single,M14_V2_H10_C4,851077,54.72%,
Single,M14_V0_H12_C4,850773,54.67%,
Single,M14_V1_H12_C3,850620,54.64%,
Single,M14_V3_H11_C2,850558,54.63%,
Single,M14_V3_H10_C3,850405,54.60%,
Single,M14_V0_H14_C2,850339,54.59%,
Single,M13_V1_H11_C5,850136,54.55%,
Single,M15_V4_H9_C2,849918,54.51%,
Single,M14_V2_H12_C2,849855,54.50%,
Single,M14_V1_H9_C6,849758,54.48%,
Single,M14_V0_H9_C7,849586,54.45%,
Single,M14_V3_H9_C4,849543,54.45%,
Single,M13_V0_H11_C6,849524,54.44%,
Single,M13_V0_H13_C4,849484,54.43%,
Single,M13_V2_H11_C4,849481,54.43%,
Single,M14_V2_H9_C5,849431,54.42%,
Single,M14_V4_H10_C2,849420,54.42%,
Single,M13_V2_H10_C5,849391,54.42%,
Single,M13_V1_H10_C6,849351,54.41%,
Single,M13_V1_H13_C3,849266,54.39%,
Single,M13_V0_H12_C5,849173,54.38%,
Single,M13_V3_H11_C3,849153,54.37%,
Single,M13_V0_H10_C7,849046,54.35%,
Single,M13_V2_H13_C2,848750,54.30%,
Single,M14_V4_H9_C3,848726,54.30%,
Single,M13_V3_H10_C4,848692,54.29%,
Single,M13_V1_H12_C4,848653,54.28%,
Single,M13_V0_H14_C3,848554,54.27%,
Single,M13_V1_H14_C2,848196,54.20%,
Single,M13_V4_H11_C2,848032,54.17%,
Single,M13_V4_H10_C3,848018,54.17%,
Single,M13_V2_H9_C6,847940,54.15%,
Single,M13_V2_H12_C3,847814,54.13%,
Single,M13_V0_H9_C8,847677,54.11%,
Single,M12_V1_H11_C6,847592,54.09%,
Single,M13_V1_H9_C7,847546,54.08%,
Single,M12_V0_H13_C5,847531,54.08%,
Single,M14_V5_H9_C2,847470,54.07%,
Single,M12_V0_H11_C7,847463,54.07%,
Single,M13_V3_H12_C2,847448,54.06%,
Single,M12_V1_H13_C4,847397,54.05%,
Single,M13_V3_H9_C5,847291,54.04%,
Single,M13_V5_H10_C2,847218,54.02%,
Single,M12_V2_H11_C5,847184,54.02%,
Single,M13_V0_H15_C2,847021,53.99%,
Single,M12_V3_H11_C4,846973,53.98%,
Single,M12_V2_H10_C6,846907,53.97%,
Single,M12_V0_H12_C6,846868,53.96%,
Single,M13_V4_H9_C4,846860,53.96%,
Single,M12_V0_H14_C4,846746,53.94%,
Single,M12_V2_H12_C4,846596,53.91%,
Single,M12_V2_H13_C3,846544,53.90%,
Single,M12_V1_H10_C7,846541,53.90%,
Single,M12_V3_H10_C5,846515,53.89%,
Single,M12_V4_H11_C3,846435,53.88%,
Single,M12_V1_H12_C5,846352,53.87%,
Single,M12_V3_H13_C2,846126,53.82%,
Single,M12_V4_H10_C4,846101,53.82%,
Single,M12_V0_H10_C8,846014,53.80%,
Single,M12_V1_H14_C3,845961,53.79%,
Single,M13_V5_H9_C3,845890,53.78%,
Single,M12_V3_H12_C3,845865,53.78%,
Single,M12_V1_H9_C8,845349,53.68%,
Single,M12_V2_H14_C2,845335,53.68%,
Single,M12_V5_H10_C3,845227,53.66%,
Single,M12_V0_H15_C3,845222,53.66%,
Single,M11_V2_H11_C6,845213,53.66%,
Single,M12_V4_H12_C2,845168,53.65%,
Single,M12_V3_H9_C6,845125,53.64%,
Single,M12_V5_H11_C2,845117,53.64%,
Single,M12_V2_H9_C7,845014,53.62%,
Single,M11_V2_H13_C4,844942,53.61%,
Single,M11_V0_H13_C6,844920,53.60%,
Single,M11_V1_H11_C7,844870,53.60%,
Single,M11_V1_H13_C5,844838,53.59%,
Single,M13_V6_H9_C2,844813,53.59%,
Single,M12_V1_H15_C2,844726,53.57%,
Single,M12_V0_H9_C9,844704,53.57%,
Single,M12_V4_H9_C5,844585,53.54%,
Single,M11_V0_H11_C8,844496,53.53%,
Single,M11_V3_H11_C5,844471,53.52%,
Single,M11_V2_H10_C7,844463,53.52%,
