profile,actor,DPS,increase,
2T,AR_SP_VF_nzoth_yogg_cthun_405907269549007_ME_SC_MeD,7960981,363.25%,
2T,AR_SP_VF_nzoth_yogg_cthun_405907403242447_ME_SC_MeD,7899374,359.66%,
2T,AR_SP_VF_nzoth_yogg_cthun_405907263257551_ME_SC_MeD,7894674,359.39%,
2T,AR_SP_VF_nzoth_yogg_cthun_405907261291471_ME_SC_MeD,7881921,358.65%,
2T,AR_SP_VF_nzoth_yogg_cthun_405907277937615_ME_SC_MeD,7877484,358.39%,
2T,AR_SP_VF_nzoth_yogg_cthun_405906866895823_ME_SC_MeD,7877275,358.38%,
2T,AR_SP_VF_nzoth_yogg_cthun_405915859483599_ME_SC_MeD,7842895,356.37%,
2T,AR_SP_VF_nzoth_yogg_cthun_396552964996047_ME_SC_MeD,7839927,356.20%,
2T,AR_SP_VF_nzoth_yogg_cthun_396553904520143_ME_SC_MeD,7821088,355.11%,
2T,AR_SP_VF_nzoth_yogg_cthun_396552832875471_ME_SC_MeD,7806053,354.23%,
2T,AR_SP_VF_nzoth_yogg_cthun_396553250724815_ME_MeD,7793410,353.50%,
2T,AR_EC_VF_nzoth_yogg_cthun_405907269549007_ME_SC_MeD,7769606,352.11%,
2T,AR_EC_VF_nzoth_yogg_cthun_405915859483599_ME_SC_MeD,7744165,350.63%,
2T,AR_SP_VF_nzoth_yogg_cthun_405915851096015_ME_SC_MeD,7743264,350.58%,
2T,AR_EC_VF_nzoth_yogg_cthun_396552964996047_ME_SC_MeD,7740043,350.39%,
2T,AR_SP_VF_nzoth_yogg_cthun_405907555277775_ME_MeD,7722402,349.36%,
2T,AR_EC_VF_nzoth_yogg_cthun_396553904520143_ME_SC_MeD,7720205,349.24%,
2T,AR_SP_VF_nzoth_yogg_cthun_396553106684879_ME_SC_MeD,7714184,348.88%,
2T,AR_SP_VF_nzoth_yogg_cthun_396552841264079_ME_SC_MeD,7711180,348.71%,
2T,AR_SP_VF_nzoth_yogg_cthun_405907152624591_ME_MeD,7704728,348.33%,
2T,AR_EC_VF_nzoth_yogg_cthun_405907403242447_ME_SC_MeD,7703378,348.26%,
2T,AR_EC_VF_nzoth_yogg_cthun_396552832875471_ME_SC_MeD,7701056,348.12%,
2T,AR_EC_VF_nzoth_yogg_cthun_396553250724815_ME_MeD,7694351,347.73%,
2T,AR_EC_VF_nzoth_yogg_cthun_405915853192143_ME_SC_MeD,7677580,346.76%,
2T,AR_EC_VF_nzoth_yogg_cthun_405906866895823_ME_SC_MeD,7676884,346.71%,
2T,AR_SP_VF_nzoth_yogg_cthun_396553108650959_ME_SC_MeD,7673401,346.51%,
2T,AR_EC_VF_nzoth_yogg_cthun_405915851096015_ME_SC_MeD,7669743,346.30%,
2T,AR_EC_VF_nzoth_yogg_cthun_396553114942415_ME_SC_MeD,7657144,345.57%,
2T,VW_DH_DoS_DA_yshaarj_nzoth_cthun_480714854039503_DR_SC_ShP,7614792,343.10%,
2T,VW_DH_DoS_DA_yshaarj_nzoth_cthun_480714862427087_DR_SC_ShP,7612748,342.98%,
2T,AR_EC_VF_nzoth_yogg_cthun_396552841264079_ME_SC_MeD,7609161,342.77%,
2T,VW_DH_DoS_DA_yshaarj_nzoth_cthun_480714854104015_DR_SC_ShP,7605096,342.54%,
2T,VW_DH_DoS_DA_yshaarj_nzoth_cthun_480714870815695_DR_SC_ShP,7603229,342.43%,
2T,AR_EC_VF_nzoth_yogg_cthun_396553106684879_ME_SC_MeD,7601314,342.32%,
2T,VW_DH_DoS_DA_yshaarj_nzoth_cthun_480714854169551_DR_SC_ShP,7598008,342.12%,
2T,VW_DH_VW_DA_yshaarj_nzoth_cthun_480714854104015_DR_SC_ShP,7591629,341.75%,
2T,VW_DH_VW_DA_yshaarj_nzoth_cthun_480706264169423_DR_SC_ShP,7591334,341.74%,
2T,VW_DH_VW_DA_yshaarj_nzoth_cthun_480706272492495_DR_SC_ShP,7591071,341.72%,
2T,VW_DH_VW_DA_yshaarj_nzoth_cthun_480714854039503_DR_SC_ShP,7590213,341.67%,
2T,VW_DH_VW_DA_yshaarj_nzoth_cthun_480706264104911_DR_SC_ShP,7588605,341.58%,
2T,VW_DH_DoS_DA_nzoth_yogg_cthun_410346118249423_DR_SC_ShP,7588592,341.58%,
2T,VW_DH_DoS_DA_nzoth_yogg_cthun_410346109926351_DR_SC_ShP,7588101,341.55%,
2T,VW_DH_VW_DA_yshaarj_nzoth_cthun_480706280881103_DR_SC_ShP,7587682,341.52%,
2T,VW_DH_DoS_DA_nzoth_yogg_cthun_410346109861839_DR_SC_ShP,7586376,341.45%,
2T,VW_DH_VW_DA_yshaarj_nzoth_cthun_480714870815695_DR_SC_ShP,7584364,341.33%,
2T,AR_EC_VF_nzoth_yogg_cthun_396553108650959_ME_SC_MeD,7581798,341.18%,
2T,VW_DH_VW_DA_yshaarj_nzoth_cthun_480714854169551_DR_SC_ShP,7580679,341.12%,
2T,VW_DH_DoS_DA_nzoth_yogg_cthun_410346126638031_DR_SC_ShP,7578776,341.01%,
2T,VW_DH_DoS_DA_nzoth_yogg_cthun_410346109991887_DR_SC_ShP,7577987,340.96%,
2T,VW_DH_DoS_DA_nzoth_cthun_340527138274255_DR_SC_ShP,7575838,340.83%,
2T,VW_DH_DoS_DA_nzoth_cthun_340527121562575_DR_SC_ShP,7575628,340.82%,
2T,VW_DH_DoS_DA_nzoth_cthun_340527129885647_DR_SC_ShP,7572578,340.65%,
2T,VW_DH_DoS_DA_nzoth_cthun_340527121498063_DR_SC_ShP,7572495,340.64%,
2T,VW_DH_VW_DA_nzoth_yogg_cthun_410337528314831_DR_SC_ShP,7568943,340.43%,
2T,VW_DH_VW_DA_nzoth_yogg_cthun_410337519991759_DR_SC_ShP,7568100,340.38%,
