profile,actor,DPS,increase,
8T,AR_EC_VF_nzoth_yogg_cthun_139023917496239_Flay_ME,12267386,300.42%,
8T,AR_EC_VF_nzoth_yogg_cthun_139024021305263_Flay_ME,12152110,296.66%,
8T,AR_SP_VF_nzoth_yogg_cthun_139023917496239_Flay_ME,12139839,296.26%,
8T,AR_EC_VF_nzoth_yogg_cthun_129962073372591_Flay_ME,12137425,296.18%,
8T,AR_EC_VF_nzoth_yogg_cthun_139024159717295_Flay_ME,12047772,293.25%,
8T,AR_SP_VF_nzoth_yogg_cthun_139024021305263_Flay_ME,12042816,293.09%,
8T,AR_SP_VF_nzoth_yogg_cthun_129962073372591_Flay_ME,12000816,291.72%,
8T,AR_EC_VF_nzoth_yogg_cthun_129962177181615_Flay_ME,11953257,290.17%,
8T,AR_SP_VF_nzoth_yogg_cthun_139024159717295_Flay_ME,11939855,289.73%,
8T,AR_EC_VF_nzoth_yogg_cthun_129962315593647_Flay_ME,11929922,289.40%,
8T,AR_EC_VF_nzoth_yogg_cthun_139024298095535_Flay_DR,11925381,289.26%,
8T,AR_EC_VF_nzoth_yogg_cthun_129962350162863_Flay_DR,11868036,287.38%,
8T,AR_SP_VF_nzoth_yogg_cthun_129962315593647_Flay_ME,11859097,287.09%,
8T,AR_EC_VF_nzoth_yogg_cthun_139024194286511_Flay_DR,11855074,286.96%,
8T,AR_EC_VF_nzoth_yogg_cthun_129962315593647_Flay_DR,11843804,286.59%,
8T,AR_EC_VF_nzoth_yogg_cthun_139024194286511_Flay_ME,11804603,285.31%,
8T,AR_SP_VF_nzoth_yogg_cthun_139024298095535_Flay_DR,11781593,284.56%,
8T,AR_EC_VF_yogg_cthun_121432268322735_Flay_ME,11781488,284.56%,
8T,AR_EC_VF_nzoth_yogg_cthun_139024159717295_Flay_DR,11777270,284.42%,
8T,AR_SP_VF_nzoth_yogg_cthun_129962350162863_Flay_DR,11767951,284.12%,
8T,AR_SP_VF_nzoth_yogg_cthun_139024159717295_Flay_DR,11764671,284.01%,
8T,AR_SP_VF_nzoth_yogg_cthun_129962177181615_Flay_ME,11748284,283.48%,
8T,AR_SP_VF_nzoth_yogg_cthun_129962315593647_Flay_DR,11744028,283.34%,
8T,AR_EC_VF_nzoth_yogg_cthun_129962453971887_Flay_DR,11743346,283.31%,
8T,AR_EC_VF_nzoth_yogg_cthun_139024055874479_Flay_ME,11741581,283.26%,
8T,AR_EC_VF_nzoth_yogg_cthun_139024021305263_Flay_DR,11730282,282.89%,
8T,AR_EC_VF_yogg_cthun_112644765235119_Flay_ME,11723388,282.66%,
8T,AR_EC_VF_yogg_cthun_121431735646127_Flay_ME,11723217,282.66%,
8T,AR_SP_VF_yogg_cthun_121432268322735_Flay_ME,11710286,282.24%,
8T,AR_EC_VF_yogg_cthun_121432510543791_Flay_ME,11685476,281.43%,
8T,AR_SP_VF_nzoth_yogg_cthun_139024194286511_Flay_DR,11678231,281.19%,
8T,AR_SP_VF_nzoth_yogg_cthun_139024021305263_Flay_DR,11678229,281.19%,
8T,AR_EC_VF_yogg_cthun_112369895716783_Flay_ME,11675352,281.10%,
8T,AR_EC_VF_yogg_cthun_121431739840431_Flay_ME,11661251,280.64%,
8T,AR_EC_VF_yogg_cthun_121431974721455_Flay_ME,11637379,279.86%,
8T,AR_EC_VF_yogg_cthun_121431843649455_Flay_ME,11634077,279.75%,
8T,AR_EC_VF_yogg_cthun_121432372131759_Flay_ME,11618967,279.25%,
8T,AR_SP_VF_nzoth_yogg_cthun_139024194286511_Flay_ME,11618259,279.23%,
8T,AR_EC_VF_yogg_cthun_121431836309423_Flay_ME,11615187,279.13%,
8T,AR_SP_VF_yogg_cthun_121431836309423_Flay_ME,11608985,278.93%,
8T,AR_EC_VF_nzoth_yogg_cthun_139024298095535_Flay_ME,11607243,278.87%,
8T,AR_EC_VF_yogg_cthun_121432510543791_Flay_DR,11600223,278.64%,
8T,AR_EC_VF_yogg_cthun_112645007456175_Flay_ME,11598590,278.59%,
8T,AR_SP_VF_yogg_cthun_121431735646127_Flay_ME,11598280,278.58%,
8T,AR_EC_VF_yogg_cthun_121432012436399_Flay_DR,11594810,278.47%,
8T,AR_EC_VF_nzoth_yogg_cthun_129962350162863_Flay_ME,11591178,278.35%,
8T,AR_EC_VF_yogg_cthun_121431977867183_Flay_ME,11589432,278.29%,
8T,AR_SP_VF_nzoth_yogg_cthun_129962453971887_Flay_DR,11586528,278.20%,
8T,AR_EC_VF_nzoth_yogg_cthun_139023917496239_Flay_DR,11585540,278.16%,
8T,AR_EC_VF_yogg_cthun_112369891522479_Flay_ME,11579734,277.97%,
8T,AR_SP_VF_yogg_cthun_121432510543791_Flay_DR,11574021,277.79%,
8T,AR_SP_VF_nzoth_yogg_cthun_129962073372591_Flay_DR,11564853,277.49%,
8T,AR_EC_VF_yogg_cthun_121432113099695_Flay_DR,11564686,277.48%,
8T,AR_SP_VF_nzoth_yogg_cthun_129962177181615_Flay_DR,11558313,277.28%,
8T,AR_SP_VF_yogg_cthun_121431739840431_Flay_ME,11556816,277.23%,
8T,AR_EC_VF_yogg_cthun_121431977867183_Flay_DR,11554241,277.14%,
8T,AR_SP_VF_nzoth_yogg_cthun_139024055874479_Flay_ME,11549283,276.98%,
8T,AR_EC_VF_nzoth_yogg_cthun_129962073372591_Flay_DR,11545959,276.87%,
8T,AR_SP_VF_yogg_cthun_121431974721455_Flay_ME,11540848,276.71%,
8T,AR_EC_VF_yogg_cthun_121432805193647_Flay_ME,11537557,276.60%,
8T,AR_EC_VF_nzoth_yogg_cthun_129962177181615_Flay_DR,11521712,276.08%,
8T,AR_SP_VF_nzoth_yogg_cthun_139023917496239_Flay_DR,11511221,275.74%,
8T,AR_SP_VF_yogg_cthun_121432510543791_Flay_ME,11510070,275.70%,
8T,AR_EC_VF_yogg_cthun_121432545113007_Flay_DR,11500021,275.37%,
8T,AR_SP_VF_yogg_cthun_121431977867183_Flay_DR,11476480,274.60%,
8T,AR_SP_VF_nzoth_yogg_cthun_139024298095535_Flay_ME,11476285,274.60%,
8T,AR_EC_VF_yogg_cthun_121431843649455_Flay_DR,11472535,274.48%,
8T,AR_EC_VF_yogg_cthun_112370130597807_Flay_ME,11467375,274.31%,
8T,AR_EC_VF_yogg_cthun_112370133743535_Flay_DR,11466985,274.29%,
8T,AR_EC_VF_yogg_cthun_112370133743535_Flay_ME,11465604,274.25%,
8T,AR_EC_VF_nzoth_yogg_cthun_129962211750831_Flay_ME,11464269,274.21%,
8T,AR_SP_VF_yogg_cthun_112644765235119_Flay_ME,11460630,274.09%,
8T,AR_EC_VF_yogg_cthun_121431974721455_Flay_DR,11459636,274.05%,
8T,AR_EC_VF_yogg_cthun_112645042025391_Flay_DR,11456726,273.96%,
8T,AR_SP_VF_yogg_cthun_121432372131759_Flay_ME,11456408,273.95%,
8T,AR_EC_VF_yogg_cthun_112370130597807_Flay_DR,11450111,273.74%,
8T,AR_SP_VF_yogg_cthun_121431843649455_Flay_ME,11436852,273.31%,
8T,AR_SP_VF_yogg_cthun_112369895716783_Flay_ME,11435914,273.28%,
8T,AR_EC_VF_yogg_cthun_112645007456175_Flay_DR,11427220,273.00%,
8T,AR_EC_VF_yogg_cthun_121432648922031_Flay_DR,11425207,272.93%,
8T,AR_SP_VF_yogg_cthun_121432113099695_Flay_DR,11421900,272.82%,
8T,AR_EC_VF_yogg_cthun_112369992185775_Flay_ME,11418714,272.72%,
8T,AR_EC_VF_yogg_cthun_112369999525807_Flay_ME,11414366,272.58%,
8T,AR_SP_VF_nzoth_yogg_cthun_139024055874479_Flay_DR,11413851,272.56%,
8T,AR_EC_VF_yogg_cthun_112644869044143_Flay_ME,11408131,272.37%,
