profile,actor,DPS,increase,
4T,Gale_of_Shadows_639-Spymasters_Web_639,2779367,19.03%,
4T,Ara_Kara_Sacbrood_639-Spymasters_Web_639,2775043,18.85%,
4T,Unbound_Changeling_Haste_639-Spymasters_Web_639,2768032,18.55%,
4T,Unbound_Changeling_All_639-Spymasters_Web_639,2767828,18.54%,
4T,Empowering_Crystal_of_Anubikkaj_639-Spymasters_Web_639,2765325,18.43%,
4T,Unbound_Changeling_Mastery_639-Spymasters_Web_639,2765084,18.42%,
4T,Spymasters_Web_639-Quickwick_Candlestick_626,2754321,17.96%,
4T,Spymasters_Web_639-Ovinaxs_Mercurial_Egg_639,2753321,17.92%,
4T,Spymasters_Web_639-Treacherous_Transmitter_639,2741540,17.41%,
4T,Hadals_Nautilus_639-Spymasters_Web_639,2736652,17.20%,
4T,Satchel_of_Misbegotten_Minions_639-Spymasters_Web_639,2735039,17.13%,
4T,Aberrant_Spellforge_639-Spymasters_Web_639,2731745,16.99%,
4T,Energy_Siphon_619-Spymasters_Web_639,2729974,16.92%,
4T,Ara_Kara_Sacbrood_639-Gale_of_Shadows_639,2713231,16.20%,
4T,Living_Flame_619-Spymasters_Web_639,2709613,16.04%,
4T,Unbound_Changeling_Haste_639-Gale_of_Shadows_639,2707471,15.95%,
4T,Unbound_Changeling_All_639-Gale_of_Shadows_639,2706387,15.91%,
4T,Empowering_Crystal_of_Anubikkaj_639-Gale_of_Shadows_639,2705915,15.89%,
4T,Unbound_Changeling_Mastery_639-Gale_of_Shadows_639,2705609,15.87%,
4T,Gale_of_Shadows_639-Treacherous_Transmitter_639,2703724,15.79%,
4T,Gale_of_Shadows_639-Quickwick_Candlestick_626,2703545,15.78%,
4T,Ara_Kara_Sacbrood_639-Unbound_Changeling_Haste_639,2703109,15.77%,
4T,Ara_Kara_Sacbrood_639-Unbound_Changeling_All_639,2702783,15.75%,
4T,Ara_Kara_Sacbrood_639-Unbound_Changeling_Mastery_639,2702416,15.74%,
4T,Ara_Kara_Sacbrood_639-Empowering_Crystal_of_Anubikkaj_639,2701186,15.68%,
4T,Ara_Kara_Sacbrood_639-Quickwick_Candlestick_626,2701028,15.68%,
4T,Living_Flame_619-Gale_of_Shadows_639,2699636,15.62%,
4T,Ara_Kara_Sacbrood_639-Treacherous_Transmitter_639,2699211,15.60%,
4T,Spymasters_Web_639-Forged_Gladiators_Badge_of_Ferocity_626,2696858,15.50%,
4T,Gale_of_Shadows_639-Ovinaxs_Mercurial_Egg_639,2696375,15.48%,
4T,Living_Flame_619-Ara_Kara_Sacbrood_639,2696275,15.47%,
4T,Empowering_Crystal_of_Anubikkaj_639-Unbound_Changeling_Haste_639,2696090,15.47%,
4T,Energy_Siphon_619-Gale_of_Shadows_639,2695400,15.44%,
4T,Unbound_Changeling_Haste_639-Treacherous_Transmitter_639,2694883,15.41%,
4T,Unbound_Changeling_Mastery_639-Treacherous_Transmitter_639,2694460,15.40%,
4T,Unbound_Changeling_All_639-Treacherous_Transmitter_639,2694435,15.39%,
4T,Unbound_Changeling_Haste_639-Quickwick_Candlestick_626,2694122,15.38%,
4T,Empowering_Crystal_of_Anubikkaj_639-Unbound_Changeling_All_639,2693927,15.37%,
4T,Empowering_Crystal_of_Anubikkaj_639-Treacherous_Transmitter_639,2693560,15.36%,
4T,Unbound_Changeling_All_639-Quickwick_Candlestick_626,2692678,15.32%,
4T,Empowering_Crystal_of_Anubikkaj_639-Quickwick_Candlestick_626,2691744,15.28%,
4T,Empowering_Crystal_of_Anubikkaj_639-Unbound_Changeling_Mastery_639,2691639,15.28%,
4T,Unbound_Changeling_Mastery_639-Quickwick_Candlestick_626,2691305,15.26%,
4T,Ara_Kara_Sacbrood_639-Ovinaxs_Mercurial_Egg_639,2690578,15.23%,
4T,Energy_Siphon_619-Ara_Kara_Sacbrood_639,2689884,15.20%,
4T,Living_Flame_619-Unbound_Changeling_Haste_639,2688620,15.15%,
4T,Living_Flame_619-Unbound_Changeling_All_639,2688415,15.14%,
4T,Living_Flame_619-Empowering_Crystal_of_Anubikkaj_639,2686753,15.07%,
4T,Living_Flame_619-Unbound_Changeling_Mastery_639,2686604,15.06%,
4T,Energy_Siphon_619-Unbound_Changeling_Haste_639,2683770,14.94%,
4T,Unbound_Changeling_Haste_639-Ovinaxs_Mercurial_Egg_639,2683689,14.93%,
4T,Ovinaxs_Mercurial_Egg_639-Treacherous_Transmitter_639,2683519,14.93%,
4T,Unbound_Changeling_All_639-Ovinaxs_Mercurial_Egg_639,2683351,14.92%,
4T,Energy_Siphon_619-Unbound_Changeling_All_639,2682542,14.89%,
4T,Treacherous_Transmitter_639-Quickwick_Candlestick_626,2682221,14.87%,
4T,Ovinaxs_Mercurial_Egg_639-Quickwick_Candlestick_626,2681624,14.85%,
4T,Energy_Siphon_619-Empowering_Crystal_of_Anubikkaj_639,2681495,14.84%,
4T,Empowering_Crystal_of_Anubikkaj_639-Ovinaxs_Mercurial_Egg_639,2681350,14.83%,
4T,Unbound_Changeling_Mastery_639-Ovinaxs_Mercurial_Egg_639,2680200,14.79%,
4T,Energy_Siphon_619-Unbound_Changeling_Mastery_639,2679823,14.77%,
4T,Hadals_Nautilus_639-Gale_of_Shadows_639,2679112,14.74%,
4T,Living_Flame_619-Quickwick_Candlestick_626,2678755,14.72%,
4T,Satchel_of_Misbegotten_Minions_639-Gale_of_Shadows_639,2678471,14.71%,
4T,Gale_of_Shadows_639-Forged_Gladiators_Badge_of_Ferocity_626,2677842,14.68%,
4T,Living_Flame_619-Ovinaxs_Mercurial_Egg_639,2676893,14.64%,
