profile,actor,DPS,increase,
Composite,Azhiccaran_Parapodia_723-Arazs_Ritual_Forge_723,6266677,21.12%,
Composite,Diamantine_Voidcore_723-Arazs_Ritual_Forge_723,6253668,20.87%,
Composite,Empowering_Crystal_of_Anubikkaj_723-Arazs_Ritual_Forge_723,6240035,20.61%,
Composite,AraKara_Sacbrood_723-Arazs_Ritual_Forge_723,6236326,20.54%,
Composite,Soleahs_Secret_Technique_Mastery_723-Arazs_Ritual_Forge_723,6236155,20.53%,
Composite,Astral_Antenna_723-Arazs_Ritual_Forge_723,6228849,20.39%,
Composite,Soleahs_Secret_Technique_Haste_723-Arazs_Ritual_Forge_723,6224921,20.31%,
Composite,Mugs_Moxie_Jug_684-Arazs_Ritual_Forge_723,6204999,19.93%,
Composite,Signet_of_the_Priory_723-Azhiccaran_Parapodia_723,6191920,19.68%,
Composite,Lily_of_the_Eternal_Weave_723-Azhiccaran_Parapodia_723,6189418,19.63%,
Composite,Signet_of_the_Priory_723-Diamantine_Voidcore_723,6171602,19.28%,
Composite,Empowering_Crystal_of_Anubikkaj_723-Signet_of_the_Priory_723,6170558,19.26%,
Composite,Lily_of_the_Eternal_Weave_723-Diamantine_Voidcore_723,6165960,19.18%,
Composite,Empowering_Crystal_of_Anubikkaj_723-Lily_of_the_Eternal_Weave_723,6165095,19.16%,
Composite,Signet_of_the_Priory_723-Astral_Antenna_723,6164271,19.14%,
Composite,Signet_of_the_Priory_723-AraKara_Sacbrood_723,6161642,19.09%,
Composite,Naazindhris_Mystic_Lash_723-Arazs_Ritual_Forge_723,6161258,19.08%,
Composite,AraKara_Sacbrood_723-Lily_of_the_Eternal_Weave_723,6160671,19.07%,
Composite,Azhiccaran_Parapodia_723-Diamantine_Voidcore_723,6159584,19.05%,
Composite,Lily_of_the_Eternal_Weave_723-Astral_Antenna_723,6159482,19.05%,
Composite,Signet_of_the_Priory_723-Soleahs_Secret_Technique_Mastery_723,6155787,18.98%,
Composite,Signet_of_the_Priory_723-Soleahs_Secret_Technique_Haste_723,6154902,18.96%,
Composite,Lily_of_the_Eternal_Weave_723-Soleahs_Secret_Technique_Haste_723,6151237,18.89%,
Composite,Lily_of_the_Eternal_Weave_723-Soleahs_Secret_Technique_Mastery_723,6150788,18.88%,
Composite,Signet_of_the_Priory_723-Lily_of_the_Eternal_Weave_723,6149395,18.86%,
Composite,Empowering_Crystal_of_Anubikkaj_723-Azhiccaran_Parapodia_723,6149038,18.85%,
Composite,Azhiccaran_Parapodia_723-Astral_Antenna_723,6141868,18.71%,
Composite,Azhiccaran_Parapodia_723-Soleahs_Secret_Technique_Mastery_723,6141573,18.70%,
Composite,Eye_of_Kezan_684-Arazs_Ritual_Forge_723,6141347,18.70%,
Composite,Mugs_Moxie_Jug_684-Signet_of_the_Priory_723,6139957,18.67%,
Composite,Mugs_Moxie_Jug_684-Lily_of_the_Eternal_Weave_723,6135884,18.59%,
Composite,Empowering_Crystal_of_Anubikkaj_723-Diamantine_Voidcore_723,6134322,18.56%,
Composite,AraKara_Sacbrood_723-Diamantine_Voidcore_723,6129195,18.46%,
Composite,Diamantine_Voidcore_723-Astral_Antenna_723,6126846,18.42%,
Composite,AraKara_Sacbrood_723-Azhiccaran_Parapodia_723,6122657,18.34%,
Composite,Soleahs_Secret_Technique_Mastery_723-Diamantine_Voidcore_723,6121479,18.32%,
Composite,Mugs_Moxie_Jug_684-Azhiccaran_Parapodia_723,6121212,18.31%,
Composite,Soleahs_Secret_Technique_Haste_723-Diamantine_Voidcore_723,6117689,18.24%,
Composite,Empowering_Crystal_of_Anubikkaj_723-AraKara_Sacbrood_723,6117200,18.23%,
Composite,Empowering_Crystal_of_Anubikkaj_723-Soleahs_Secret_Technique_Mastery_723,6117134,18.23%,
Composite,Empowering_Crystal_of_Anubikkaj_723-Astral_Antenna_723,6115920,18.21%,
Composite,Signet_of_the_Priory_723-Arazs_Ritual_Forge_723,6115281,18.20%,
Composite,Azhiccaran_Parapodia_723-Soleahs_Secret_Technique_Haste_723,6113033,18.15%,
Composite,Soleahs_Secret_Technique_Mastery_723-Astral_Antenna_723,6111681,18.13%,
Composite,AraKara_Sacbrood_723-Soleahs_Secret_Technique_Mastery_723,6111665,18.13%,
Composite,AraKara_Sacbrood_723-Astral_Antenna_723,6111627,18.13%,
Composite,Lily_of_the_Eternal_Weave_723-Arazs_Ritual_Forge_723,6109855,18.09%,
Composite,Empowering_Crystal_of_Anubikkaj_723-Soleahs_Secret_Technique_Haste_723,6106656,18.03%,
Composite,Mugs_Moxie_Jug_684-Diamantine_Voidcore_723,6105883,18.01%,
Composite,Soleahs_Secret_Technique_Haste_723-Astral_Antenna_723,6100403,17.91%,
Composite,Signet_of_the_Priory_723-Naazindhris_Mystic_Lash_723,6094028,17.79%,
Composite,Mugs_Moxie_Jug_684-Empowering_Crystal_of_Anubikkaj_723,6093986,17.78%,
Composite,Mugs_Moxie_Jug_684-AraKara_Sacbrood_723,6090385,17.71%,
Composite,Lily_of_the_Eternal_Weave_723-Naazindhris_Mystic_Lash_723,6089240,17.69%,
Composite,Mugs_Moxie_Jug_684-Soleahs_Secret_Technique_Mastery_723,6087710,17.66%,
Composite,AraKara_Sacbrood_723-Soleahs_Secret_Technique_Haste_723,6082244,17.56%,
Composite,House_of_Cards_684-Azhiccaran_Parapodia_723,6080670,17.53%,
Composite,Mugs_Moxie_Jug_684-Soleahs_Secret_Technique_Haste_723,6078216,17.48%,
Composite,Mugs_Moxie_Jug_684-Astral_Antenna_723,6076966,17.46%,
Composite,Azhiccaran_Parapodia_723-Naazindhris_Mystic_Lash_723,6071187,17.34%,
Composite,Screams_of_a_Forgotten_Sky_723-Arazs_Ritual_Forge_723,6062903,17.18%,
Composite,Eye_of_Kezan_684-Signet_of_the_Priory_723,6059383,17.12%,
Composite,Diamantine_Voidcore_723-Naazindhris_Mystic_Lash_723,6058612,17.10%,
Composite,House_of_Cards_684-Empowering_Crystal_of_Anubikkaj_723,6056532,17.06%,
Composite,House_of_Cards_684-Diamantine_Voidcore_723,6056336,17.06%,
Composite,Eye_of_Kezan_684-Lily_of_the_Eternal_Weave_723,6055880,17.05%,
Composite,House_of_Cards_684-Astral_Antenna_723,6051226,16.96%,
Composite,House_of_Cards_684-AraKara_Sacbrood_723,6049271,16.92%,
Composite,Empowering_Crystal_of_Anubikkaj_723-Naazindhris_Mystic_Lash_723,6047551,16.89%,
Composite,Eye_of_Kezan_684-Azhiccaran_Parapodia_723,6046869,16.87%,
Composite,AraKara_Sacbrood_723-Naazindhris_Mystic_Lash_723,6042413,16.79%,
Composite,House_of_Cards_684-Soleahs_Secret_Technique_Mastery_723,6041772,16.77%,
Composite,House_of_Cards_684-Soleahs_Secret_Technique_Haste_723,6041115,16.76%,
Composite,House_of_Cards_684-Signet_of_the_Priory_723,6040447,16.75%,
Composite,Astral_Antenna_723-Naazindhris_Mystic_Lash_723,6040039,16.74%,
Composite,Soleahs_Secret_Technique_Mastery_723-Naazindhris_Mystic_Lash_723,6039143,16.72%,
Composite,Miniscule_Mailemental_in_an_Envelope_723-Arazs_Ritual_Forge_723,6038088,16.70%,
Composite,House_of_Cards_684-Lily_of_the_Eternal_Weave_723,6035269,16.65%,
Composite,Soleahs_Secret_Technique_Haste_723-Naazindhris_Mystic_Lash_723,6031282,16.57%,
Composite,Eye_of_Kezan_684-Diamantine_Voidcore_723,6027873,16.51%,
Composite,House_of_Cards_684-Mugs_Moxie_Jug_684,6025426,16.46%,
Composite,Eye_of_Kezan_684-Empowering_Crystal_of_Anubikkaj_723,6022713,16.41%,
Composite,Mugs_Moxie_Jug_684-Naazindhris_Mystic_Lash_723,6018678,16.33%,
Composite,Eye_of_Kezan_684-AraKara_Sacbrood_723,6015527,16.27%,
Composite,Eye_of_Kezan_684-Astral_Antenna_723,6014748,16.25%,
Composite,Eye_of_Kezan_684-Soleahs_Secret_Technique_Mastery_723,6010804,16.18%,
Composite,Eye_of_Kezan_684-Soleahs_Secret_Technique_Haste_723,6007015,16.10%,
Composite,House_of_Cards_684-Arazs_Ritual_Forge_723,6001389,15.99%,
Composite,Mugs_Moxie_Jug_684-Eye_of_Kezan_684,5992485,15.82%,
Composite,Signet_of_the_Priory_723-Screams_of_a_Forgotten_Sky_723,5987161,15.72%,
Composite,Lily_of_the_Eternal_Weave_723-Screams_of_a_Forgotten_Sky_723,5982142,15.62%,
Composite,Arazs_Ritual_Forge_723-Perfidious_Projector_723,5981093,15.60%,
Composite,House_of_Cards_684-Naazindhris_Mystic_Lash_723,5981000,15.60%,
Composite,Azhiccaran_Parapodia_723-Screams_of_a_Forgotten_Sky_723,5974136,15.47%,
Composite,Signet_of_the_Priory_723-Miniscule_Mailemental_in_an_Envelope_723,5960657,15.21%,
Composite,Lily_of_the_Eternal_Weave_723-Miniscule_Mailemental_in_an_Envelope_723,5957914,15.15%,
Composite,Diamantine_Voidcore_723-Screams_of_a_Forgotten_Sky_723,5953449,15.07%,
Composite,Empowering_Crystal_of_Anubikkaj_723-Screams_of_a_Forgotten_Sky_723,5946367,14.93%,
Composite,Eye_of_Kezan_684-Naazindhris_Mystic_Lash_723,5946296,14.93%,
Composite,House_of_Cards_684-Eye_of_Kezan_684,5945769,14.92%,
Composite,AraKara_Sacbrood_723-Screams_of_a_Forgotten_Sky_723,5943796,14.88%,
Composite,Soleahs_Secret_Technique_Mastery_723-Screams_of_a_Forgotten_Sky_723,5935850,14.73%,
Composite,Astral_Antenna_723-Screams_of_a_Forgotten_Sky_723,5932566,14.66%,
Composite,Soleahs_Secret_Technique_Haste_723-Screams_of_a_Forgotten_Sky_723,5930968,14.63%,
Composite,Miniscule_Mailemental_in_an_Envelope_723-Diamantine_Voidcore_723,5928563,14.59%,
Composite,Azhiccaran_Parapodia_723-Miniscule_Mailemental_in_an_Envelope_723,5926570,14.55%,
Composite,Empowering_Crystal_of_Anubikkaj_723-Miniscule_Mailemental_in_an_Envelope_723,5920336,14.43%,
Composite,Miniscule_Mailemental_in_an_Envelope_723-Astral_Antenna_723,5915419,14.33%,
Composite,Miniscule_Mailemental_in_an_Envelope_723-Soleahs_Secret_Technique_Mastery_723,5912027,14.27%,
Composite,Mugs_Moxie_Jug_684-Screams_of_a_Forgotten_Sky_723,5906979,14.17%,
Composite,Diamantine_Voidcore_723-Perfidious_Projector_723,5904567,14.12%,
Composite,Signet_of_the_Priory_723-Perfidious_Projector_723,5903771,14.11%,
Composite,Azhiccaran_Parapodia_723-Perfidious_Projector_723,5902676,14.09%,
Composite,Lily_of_the_Eternal_Weave_723-Perfidious_Projector_723,5900221,14.04%,
Composite,AraKara_Sacbrood_723-Miniscule_Mailemental_in_an_Envelope_723,5897446,13.99%,
Composite,Empowering_Crystal_of_Anubikkaj_723-Perfidious_Projector_723,5894334,13.93%,
Composite,Mugs_Moxie_Jug_684-Miniscule_Mailemental_in_an_Envelope_723,5890129,13.84%,
Composite,Astral_Antenna_723-Perfidious_Projector_723,5889379,13.83%,
Composite,Miniscule_Mailemental_in_an_Envelope_723-Soleahs_Secret_Technique_Haste_723,5888177,13.81%,
Composite,Soleahs_Secret_Technique_Mastery_723-Perfidious_Projector_723,5887765,13.80%,
Composite,House_of_Cards_684-Screams_of_a_Forgotten_Sky_723,5875373,13.56%,
Composite,Naazindhris_Mystic_Lash_723-Screams_of_a_Forgotten_Sky_723,5874427,13.54%,
Composite,AraKara_Sacbrood_723-Perfidious_Projector_723,5870165,13.46%,
Composite,Mugs_Moxie_Jug_684-Perfidious_Projector_723,5864855,13.36%,
Composite,Soleahs_Secret_Technique_Haste_723-Perfidious_Projector_723,5860944,13.28%,
Composite,House_of_Cards_684-Miniscule_Mailemental_in_an_Envelope_723,5849409,13.06%,
Composite,Miniscule_Mailemental_in_an_Envelope_723-Naazindhris_Mystic_Lash_723,5848654,13.04%,
Composite,Eye_of_Kezan_684-Screams_of_a_Forgotten_Sky_723,5841722,12.91%,
Composite,Naazindhris_Mystic_Lash_723-Perfidious_Projector_723,5825290,12.59%,
Composite,Eye_of_Kezan_684-Miniscule_Mailemental_in_an_Envelope_723,5818548,12.46%,
Composite,Eye_of_Kezan_684-Perfidious_Projector_723,5793625,11.98%,
Composite,House_of_Cards_684-Perfidious_Projector_723,5791966,11.95%,
Composite,Miniscule_Mailemental_in_an_Envelope_723-Screams_of_a_Forgotten_Sky_723,5744289,11.03%,
Composite,Screams_of_a_Forgotten_Sky_723-Perfidious_Projector_723,5720291,10.56%,
Composite,Miniscule_Mailemental_in_an_Envelope_723-Perfidious_Projector_723,5674880,9.68%,
Composite,Base,5173858,0.00%,
