profile,actor,DPS,increase,
Dungeons-Route,Mugs_Moxie_Jug_678-Eye_of_Kezan_678,2671530,19.42%,
Dungeons-Route,Synergistic_Brewterializer_678-Eye_of_Kezan_678,2665863,19.17%,
Dungeons-Route,Synergistic_Brewterializer_678-Mugs_Moxie_Jug_678,2656884,18.76%,
Dungeons-Route,Mugs_Moxie_Jug_665-Eye_of_Kezan_678,2652461,18.57%,
Dungeons-Route,Mugs_Moxie_Jug_678-Eye_of_Kezan_665,2647902,18.36%,
Dungeons-Route,Entropic_Skardyn_Core_678-Eye_of_Kezan_678,2643620,18.17%,
Dungeons-Route,Synergistic_Brewterializer_678-Eye_of_Kezan_665,2642808,18.14%,
Dungeons-Route,Synergistic_Brewterializer_665-Eye_of_Kezan_678,2641870,18.09%,
Dungeons-Route,Carved_Blazikon_Wax_678-Eye_of_Kezan_678,2638643,17.95%,
Dungeons-Route,Synergistic_Brewterializer_678-Mugs_Moxie_Jug_665,2637829,17.91%,
Dungeons-Route,Synergistic_Brewterializer_665-Mugs_Moxie_Jug_678,2631754,17.64%,
Dungeons-Route,Entropic_Skardyn_Core_678-Mugs_Moxie_Jug_678,2629607,17.55%,
Dungeons-Route,Mugs_Moxie_Jug_665-Eye_of_Kezan_665,2629168,17.53%,
Dungeons-Route,Eye_of_Kezan_678-Suspicious_Energy_Drink_665,2628909,17.51%,
Dungeons-Route,Entropic_Skardyn_Core_678-Synergistic_Brewterializer_678,2628497,17.50%,
Dungeons-Route,Reverb_Radio_678-Eye_of_Kezan_678,2626400,17.40%,
Dungeons-Route,Carved_Blazikon_Wax_678-Mugs_Moxie_Jug_678,2626076,17.39%,
Dungeons-Route,Entropic_Skardyn_Core_665-Eye_of_Kezan_678,2625764,17.37%,
Dungeons-Route,House_of_Cards_678-Eye_of_Kezan_678,2623816,17.29%,
Dungeons-Route,Signet_of_the_Priory_678-Eye_of_Kezan_678,2622463,17.23%,
Dungeons-Route,Synergistic_Brewterializer_678-Carved_Blazikon_Wax_678,2622404,17.22%,
Dungeons-Route,Carved_Blazikon_Wax_665-Eye_of_Kezan_678,2621123,17.17%,
Dungeons-Route,Entropic_Skardyn_Core_678-Eye_of_Kezan_665,2621070,17.16%,
Dungeons-Route,Mugs_Moxie_Jug_678-Suspicious_Energy_Drink_665,2619083,17.08%,
Dungeons-Route,Synergistic_Brewterializer_665-Eye_of_Kezan_665,2619017,17.07%,
Dungeons-Route,Carved_Blazikon_Wax_678-Eye_of_Kezan_665,2615395,16.91%,
Dungeons-Route,House_of_Cards_678-Mugs_Moxie_Jug_678,2614354,16.86%,
Dungeons-Route,Synergistic_Brewterializer_678-Suspicious_Energy_Drink_665,2613973,16.85%,
Dungeons-Route,Reverb_Radio_678-Mugs_Moxie_Jug_678,2613561,16.83%,
Dungeons-Route,Soulletting_Ruby_678-Eye_of_Kezan_678,2612852,16.80%,
Dungeons-Route,Synergistic_Brewterializer_665-Mugs_Moxie_Jug_665,2611461,16.73%,
Dungeons-Route,Entropic_Skardyn_Core_665-Mugs_Moxie_Jug_678,2610525,16.69%,
Dungeons-Route,Synergistic_Brewterializer_678-House_of_Cards_678,2610366,16.69%,
Dungeons-Route,Geargrinders_Spare_Keys_678-Eye_of_Kezan_678,2610299,16.68%,
Dungeons-Route,Entropic_Skardyn_Core_678-Mugs_Moxie_Jug_665,2610120,16.67%,
Dungeons-Route,Synergistic_Brewterializer_678-Reverb_Radio_678,2610026,16.67%,
Dungeons-Route,Eye_of_Kezan_678-Funhouse_Lens_665,2609423,16.64%,
Dungeons-Route,Entropic_Skardyn_Core_665-Synergistic_Brewterializer_678,2609312,16.64%,
Dungeons-Route,Signet_of_the_Priory_678-Mugs_Moxie_Jug_678,2609008,16.62%,
Dungeons-Route,Carved_Blazikon_Wax_665-Mugs_Moxie_Jug_678,2608042,16.58%,
Dungeons-Route,House_of_Cards_665-Eye_of_Kezan_678,2607491,16.56%,
Dungeons-Route,Carved_Blazikon_Wax_678-Mugs_Moxie_Jug_665,2606181,16.50%,
Dungeons-Route,Signet_of_the_Priory_665-Eye_of_Kezan_678,2605759,16.48%,
Dungeons-Route,Eye_of_Kezan_665-Suspicious_Energy_Drink_665,2605444,16.47%,
Dungeons-Route,Signet_of_the_Priory_678-Synergistic_Brewterializer_678,2605223,16.46%,
Dungeons-Route,Synergistic_Brewterializer_678-Carved_Blazikon_Wax_665,2604450,16.42%,
Dungeons-Route,Eye_of_Kezan_678-Quickwick_Candlestick_665,2603898,16.40%,
Dungeons-Route,Eye_of_Kezan_678-Spymasters_Web_639,2603333,16.37%,
Dungeons-Route,Reverb_Radio_678-Eye_of_Kezan_665,2603075,16.36%,
Dungeons-Route,Entropic_Skardyn_Core_678-Synergistic_Brewterializer_665,2603070,16.36%,
Dungeons-Route,Entropic_Skardyn_Core_665-Eye_of_Kezan_665,2602909,16.35%,
Dungeons-Route,House_of_Cards_678-Eye_of_Kezan_665,2600863,16.26%,
Dungeons-Route,Signet_of_the_Priory_678-Eye_of_Kezan_665,2598966,16.18%,
Dungeons-Route,Mugs_Moxie_Jug_665-Suspicious_Energy_Drink_665,2598483,16.15%,
Dungeons-Route,Carved_Blazikon_Wax_665-Eye_of_Kezan_665,2598117,16.14%,
Dungeons-Route,Entropic_Skardyn_Core_678-Carved_Blazikon_Wax_678,2598016,16.13%,
Dungeons-Route,Soulletting_Ruby_678-Mugs_Moxie_Jug_678,2597949,16.13%,
Dungeons-Route,Geargrinders_Spare_Keys_678-Mugs_Moxie_Jug_678,2597494,16.11%,
Dungeons-Route,Soulletting_Ruby_665-Eye_of_Kezan_678,2597150,16.09%,
Dungeons-Route,Synergistic_Brewterializer_665-Carved_Blazikon_Wax_678,2596694,16.07%,
Dungeons-Route,Synergistic_Brewterializer_678-Soulletting_Ruby_678,2596390,16.06%,
Dungeons-Route,House_of_Cards_665-Mugs_Moxie_Jug_678,2596294,16.06%,
Dungeons-Route,Mugs_Moxie_Jug_678-Funhouse_Lens_665,2595043,16.00%,
Dungeons-Route,Synergistic_Brewterializer_678-Funhouse_Lens_665,2593904,15.95%,
Dungeons-Route,House_of_Cards_678-Mugs_Moxie_Jug_665,2593746,15.94%,
Dungeons-Route,Reverb_Radio_678-Mugs_Moxie_Jug_665,2593259,15.92%,
Dungeons-Route,Synergistic_Brewterializer_678-Geargrinders_Spare_Keys_678,2593106,15.91%,
Dungeons-Route,Synergistic_Brewterializer_678-House_of_Cards_665,2593050,15.91%,
Dungeons-Route,Signet_of_the_Priory_665-Mugs_Moxie_Jug_678,2591244,15.83%,
Dungeons-Route,Entropic_Skardyn_Core_678-Suspicious_Energy_Drink_665,2591176,15.83%,
Dungeons-Route,Entropic_Skardyn_Core_665-Mugs_Moxie_Jug_665,2590690,15.81%,
Dungeons-Route,Mugs_Moxie_Jug_678-Quickwick_Candlestick_665,2590151,15.78%,
Dungeons-Route,Soulletting_Ruby_678-Eye_of_Kezan_665,2589813,15.77%,
Dungeons-Route,Synergistic_Brewterializer_665-Suspicious_Energy_Drink_665,2588723,15.72%,
Dungeons-Route,Signet_of_the_Priory_678-Mugs_Moxie_Jug_665,2588610,15.71%,
Dungeons-Route,Mugs_Moxie_Jug_678-Spymasters_Web_639,2588561,15.71%,
Dungeons-Route,Signet_of_the_Priory_665-Synergistic_Brewterializer_678,2588405,15.70%,
Dungeons-Route,Geargrinders_Spare_Keys_678-Eye_of_Kezan_665,2587729,15.67%,
Dungeons-Route,Carved_Blazikon_Wax_665-Mugs_Moxie_Jug_665,2587669,15.67%,
Dungeons-Route,Eye_of_Kezan_678-Prized_Gladiators_Badge_of_Ferocity_658,2587358,15.66%,
Dungeons-Route,Synergistic_Brewterializer_678-Quickwick_Candlestick_665,2587187,15.65%,
Dungeons-Route,Synergistic_Brewterializer_678-Spymasters_Web_639,2586638,15.62%,
Dungeons-Route,Entropic_Skardyn_Core_678-House_of_Cards_678,2586450,15.62%,
Dungeons-Route,Eye_of_Kezan_665-Funhouse_Lens_665,2586312,15.61%,
Dungeons-Route,Carved_Blazikon_Wax_678-Suspicious_Energy_Drink_665,2585770,15.59%,
Dungeons-Route,Entropic_Skardyn_Core_678-Reverb_Radio_678,2585160,15.56%,
Dungeons-Route,Synergistic_Brewterializer_665-House_of_Cards_678,2585066,15.55%,
Dungeons-Route,Synergistic_Brewterializer_665-Reverb_Radio_678,2585022,15.55%,
Dungeons-Route,House_of_Cards_665-Eye_of_Kezan_665,2584586,15.53%,
Dungeons-Route,Entropic_Skardyn_Core_665-Synergistic_Brewterializer_665,2583861,15.50%,
Dungeons-Route,Signet_of_the_Priory_665-Eye_of_Kezan_665,2582622,15.45%,
Dungeons-Route,Soulletting_Ruby_665-Mugs_Moxie_Jug_678,2581003,15.37%,
Dungeons-Route,Eye_of_Kezan_665-Quickwick_Candlestick_665,2580528,15.35%,
Dungeons-Route,Entropic_Skardyn_Core_678-Carved_Blazikon_Wax_665,2580474,15.35%,
Dungeons-Route,Carved_Blazikon_Wax_678-House_of_Cards_678,2580417,15.35%,
Dungeons-Route,Entropic_Skardyn_Core_678-Signet_of_the_Priory_678,2580176,15.34%,
Dungeons-Route,Signet_of_the_Priory_678-Synergistic_Brewterializer_665,2580140,15.33%,
Dungeons-Route,Synergistic_Brewterializer_678-Soulletting_Ruby_665,2580052,15.33%,
Dungeons-Route,Eye_of_Kezan_665-Spymasters_Web_639,2579924,15.32%,
Dungeons-Route,Carved_Blazikon_Wax_678-Reverb_Radio_678,2579734,15.32%,
Dungeons-Route,Synergistic_Brewterializer_665-Carved_Blazikon_Wax_665,2579174,15.29%,
Dungeons-Route,Entropic_Skardyn_Core_665-Carved_Blazikon_Wax_678,2578972,15.28%,
Dungeons-Route,Soulletting_Ruby_678-Mugs_Moxie_Jug_665,2578528,15.26%,
Dungeons-Route,Geargrinders_Spare_Keys_678-Mugs_Moxie_Jug_665,2578130,15.24%,
Dungeons-Route,House_of_Cards_665-Mugs_Moxie_Jug_665,2576578,15.18%,
Dungeons-Route,Mugs_Moxie_Jug_665-Funhouse_Lens_665,2575689,15.14%,
Dungeons-Route,Signet_of_the_Priory_678-Carved_Blazikon_Wax_678,2575176,15.11%,
Dungeons-Route,Soulletting_Ruby_665-Eye_of_Kezan_665,2573673,15.05%,
Dungeons-Route,Reverb_Radio_678-Suspicious_Energy_Drink_665,2571983,14.97%,
Dungeons-Route,Entropic_Skardyn_Core_665-Suspicious_Energy_Drink_665,2571747,14.96%,
Dungeons-Route,Synergistic_Brewterializer_665-Soulletting_Ruby_678,2571384,14.94%,
Dungeons-Route,Signet_of_the_Priory_665-Mugs_Moxie_Jug_665,2571366,14.94%,
Dungeons-Route,Entropic_Skardyn_Core_678-Soulletting_Ruby_678,2571083,14.93%,
Dungeons-Route,House_of_Cards_678-Suspicious_Energy_Drink_665,2570482,14.90%,
Dungeons-Route,Entropic_Skardyn_Core_678-Geargrinders_Spare_Keys_678,2570455,14.90%,
Dungeons-Route,Synergistic_Brewterializer_678-Prized_Gladiators_Badge_of_Ferocity_658,2570361,14.90%,
Dungeons-Route,Mugs_Moxie_Jug_665-Quickwick_Candlestick_665,2569755,14.87%,
Dungeons-Route,Mugs_Moxie_Jug_665-Spymasters_Web_639,2569683,14.87%,
Dungeons-Route,Mugs_Moxie_Jug_678-Prized_Gladiators_Badge_of_Ferocity_658,2569558,14.86%,
Dungeons-Route,Synergistic_Brewterializer_665-Geargrinders_Spare_Keys_678,2568959,14.83%,
Dungeons-Route,Entropic_Skardyn_Core_678-House_of_Cards_665,2568640,14.82%,
Dungeons-Route,Signet_of_the_Priory_678-Suspicious_Energy_Drink_665,2568232,14.80%,
Dungeons-Route,Synergistic_Brewterializer_665-Funhouse_Lens_665,2568038,14.79%,
Dungeons-Route,Reverb_Radio_678-House_of_Cards_678,2567994,14.79%,
Dungeons-Route,Entropic_Skardyn_Core_678-Funhouse_Lens_665,2567971,14.79%,
Dungeons-Route,Synergistic_Brewterializer_665-House_of_Cards_665,2567850,14.78%,
Dungeons-Route,Entropic_Skardyn_Core_665-House_of_Cards_678,2566788,14.74%,
Dungeons-Route,Carved_Blazikon_Wax_665-Suspicious_Energy_Drink_665,2566459,14.72%,
Dungeons-Route,Entropic_Skardyn_Core_665-Reverb_Radio_678,2566444,14.72%,
Dungeons-Route,Carved_Blazikon_Wax_678-Soulletting_Ruby_678,2565863,14.70%,
Dungeons-Route,Carved_Blazikon_Wax_678-Geargrinders_Spare_Keys_678,2564167,14.62%,
Dungeons-Route,Eye_of_Kezan_665-Prized_Gladiators_Badge_of_Ferocity_658,2564026,14.61%,
Dungeons-Route,Entropic_Skardyn_Core_678-Signet_of_the_Priory_665,2563730,14.60%,
Dungeons-Route,Carved_Blazikon_Wax_678-Funhouse_Lens_665,2563297,14.58%,
Dungeons-Route,Carved_Blazikon_Wax_678-House_of_Cards_665,2563244,14.58%,
Dungeons-Route,Entropic_Skardyn_Core_678-Spymasters_Web_639,2563238,14.58%,
Dungeons-Route,Signet_of_the_Priory_665-Synergistic_Brewterializer_665,2563019,14.57%,
Dungeons-Route,Synergistic_Brewterializer_665-Quickwick_Candlestick_665,2562163,14.53%,
Dungeons-Route,Carved_Blazikon_Wax_665-House_of_Cards_678,2562037,14.53%,
Dungeons-Route,Synergistic_Brewterializer_665-Spymasters_Web_639,2561994,14.52%,
Dungeons-Route,Entropic_Skardyn_Core_678-Quickwick_Candlestick_665,2561919,14.52%,
Dungeons-Route,Entropic_Skardyn_Core_665-Signet_of_the_Priory_678,2561444,14.50%,
Dungeons-Route,Carved_Blazikon_Wax_665-Reverb_Radio_678,2561023,14.48%,
Dungeons-Route,Entropic_Skardyn_Core_665-Carved_Blazikon_Wax_665,2560859,14.47%,
Dungeons-Route,Soulletting_Ruby_665-Mugs_Moxie_Jug_665,2560743,14.47%,
Dungeons-Route,Signet_of_the_Priory_678-Reverb_Radio_678,2560078,14.44%,
Dungeons-Route,Soulletting_Ruby_678-Suspicious_Energy_Drink_665,2558738,14.38%,
Dungeons-Route,Signet_of_the_Priory_678-House_of_Cards_678,2557588,14.33%,
Dungeons-Route,Geargrinders_Spare_Keys_678-Suspicious_Energy_Drink_665,2557458,14.32%,
Dungeons-Route,Signet_of_the_Priory_665-Carved_Blazikon_Wax_678,2557426,14.32%,
Dungeons-Route,Carved_Blazikon_Wax_678-Spymasters_Web_639,2557015,14.30%,
Dungeons-Route,Signet_of_the_Priory_678-Carved_Blazikon_Wax_665,2556545,14.28%,
Dungeons-Route,Carved_Blazikon_Wax_678-Quickwick_Candlestick_665,2556405,14.27%,
Dungeons-Route,Suspicious_Energy_Drink_665-Funhouse_Lens_665,2555498,14.23%,
Dungeons-Route,Synergistic_Brewterializer_665-Soulletting_Ruby_665,2554538,14.19%,
Dungeons-Route,Entropic_Skardyn_Core_678-Soulletting_Ruby_665,2554353,14.18%,
Dungeons-Route,House_of_Cards_665-Suspicious_Energy_Drink_665,2553595,14.15%,
Dungeons-Route,Soulletting_Ruby_678-Reverb_Radio_678,2552967,14.12%,
Dungeons-Route,Entropic_Skardyn_Core_665-Soulletting_Ruby_678,2552341,14.09%,
Dungeons-Route,Entropic_Skardyn_Core_665-Geargrinders_Spare_Keys_678,2551900,14.07%,
Dungeons-Route,Geargrinders_Spare_Keys_678-Reverb_Radio_678,2551788,14.07%,
Dungeons-Route,Reverb_Radio_678-House_of_Cards_665,2550687,14.02%,
Dungeons-Route,Mugs_Moxie_Jug_665-Prized_Gladiators_Badge_of_Ferocity_658,2550247,14.00%,
Dungeons-Route,Signet_of_the_Priory_665-Suspicious_Energy_Drink_665,2550007,13.99%,
Dungeons-Route,Entropic_Skardyn_Core_665-Funhouse_Lens_665,2549650,13.97%,
Dungeons-Route,Entropic_Skardyn_Core_665-House_of_Cards_665,2549519,13.97%,
Dungeons-Route,Reverb_Radio_678-Funhouse_Lens_665,2549457,13.96%,
Dungeons-Route,Quickwick_Candlestick_665-Suspicious_Energy_Drink_665,2549098,13.95%,
Dungeons-Route,Carved_Blazikon_Wax_678-Soulletting_Ruby_665,2548750,13.93%,
Dungeons-Route,Soulletting_Ruby_678-House_of_Cards_678,2548134,13.90%,
Dungeons-Route,Carved_Blazikon_Wax_665-Soulletting_Ruby_678,2547406,13.87%,
Dungeons-Route,Spymasters_Web_639-Suspicious_Energy_Drink_665,2547292,13.87%,
Dungeons-Route,Carved_Blazikon_Wax_665-Geargrinders_Spare_Keys_678,2547036,13.85%,
Dungeons-Route,House_of_Cards_678-Funhouse_Lens_665,2545570,13.79%,
Dungeons-Route,Carved_Blazikon_Wax_665-Funhouse_Lens_665,2545271,13.78%,
Dungeons-Route,Reverb_Radio_678-Spymasters_Web_639,2545130,13.77%,
Dungeons-Route,Geargrinders_Spare_Keys_678-House_of_Cards_678,2544906,13.76%,
Dungeons-Route,Carved_Blazikon_Wax_665-House_of_Cards_665,2544733,13.75%,
Dungeons-Route,Synergistic_Brewterializer_665-Prized_Gladiators_Badge_of_Ferocity_658,2544452,13.74%,
Dungeons-Route,Entropic_Skardyn_Core_665-Spymasters_Web_639,2544364,13.74%,
Dungeons-Route,Entropic_Skardyn_Core_665-Signet_of_the_Priory_665,2544060,13.72%,
Dungeons-Route,Entropic_Skardyn_Core_678-Prized_Gladiators_Badge_of_Ferocity_658,2543960,13.72%,
Dungeons-Route,Signet_of_the_Priory_678-Soulletting_Ruby_678,2543803,13.71%,
Dungeons-Route,Entropic_Skardyn_Core_665-Quickwick_Candlestick_665,2543323,13.69%,
Dungeons-Route,Signet_of_the_Priory_665-Reverb_Radio_678,2542816,13.67%,
Dungeons-Route,Reverb_Radio_678-Quickwick_Candlestick_665,2542507,13.65%,
Dungeons-Route,Signet_of_the_Priory_678-Geargrinders_Spare_Keys_678,2541779,13.62%,
Dungeons-Route,Soulletting_Ruby_665-Suspicious_Energy_Drink_665,2541375,13.60%,
Dungeons-Route,House_of_Cards_678-Quickwick_Candlestick_665,2540777,13.57%,
Dungeons-Route,Signet_of_the_Priory_678-House_of_Cards_665,2540724,13.57%,
Dungeons-Route,Signet_of_the_Priory_665-House_of_Cards_678,2540337,13.56%,
Dungeons-Route,Signet_of_the_Priory_678-Funhouse_Lens_665,2540229,13.55%,
Dungeons-Route,House_of_Cards_678-Spymasters_Web_639,2539741,13.53%,
Dungeons-Route,Carved_Blazikon_Wax_665-Spymasters_Web_639,2539686,13.53%,
Dungeons-Route,Signet_of_the_Priory_665-Carved_Blazikon_Wax_665,2539154,13.50%,
Dungeons-Route,Carved_Blazikon_Wax_678-Prized_Gladiators_Badge_of_Ferocity_658,2538408,13.47%,
Dungeons-Route,Carved_Blazikon_Wax_665-Quickwick_Candlestick_665,2538270,13.46%,
Dungeons-Route,Signet_of_the_Priory_678-Spymasters_Web_639,2536779,13.40%,
Dungeons-Route,Soulletting_Ruby_665-Reverb_Radio_678,2536460,13.38%,
Dungeons-Route,Entropic_Skardyn_Core_665-Soulletting_Ruby_665,2535512,13.34%,
Dungeons-Route,Signet_of_the_Priory_678-Quickwick_Candlestick_665,2535483,13.34%,
Dungeons-Route,Soulletting_Ruby_678-Geargrinders_Spare_Keys_678,2533922,13.27%,
Dungeons-Route,Soulletting_Ruby_665-House_of_Cards_678,2532196,13.19%,
Dungeons-Route,Soulletting_Ruby_678-House_of_Cards_665,2531894,13.18%,
Dungeons-Route,Soulletting_Ruby_678-Funhouse_Lens_665,2531560,13.16%,
Dungeons-Route,Carved_Blazikon_Wax_665-Soulletting_Ruby_665,2531511,13.16%,
Dungeons-Route,Suspicious_Energy_Drink_665-Prized_Gladiators_Badge_of_Ferocity_658,2531229,13.15%,
Dungeons-Route,Geargrinders_Spare_Keys_678-Funhouse_Lens_665,2529474,13.07%,
Dungeons-Route,Soulletting_Ruby_678-Spymasters_Web_639,2528706,13.04%,
