profile,actor,DPS,increase,
Dungeons-Slice,Ara_Kara_Sacbrood_639-Spymasters_Web_639,1377413,22.19%,
Dungeons-Slice,Unbound_Changeling_Haste_639-Spymasters_Web_639,1375804,22.04%,
Dungeons-Slice,Unbound_Changeling_Mastery_639-Spymasters_Web_639,1374340,21.91%,
Dungeons-Slice,Empowering_Crystal_of_Anubikkaj_639-Spymasters_Web_639,1373545,21.84%,
Dungeons-Slice,Unbound_Changeling_All_639-Spymasters_Web_639,1373139,21.81%,
Dungeons-Slice,Gale_of_Shadows_639-Spymasters_Web_639,1371741,21.68%,
Dungeons-Slice,Spymasters_Web_639-Ovinaxs_Mercurial_Egg_639,1365928,21.17%,
Dungeons-Slice,Satchel_of_Misbegotten_Minions_639-Spymasters_Web_639,1363318,20.94%,
Dungeons-Slice,Hadals_Nautilus_639-Spymasters_Web_639,1361266,20.75%,
Dungeons-Slice,Spymasters_Web_639-Quickwick_Candlestick_626,1361157,20.74%,
Dungeons-Slice,Aberrant_Spellforge_639-Spymasters_Web_639,1357521,20.42%,
Dungeons-Slice,Energy_Siphon_619-Spymasters_Web_639,1351707,19.91%,
Dungeons-Slice,Spymasters_Web_639-Treacherous_Transmitter_639,1347623,19.54%,
Dungeons-Slice,Living_Flame_619-Spymasters_Web_639,1336706,18.58%,
Dungeons-Slice,Spymasters_Web_639-Forged_Gladiators_Badge_of_Ferocity_626,1328201,17.82%,
Dungeons-Slice,Ara_Kara_Sacbrood_639-Quickwick_Candlestick_626,1305751,15.83%,
Dungeons-Slice,Ara_Kara_Sacbrood_639-Gale_of_Shadows_639,1304239,15.70%,
Dungeons-Slice,Unbound_Changeling_Mastery_639-Quickwick_Candlestick_626,1304202,15.69%,
Dungeons-Slice,Ara_Kara_Sacbrood_639-Unbound_Changeling_Haste_639,1304054,15.68%,
Dungeons-Slice,Unbound_Changeling_All_639-Quickwick_Candlestick_626,1303989,15.67%,
Dungeons-Slice,Empowering_Crystal_of_Anubikkaj_639-Quickwick_Candlestick_626,1302972,15.58%,
Dungeons-Slice,Ara_Kara_Sacbrood_639-Empowering_Crystal_of_Anubikkaj_639,1302677,15.56%,
Dungeons-Slice,Ara_Kara_Sacbrood_639-Unbound_Changeling_Mastery_639,1302584,15.55%,
Dungeons-Slice,Unbound_Changeling_Haste_639-Quickwick_Candlestick_626,1302318,15.52%,
Dungeons-Slice,Ara_Kara_Sacbrood_639-Unbound_Changeling_All_639,1302246,15.52%,
Dungeons-Slice,Living_Flame_619-Ara_Kara_Sacbrood_639,1300761,15.39%,
Dungeons-Slice,Gale_of_Shadows_639-Quickwick_Candlestick_626,1299957,15.32%,
Dungeons-Slice,Empowering_Crystal_of_Anubikkaj_639-Unbound_Changeling_Haste_639,1299215,15.25%,
Dungeons-Slice,Unbound_Changeling_All_639-Gale_of_Shadows_639,1299075,15.24%,
Dungeons-Slice,Unbound_Changeling_Haste_639-Gale_of_Shadows_639,1298903,15.22%,
Dungeons-Slice,Ara_Kara_Sacbrood_639-Treacherous_Transmitter_639,1298639,15.20%,
Dungeons-Slice,Empowering_Crystal_of_Anubikkaj_639-Unbound_Changeling_All_639,1298153,15.16%,
Dungeons-Slice,Empowering_Crystal_of_Anubikkaj_639-Unbound_Changeling_Mastery_639,1298035,15.14%,
Dungeons-Slice,Ovinaxs_Mercurial_Egg_639-Quickwick_Candlestick_626,1297484,15.10%,
Dungeons-Slice,Unbound_Changeling_Mastery_639-Gale_of_Shadows_639,1297062,15.06%,
Dungeons-Slice,Living_Flame_619-Unbound_Changeling_Haste_639,1297006,15.05%,
Dungeons-Slice,Empowering_Crystal_of_Anubikkaj_639-Gale_of_Shadows_639,1296564,15.01%,
Dungeons-Slice,Living_Flame_619-Unbound_Changeling_All_639,1295698,14.94%,
Dungeons-Slice,Living_Flame_619-Gale_of_Shadows_639,1295576,14.93%,
Dungeons-Slice,Energy_Siphon_619-Ara_Kara_Sacbrood_639,1295464,14.92%,
Dungeons-Slice,Satchel_of_Misbegotten_Minions_639-Quickwick_Candlestick_626,1295380,14.91%,
Dungeons-Slice,Unbound_Changeling_Mastery_639-Ovinaxs_Mercurial_Egg_639,1295323,14.90%,
Dungeons-Slice,Unbound_Changeling_Haste_639-Ovinaxs_Mercurial_Egg_639,1295279,14.90%,
Dungeons-Slice,Living_Flame_619-Unbound_Changeling_Mastery_639,1295030,14.88%,
Dungeons-Slice,Ara_Kara_Sacbrood_639-Ovinaxs_Mercurial_Egg_639,1294763,14.85%,
Dungeons-Slice,Unbound_Changeling_All_639-Ovinaxs_Mercurial_Egg_639,1294737,14.85%,
Dungeons-Slice,Living_Flame_619-Empowering_Crystal_of_Anubikkaj_639,1294562,14.84%,
Dungeons-Slice,Ara_Kara_Sacbrood_639-Satchel_of_Misbegotten_Minions_639,1294476,14.83%,
Dungeons-Slice,Gale_of_Shadows_639-Treacherous_Transmitter_639,1294443,14.83%,
Dungeons-Slice,Ara_Kara_Sacbrood_639-Hadals_Nautilus_639,1294175,14.80%,
Dungeons-Slice,Energy_Siphon_619-Unbound_Changeling_Haste_639,1293650,14.76%,
Dungeons-Slice,Empowering_Crystal_of_Anubikkaj_639-Ovinaxs_Mercurial_Egg_639,1293256,14.72%,
Dungeons-Slice,Gale_of_Shadows_639-Ovinaxs_Mercurial_Egg_639,1293176,14.71%,
Dungeons-Slice,Hadals_Nautilus_639-Quickwick_Candlestick_626,1292681,14.67%,
Dungeons-Slice,Energy_Siphon_619-Empowering_Crystal_of_Anubikkaj_639,1292464,14.65%,
Dungeons-Slice,Energy_Siphon_619-Unbound_Changeling_All_639,1291930,14.60%,
Dungeons-Slice,Energy_Siphon_619-Unbound_Changeling_Mastery_639,1291856,14.60%,
Dungeons-Slice,Energy_Siphon_619-Gale_of_Shadows_639,1291246,14.54%,
Dungeons-Slice,Unbound_Changeling_Haste_639-Treacherous_Transmitter_639,1291071,14.53%,
Dungeons-Slice,Unbound_Changeling_All_639-Treacherous_Transmitter_639,1290834,14.51%,
Dungeons-Slice,Unbound_Changeling_Haste_639-Satchel_of_Misbegotten_Minions_639,1290391,14.47%,
Dungeons-Slice,Living_Flame_619-Ovinaxs_Mercurial_Egg_639,1290128,14.44%,
Dungeons-Slice,Empowering_Crystal_of_Anubikkaj_639-Treacherous_Transmitter_639,1290095,14.44%,
Dungeons-Slice,Unbound_Changeling_Mastery_639-Treacherous_Transmitter_639,1290066,14.44%,
Dungeons-Slice,Unbound_Changeling_Haste_639-Hadals_Nautilus_639,1289643,14.40%,
Dungeons-Slice,Unbound_Changeling_All_639-Satchel_of_Misbegotten_Minions_639,1289575,14.39%,
Dungeons-Slice,Ara_Kara_Sacbrood_639-Aberrant_Spellforge_639,1289564,14.39%,
Dungeons-Slice,Empowering_Crystal_of_Anubikkaj_639-Satchel_of_Misbegotten_Minions_639,1289483,14.39%,
Dungeons-Slice,Satchel_of_Misbegotten_Minions_639-Gale_of_Shadows_639,1289310,14.37%,
Dungeons-Slice,Unbound_Changeling_Mastery_639-Hadals_Nautilus_639,1289129,14.35%,
Dungeons-Slice,Unbound_Changeling_Mastery_639-Satchel_of_Misbegotten_Minions_639,1288946,14.34%,
Dungeons-Slice,Empowering_Crystal_of_Anubikkaj_639-Hadals_Nautilus_639,1288665,14.31%,
Dungeons-Slice,Aberrant_Spellforge_639-Quickwick_Candlestick_626,1288396,14.29%,
Dungeons-Slice,Unbound_Changeling_All_639-Hadals_Nautilus_639,1288260,14.28%,
Dungeons-Slice,Energy_Siphon_619-Ovinaxs_Mercurial_Egg_639,1287835,14.24%,
Dungeons-Slice,Hadals_Nautilus_639-Gale_of_Shadows_639,1287748,14.23%,
Dungeons-Slice,Unbound_Changeling_Haste_639-Aberrant_Spellforge_639,1286861,14.15%,
Dungeons-Slice,Living_Flame_619-Satchel_of_Misbegotten_Minions_639,1286711,14.14%,
Dungeons-Slice,Ara_Kara_Sacbrood_639-Forged_Gladiators_Badge_of_Ferocity_626,1286580,14.13%,
Dungeons-Slice,Empowering_Crystal_of_Anubikkaj_639-Aberrant_Spellforge_639,1286486,14.12%,
Dungeons-Slice,Ovinaxs_Mercurial_Egg_639-Treacherous_Transmitter_639,1285991,14.08%,
Dungeons-Slice,Living_Flame_619-Hadals_Nautilus_639,1285989,14.08%,
Dungeons-Slice,Satchel_of_Misbegotten_Minions_639-Ovinaxs_Mercurial_Egg_639,1285517,14.03%,
Dungeons-Slice,Unbound_Changeling_All_639-Aberrant_Spellforge_639,1285366,14.02%,
Dungeons-Slice,Energy_Siphon_619-Hadals_Nautilus_639,1283248,13.83%,
Dungeons-Slice,Gale_of_Shadows_639-Aberrant_Spellforge_639,1283148,13.82%,
Dungeons-Slice,Unbound_Changeling_Haste_639-Forged_Gladiators_Badge_of_Ferocity_626,1283131,13.82%,
Dungeons-Slice,Hadals_Nautilus_639-Ovinaxs_Mercurial_Egg_639,1283102,13.82%,
Dungeons-Slice,Unbound_Changeling_Mastery_639-Aberrant_Spellforge_639,1282674,13.78%,
Dungeons-Slice,Energy_Siphon_619-Satchel_of_Misbegotten_Minions_639,1282625,13.78%,
Dungeons-Slice,Satchel_of_Misbegotten_Minions_639-Treacherous_Transmitter_639,1282526,13.77%,
Dungeons-Slice,Unbound_Changeling_All_639-Forged_Gladiators_Badge_of_Ferocity_626,1282450,13.76%,
Dungeons-Slice,Living_Flame_619-Quickwick_Candlestick_626,1282127,13.73%,
Dungeons-Slice,Living_Flame_619-Aberrant_Spellforge_639,1281699,13.70%,
Dungeons-Slice,Empowering_Crystal_of_Anubikkaj_639-Forged_Gladiators_Badge_of_Ferocity_626,1281232,13.65%,
Dungeons-Slice,Hadals_Nautilus_639-Treacherous_Transmitter_639,1281121,13.64%,
Dungeons-Slice,Satchel_of_Misbegotten_Minions_639-Hadals_Nautilus_639,1280932,13.63%,
Dungeons-Slice,Gale_of_Shadows_639-Forged_Gladiators_Badge_of_Ferocity_626,1280904,13.63%,
Dungeons-Slice,Aberrant_Spellforge_639-Ovinaxs_Mercurial_Egg_639,1279991,13.54%,
Dungeons-Slice,Treacherous_Transmitter_639-Quickwick_Candlestick_626,1279942,13.54%,
Dungeons-Slice,Energy_Siphon_619-Aberrant_Spellforge_639,1278987,13.45%,
Dungeons-Slice,Unbound_Changeling_Mastery_639-Forged_Gladiators_Badge_of_Ferocity_626,1278907,13.45%,
Dungeons-Slice,Energy_Siphon_619-Quickwick_Candlestick_626,1277939,13.36%,
Dungeons-Slice,Ovinaxs_Mercurial_Egg_639-Forged_Gladiators_Badge_of_Ferocity_626,1277826,13.35%,
Dungeons-Slice,Hadals_Nautilus_639-Aberrant_Spellforge_639,1277011,13.28%,
Dungeons-Slice,Aberrant_Spellforge_639-Treacherous_Transmitter_639,1276788,13.26%,
Dungeons-Slice,Satchel_of_Misbegotten_Minions_639-Aberrant_Spellforge_639,1274788,13.08%,
