profile,actor,DPS,increase,
4T,Eye_of_Kezan_678,4588966,10.34%,
4T,Mugs_Moxie_Jug_678,4583411,10.20%,
4T,Mugs_Moxie_Jug_665,4543711,9.25%,
4T,Eye_of_Kezan_665,4541745,9.20%,
4T,Mugs_Moxie_Jug_658,4525564,8.81%,
4T,House_of_Cards_678,4521789,8.72%,
4T,Eye_of_Kezan_658,4520640,8.69%,
4T,Signet_of_the_Priory_678,4510648,8.45%,
4T,Funhouse_Lens_665,4507588,8.38%,
4T,Suspicious_Energy_Drink_665,4506558,8.35%,
4T,Carved_Blazikon_Wax_678,4503913,8.29%,
4T,Soulletting_Ruby_678,4502014,8.25%,
4T,Spymasters_Web_639,4501863,8.24%,
4T,Prized_Gladiators_Badge_of_Ferocity_665,4499488,8.18%,
4T,Entropic_Skardyn_Core_678,4494613,8.07%,
4T,Mugs_Moxie_Jug_645,4492441,8.02%,
4T,Living_Flame_658,4492301,8.01%,
4T,Reverb_Radio_678,4492255,8.01%,
4T,Energy_Siphon_658,4488873,7.93%,
4T,Eye_of_Kezan_645,4486197,7.87%,
4T,House_of_Cards_665,4484957,7.84%,
4T,Suspicious_Energy_Drink_658,4482005,7.76%,
4T,Funhouse_Lens_658,4481557,7.75%,
4T,Concoction_Kiss_of_Death_665,4478549,7.68%,
4T,Quickwick_Candlestick_665,4476587,7.63%,
4T,Shadowbinding_Ritual_Knife_665,4475816,7.62%,
4T,Signet_of_the_Priory_665,4475527,7.61%,
4T,Eye_of_the_Broodmother_658,4471182,7.50%,
4T,House_of_Cards_658,4470211,7.48%,
4T,Carved_Blazikon_Wax_665,4469744,7.47%,
4T,Spymasters_Web_626,4466084,7.38%,
4T,Entropic_Skardyn_Core_665,4463871,7.33%,
4T,Soulletting_Ruby_665,4463546,7.32%,
4T,Quickwick_Candlestick_658,4460839,7.26%,
4T,Shadowbinding_Ritual_Knife_658,4460137,7.24%,
4T,Concoction_Kiss_of_Death_658,4459928,7.23%,
4T,Geargrinders_Spare_Keys_678,4459334,7.22%,
4T,Scale_of_Fates_658,4459080,7.21%,
4T,Imperfect_Ascendancy_Serum_665,4456681,7.16%,
4T,Reverb_Radio_665,4456009,7.14%,
4T,Unstable_Power_Suit_Core_665,4454304,7.10%,
4T,Sigil_of_Algari_Concordance_678,4451918,7.04%,
4T,Flare_of_the_Heavens_658,4451350,7.03%,
4T,Spymasters_Web_619,4449305,6.98%,
4T,Prized_Gladiators_Insignia_of_Alacrity_665,4444872,6.87%,
4T,Elemental_Focus_Stone_658,4444780,6.87%,
4T,Hibernation_Crystal_645,4442818,6.82%,
4T,Pandoras_Plea_658,4440657,6.77%,
4T,Reverb_Radio_658,4440378,6.76%,
4T,Unstable_Power_Suit_Core_658,4439714,6.75%,
