profile,actor,DPS,increase,
8T,Arazs_Ritual_Forge_723,23130405,15.11%,
8T,Arazs_Ritual_Forge_710,22828605,13.61%,
8T,Living_Flame_704,22786318,13.40%,
8T,Arazs_Ritual_Forge_704,22662661,12.78%,
8T,Signet_of_the_Priory_723,22401734,11.48%,
8T,Arazs_Ritual_Forge_691,22394640,11.45%,
8T,Scale_of_Fates_704,22383675,11.39%,
8T,Lily_of_the_Eternal_Weave_723,22341836,11.18%,
8T,Energy_Siphon_704,22328168,11.12%,
8T,Incorporeal_Essence_Gorger_NonEthereal_710,22296003,10.96%,
8T,Sunblood_Amethyst_723,22208442,10.52%,
8T,Incorporeal_Essence_Gorger_NonEthereal_704,22200613,10.48%,
8T,The_Skull_of_Guldan_704,22184274,10.40%,
8T,Signet_of_the_Priory_710,22164206,10.30%,
8T,Incorporeal_Essence_Gorger_Ethereal_710,22152862,10.24%,
8T,Lily_of_the_Eternal_Weave_710,22122349,10.09%,
8T,Incorporeal_Essence_Gorger_Ethereal_704,22039208,9.68%,
8T,Sunblood_Amethyst_710,22006974,9.52%,
8T,Astral_Antenna_723,22006259,9.51%,
8T,Astral_Gladiators_Badge_of_Ferocity_704,21965065,9.31%,
8T,Soleahs_Secret_Technique_Haste_723,21950194,9.24%,
8T,Soleahs_Secret_Technique_Crit_723,21860191,8.79%,
8T,Astral_Antenna_710,21856591,8.77%,
8T,Hibernation_Crystal_691,21850508,8.74%,
8T,Soleahs_Secret_Technique_Versatility_723,21842699,8.70%,
8T,Soleahs_Secret_Technique_Mastery_723,21837185,8.67%,
8T,House_of_Cards_684,21825870,8.62%,
8T,Diamantine_Voidcore_Prepull_NoMana_Weapon_723,21810097,8.54%,
8T,Empowering_Crystal_of_Anubikkaj_723,21805596,8.52%,
8T,Soleahs_Secret_Technique_Haste_710,21773662,8.36%,
8T,Astral_Antenna_704,21726287,8.12%,
8T,Diamantine_Voidcore_Prepull_NoMana_723,21713962,8.06%,
8T,Soleahs_Secret_Technique_Crit_710,21696282,7.97%,
8T,Soleahs_Secret_Technique_Versatility_710,21690842,7.94%,
8T,Eye_of_the_Broodmother_704,21676334,7.87%,
8T,Empowering_Crystal_of_Anubikkaj_710,21649558,7.74%,
8T,Soleahs_Secret_Technique_Mastery_710,21643590,7.71%,
8T,Diamantine_Voidcore_Prepull_NoMana_Weapon_710,21639353,7.69%,
8T,Naazindhris_Mystic_Lash_723,21637003,7.68%,
8T,Mugs_Moxie_Jug_684,21636369,7.67%,
8T,Elemental_Focus_Stone_704,21612725,7.56%,
8T,Astral_Antenna_691,21610391,7.54%,
8T,Diamantine_Voidcore_Weapon_723,21607071,7.53%,
8T,Mereldars_Toll_723,21591679,7.45%,
8T,Perfidious_Projector_723,21582077,7.40%,
8T,Harvesters_Edict_20%_723,21578661,7.39%,
8T,Diamantine_Voidcore_Prepull_NoMana_Weapon_704,21573888,7.36%,
8T,Chaotic_Nethergate_710,21561058,7.30%,
8T,Pandoras_Plea_704,21557671,7.28%,
8T,Diamantine_Voidcore_Prepull_NoMana_710,21556086,7.27%,
8T,Gigazaps_Zap_Cap_723,21552335,7.26%,
8T,Diamantine_Voidcore_723,21540284,7.20%,
8T,Azhiccaran_Parapodia_723,21535757,7.17%,
8T,Essence_Hunters_Eyeglass_710,21507431,7.03%,
8T,Diamantine_Voidcore_Weapon_710,21506347,7.03%,
8T,Chaotic_Nethergate_704,21504244,7.02%,
8T,Flare_of_the_Heavens_704,21497979,6.99%,
8T,Essence_Hunters_Eyeglass_704,21458443,6.79%,
8T,Diamantine_Voidcore_Prepull_NoMana_704,21442097,6.71%,
8T,Naazindhris_Mystic_Lash_710,21434124,6.67%,
8T,Bursting_Lightshard_723,21433404,6.66%,
8T,Mereldars_Toll_710,21433334,6.66%,
8T,Automatic_Footbomb_Dispenser_710,21433255,6.66%,
8T,Perfidious_Projector_710,21429124,6.64%,
8T,Diamantine_Voidcore_Prepull_NoMana_Weapon_691,21425436,6.62%,
8T,Astral_Gladiators_Insignia_of_Alacrity_704,21422314,6.61%,
8T,Diamantine_Voidcore_Weapon_704,21421307,6.60%,
8T,Soulbreakers_Sigil_710,21415552,6.57%,
8T,Azhiccaran_Parapodia_710,21408367,6.54%,
8T,Harvesters_Edict_20%_710,21388554,6.44%,
8T,Gigazaps_Zap_Cap_710,21381412,6.41%,
8T,Naazindhris_Mystic_Lash_704,21376881,6.38%,
8T,Diamantine_Voidcore_710,21354965,6.27%,
8T,Perfidious_Projector_704,21346721,6.23%,
8T,Diamantine_Voidcore_Prepull_NoMana_691,21344976,6.22%,
8T,Automatic_Footbomb_Dispenser_704,21342915,6.21%,
8T,Soulbreakers_Sigil_704,21329866,6.15%,
8T,Voidtouched_Fragment_710,21310152,6.05%,
8T,Diamantine_Voidcore_Weapon_691,21304429,6.02%,
8T,Diamantine_Voidcore_704,21298797,5.99%,
8T,Bursting_Lightshard_710,21288754,5.94%,
8T,AraKara_Sacbrood_723,21248909,5.75%,
8T,Voidtouched_Fragment_704,21242820,5.72%,
8T,Perfidious_Projector_691,21238380,5.69%,
8T,Diamantine_Voidcore_691,21223269,5.62%,
8T,Naazindhris_Mystic_Lash_691,21213739,5.57%,
8T,Variable_Pulse_Lightning_Capacitor_704,21207761,5.54%,
8T,AraKara_Sacbrood_710,21107567,5.04%,
8T,Miniscule_Mailemental_in_an_Envelope_723,20922930,4.12%,
