profile,actor,DPS,increase,
Composite,Mugs_Moxie_Jug_678,2043925,9.74%,
Composite,Synergistic_Brewterializer_DMG_ToF_678,2041731,9.62%,
Composite,House_of_Cards_678,2029945,8.99%,
Composite,Mugs_Moxie_Jug_665,2027650,8.87%,
Composite,Eye_of_Kezan_678,2025896,8.77%,
Composite,Signet_of_the_Priory_678,2024116,8.68%,
Composite,Synergistic_Brewterializer_DMG_ToF_665,2021584,8.54%,
Composite,Mugs_Moxie_Jug_658,2019000,8.40%,
Composite,Ingenious_Mana_Battery_678,2018864,8.39%,
Composite,Geargrinders_Spare_Keys_678,2015693,8.22%,
Composite,Soulletting_Ruby_678,2015565,8.22%,
Composite,Carved_Blazikon_Wax_678,2015071,8.19%,
Composite,Living_Flame_658,2015012,8.19%,
Composite,House_of_Cards_665,2014863,8.18%,
Composite,Synergistic_Brewterializer_DMG_678,2014504,8.16%,
Composite,Funhouse_Lens_665,2013906,8.13%,
Composite,Suspicious_Energy_Drink_665,2013740,8.12%,
Composite,Energy_Siphon_658,2010340,7.94%,
Composite,Reverb_Radio_678,2009443,7.89%,
Composite,Entropic_Skardyn_Core_678,2009200,7.87%,
Composite,Eye_of_Kezan_665,2009134,7.87%,
Composite,Signet_of_the_Priory_665,2008119,7.82%,
Composite,Gigazaps_Zap_Cap_678,2007386,7.78%,
Composite,Quickwick_Candlestick_665,2006824,7.75%,
Composite,House_of_Cards_658,2006216,7.71%,
Composite,Ratfang_Toxin_665,2004924,7.65%,
Composite,Mugs_Moxie_Jug_645,2004626,7.63%,
Composite,Turbo_Drain_5000_665,2004134,7.60%,
Composite,Flarendos_Pilot_Light_678,2003970,7.59%,
Composite,Ingenious_Mana_Battery_665,2003452,7.57%,
Composite,Suspicious_Energy_Drink_658,2003025,7.54%,
Composite,Synergistic_Brewterializer_ToF_678,2001886,7.48%,
Composite,Funhouse_Lens_658,2001784,7.48%,
Composite,Eye_of_Kezan_658,2001277,7.45%,
Composite,Candle_Confidant_665,2001210,7.45%,
Composite,Soulletting_Ruby_665,2000442,7.40%,
Composite,Carved_Blazikon_Wax_665,2000337,7.40%,
Composite,Mister_Lock_N_Stalk_678,1999728,7.37%,
Composite,Eye_of_the_Broodmother_658,1999250,7.34%,
Composite,Scale_of_Fates_658,1999195,7.34%,
Composite,Quickwick_Candlestick_658,1999038,7.33%,
Composite,Sigil_of_Algari_Concordance_678,1997859,7.27%,
Composite,Spymasters_Web_639,1995626,7.15%,
Composite,Geargrinders_Spare_Keys_665,1995527,7.14%,
Composite,Entropic_Skardyn_Core_665,1995471,7.14%,
Composite,Remnant_of_Darkness_678,1995288,7.13%,
Composite,Synergistic_Brewterializer_DMG_665,1995175,7.12%,
Composite,Ratfang_Toxin_658,1994770,7.10%,
Composite,Reverb_Radio_665,1994284,7.07%,
Composite,Unstable_Power_Suit_Core_665,1994238,7.07%,
Composite,Turbo_Drain_5000_658,1993658,7.04%,
Composite,House_of_Cards_645,1992904,7.00%,
Composite,Arathi_Ministers_Receptacle_658,1992787,6.99%,
Composite,Candle_Confidant_658,1990925,6.89%,
Composite,Flare_of_the_Heavens_658,1990371,6.86%,
Composite,Flarendos_Pilot_Light_665,1989943,6.84%,
Composite,Pandoras_Plea_658,1989518,6.82%,
Composite,Synergistic_Brewterializer_ToF_665,1989093,6.80%,
Composite,Gigazaps_Zap_Cap_665,1989009,6.79%,
Composite,Elemental_Focus_Stone_658,1988502,6.76%,
Composite,Prized_Gladiators_Badge_of_Ferocity_658,1988168,6.75%,
Composite,The_Skull_of_Guldan_658,1988144,6.74%,
Composite,Eye_of_Kezan_645,1987785,6.72%,
Composite,Unstable_Power_Suit_Core_658,1987296,6.70%,
Composite,Reverb_Radio_658,1986571,6.66%,
Composite,Geargrinders_Spare_Keys_658,1985662,6.61%,
