profile,actor,DPS,increase,
Composite,Astral_Antenna_0%_723,5061392,10.12%,
Composite,Astral_Antenna_10%_723,5048837,9.85%,
Composite,Diamantine_Voidcore_Prepull_NoMana_Weapon_723,5045562,9.78%,
Composite,Signet_of_the_Priory_723,5039316,9.64%,
Composite,Diamantine_Voidcore_Weapon_723,5037118,9.59%,
Composite,Arazs_Ritual_Forge_723,5036549,9.58%,
Composite,Azhiccaran_Parapodia_723,5034267,9.53%,
Composite,Lily_of_the_Eternal_Weave_723,5029219,9.42%,
Composite,Astral_Antenna_0%_710,5019089,9.20%,
Composite,AraKara_Sacbrood_723,5017354,9.16%,
Composite,Gigazaps_Zap_Cap_723,5015840,9.13%,
Composite,Diamantine_Voidcore_Prepull_NoMana_Weapon_710,5007959,8.96%,
Composite,Astral_Antenna_10%_710,5007802,8.95%,
Composite,Empowering_Crystal_of_Anubikkaj_723,5005654,8.91%,
Composite,Soleahs_Secret_Technique_Haste_723,5001027,8.81%,
Composite,Astral_Antenna_0%_704,5000959,8.81%,
Composite,Diamantine_Voidcore_Weapon_710,4997970,8.74%,
Composite,Signet_of_the_Priory_710,4997846,8.74%,
Composite,Soleahs_Secret_Technique_Crit_723,4997413,8.73%,
Composite,Incorporeal_Essence_Gorger_NonEthereal_710,4997032,8.72%,
Composite,Incorporeal_Essence_Gorger_Ethereal_710,4996649,8.71%,
Composite,Soleahs_Secret_Technique_Mastery_723,4994701,8.67%,
Composite,Arazs_Ritual_Forge_710,4993719,8.65%,
Composite,Soleahs_Secret_Technique_Versatility_723,4993143,8.64%,
Composite,Living_Flame_704,4992341,8.62%,
Composite,Azhiccaran_Parapodia_710,4992300,8.62%,
Composite,Energy_Siphon_704,4991796,8.61%,
Composite,Diamantine_Voidcore_Prepull_NoMana_Weapon_704,4990790,8.58%,
Composite,Astral_Antenna_10%_704,4990613,8.58%,
Composite,Lily_of_the_Eternal_Weave_710,4989741,8.56%,
Composite,Naazindhris_Mystic_Lash_723,4987270,8.51%,
Composite,Sunblood_Amethyst_723,4985882,8.48%,
Composite,Diamantine_Voidcore_Weapon_704,4984849,8.45%,
Composite,Astral_Gladiators_Badge_of_Ferocity_704,4982146,8.40%,
Composite,Incorporeal_Essence_Gorger_Ethereal_704,4979595,8.34%,
Composite,Scale_of_Fates_704,4979348,8.34%,
Composite,Incorporeal_Essence_Gorger_NonEthereal_704,4978793,8.32%,
Composite,AraKara_Sacbrood_710,4977233,8.29%,
Composite,Arazs_Ritual_Forge_704,4976434,8.27%,
Composite,Empowering_Crystal_of_Anubikkaj_710,4965785,8.04%,
Composite,Astral_Antenna_0%_691,4964496,8.01%,
Composite,Gigazaps_Zap_Cap_710,4961248,7.94%,
Composite,Harvesters_Edict_20%_723,4960642,7.93%,
Composite,Soleahs_Secret_Technique_Haste_710,4960567,7.93%,
Composite,Soleahs_Secret_Technique_Crit_710,4958516,7.88%,
Composite,Diamantine_Voidcore_Prepull_NoMana_Weapon_691,4958239,7.88%,
Composite,Soleahs_Secret_Technique_Mastery_710,4955641,7.82%,
Composite,Astral_Antenna_10%_691,4954789,7.80%,
Composite,Mugs_Moxie_Jug_684,4954408,7.79%,
Composite,Soleahs_Secret_Technique_Versatility_710,4954014,7.78%,
Composite,Diamantine_Voidcore_Weapon_691,4952340,7.75%,
Composite,Eye_of_the_Broodmother_704,4951260,7.72%,
Composite,Hibernation_Crystal_691,4950980,7.72%,
Composite,Soulbreakers_Sigil_710,4950936,7.72%,
Composite,The_Skull_of_Guldan_704,4950180,7.70%,
Composite,Pandoras_Plea_704,4948329,7.66%,
Composite,Sunblood_Amethyst_710,4947473,7.64%,
Composite,Diamantine_Voidcore_Prepull_NoMana_723,4946225,7.61%,
Composite,Elemental_Focus_Stone_704,4944380,7.57%,
Composite,Flare_of_the_Heavens_704,4942274,7.53%,
Composite,Perfidious_Projector_723,4942112,7.53%,
Composite,Voidtouched_Fragment_710,4939074,7.46%,
Composite,Diamantine_Voidcore_723,4938915,7.46%,
Composite,Mereldars_Toll_723,4938672,7.45%,
Composite,Arazs_Ritual_Forge_691,4938265,7.44%,
Composite,Naazindhris_Mystic_Lash_710,4938033,7.44%,
Composite,Astral_Gladiators_Insignia_of_Alacrity_704,4936803,7.41%,
Composite,Screams_of_a_Forgotten_Sky_723,4934130,7.35%,
Composite,Soulbreakers_Sigil_704,4929420,7.25%,
Composite,Miniscule_Mailemental_in_an_Envelope_723,4926439,7.18%,
Composite,Automatic_Footbomb_Dispenser_710,4925379,7.16%,
Composite,House_of_Cards_684,4925317,7.16%,
Composite,Essence_Hunters_Eyeglass_710,4925307,7.16%,
Composite,Voidtouched_Fragment_704,4923150,7.11%,
Composite,Naazindhris_Mystic_Lash_704,4919493,7.03%,
Composite,Harvesters_Edict_20%_710,4919348,7.03%,
Composite,Diamantine_Voidcore_Prepull_NoMana_710,4909316,6.81%,
Composite,Essence_Hunters_Eyeglass_704,4908436,6.79%,
Composite,Perfidious_Projector_710,4908296,6.79%,
Composite,Automatic_Footbomb_Dispenser_704,4905247,6.72%,
Composite,Screams_of_a_Forgotten_Sky_710,4901602,6.64%,
Composite,Diamantine_Voidcore_710,4901102,6.63%,
Composite,Mereldars_Toll_710,4899478,6.60%,
Composite,Miniscule_Mailemental_in_an_Envelope_710,4895588,6.51%,
Composite,Bursting_Lightshard_723,4894033,6.48%,
Composite,Perfidious_Projector_704,4893394,6.47%,
Composite,Diamantine_Voidcore_Prepull_NoMana_704,4892022,6.44%,
Composite,Eye_of_Kezan_684,4891996,6.43%,
Composite,Nexus_Kings_Command_723,4888166,6.35%,
Composite,Screams_of_a_Forgotten_Sky_704,4886948,6.32%,
Composite,Diamantine_Voidcore_704,4885707,6.30%,
Composite,Naazindhris_Mystic_Lash_691,4877964,6.13%,
Composite,Perfidious_Projector_691,4864850,5.84%,
Composite,Bursting_Lightshard_710,4860525,5.75%,
Composite,Screams_of_a_Forgotten_Sky_691,4859301,5.72%,
Composite,Diamantine_Voidcore_Prepull_NoMana_691,4858542,5.71%,
Composite,Diamantine_Voidcore_691,4853145,5.59%,
Composite,Variable_Pulse_Lightning_Capacitor_704,4846789,5.45%,
Composite,Nexus_Kings_Command_710,4844850,5.41%,
Composite,Nexus_Kings_Command_704,4826076,5.00%,
Composite,Nexus_Kings_Command_691,4790579,4.23%,
Composite,Chaotic_Nethergate_710,4781961,4.04%,
Composite,Chaotic_Nethergate_704,4775360,3.90%,
Composite,Vanquished_Clutches_of_Yogg_Saron_704,4696365,2.18%,
Composite,Base,4596244,0.00%,
