profile,actor,DPS,increase,
Dungeons-Route,Eye_of_Kezan_684,2823056,9.19%,
Dungeons-Route,Mugs_Moxie_Jug_684,2820759,9.11%,
Dungeons-Route,Synergistic_Brewterializer_DMG_ToF_684,2808342,8.63%,
Dungeons-Route,Mugs_Moxie_Jug_671,2798023,8.23%,
Dungeons-Route,Eye_of_Kezan_671,2796788,8.18%,
Dungeons-Route,Entropic_Skardyn_Core_684,2789316,7.89%,
Dungeons-Route,Synergistic_Brewterializer_DMG_ToF_671,2781515,7.59%,
Dungeons-Route,Synergistic_Brewterializer_DMG_684,2778614,7.48%,
Dungeons-Route,Carved_Blazikon_Wax_684,2774796,7.33%,
Dungeons-Route,Gigazaps_Zap_Cap_684,2774337,7.31%,
Dungeons-Route,Remnant_of_Darkness_684,2773380,7.27%,
Dungeons-Route,Entropic_Skardyn_Core_671,2767945,7.06%,
Dungeons-Route,Reverb_Radio_684,2766959,7.02%,
Dungeons-Route,Suspicious_Energy_Drink_671,2766628,7.01%,
Dungeons-Route,Mister_Lock_N_Stalk_684,2762744,6.86%,
Dungeons-Route,Signet_of_the_Priory_684,2761104,6.80%,
Dungeons-Route,Turbo_Drain_5000_671,2756808,6.63%,
Dungeons-Route,House_of_Cards_684,2756643,6.63%,
Dungeons-Route,Candle_Confidant_671,2755307,6.57%,
Dungeons-Route,Soulletting_Ruby_684,2754432,6.54%,
Dungeons-Route,Carved_Blazikon_Wax_671,2754224,6.53%,
Dungeons-Route,Sigil_of_Algari_Concordance_684,2752854,6.48%,
Dungeons-Route,Synergistic_Brewterializer_DMG_671,2751072,6.41%,
Dungeons-Route,Funhouse_Lens_671,2750901,6.40%,
Dungeons-Route,Remnant_of_Darkness_671,2750024,6.37%,
Dungeons-Route,Quickwick_Candlestick_671,2749927,6.37%,
Dungeons-Route,Geargrinders_Spare_Keys_684,2749481,6.35%,
Dungeons-Route,Gigazaps_Zap_Cap_671,2748103,6.30%,
Dungeons-Route,Reverb_Radio_671,2747843,6.29%,
Dungeons-Route,Synergistic_Brewterializer_ToF_684,2746202,6.22%,
Dungeons-Route,Mister_Lock_N_Stalk_671,2742962,6.10%,
Dungeons-Route,Signet_of_the_Priory_671,2742726,6.09%,
Dungeons-Route,Eye_of_the_Broodmother_658,2740863,6.02%,
Dungeons-Route,Unstable_Power_Suit_Core_671,2740537,6.00%,
Dungeons-Route,Suspicious_Energy_Drink_658,2740106,5.99%,
Dungeons-Route,House_of_Cards_671,2737610,5.89%,
Dungeons-Route,Pandoras_Plea_658,2735536,5.81%,
Dungeons-Route,Soulletting_Ruby_671,2734796,5.78%,
Dungeons-Route,Everburning_Lantern_671,2734261,5.76%,
Dungeons-Route,Flare_of_the_Heavens_658,2733213,5.72%,
Dungeons-Route,Elemental_Focus_Stone_658,2733103,5.72%,
Dungeons-Route,Hallowed_Tome_Haste_658,2732653,5.70%,
Dungeons-Route,Scale_of_Fates_658,2732393,5.69%,
Dungeons-Route,Quickwick_Candlestick_658,2732363,5.69%,
Dungeons-Route,Hallowed_Tome_Crit_658,2732228,5.68%,
Dungeons-Route,Prized_Gladiators_Insignia_of_Alacrity_658,2731863,5.67%,
Dungeons-Route,Turbo_Drain_5000_658,2731518,5.65%,
Dungeons-Route,Candle_Confidant_658,2730256,5.61%,
Dungeons-Route,Energy_Siphon_658,2729936,5.59%,
Dungeons-Route,Sigil_of_Algari_Concordance_671,2729576,5.58%,
Dungeons-Route,Arathi_Ministers_Receptacle_658,2729464,5.57%,
Dungeons-Route,Hallowed_Tome_Mastery_658,2729358,5.57%,
Dungeons-Route,Synergistic_Brewterializer_ToF_671,2729344,5.57%,
Dungeons-Route,Hallowed_Tome_Vers_658,2727741,5.51%,
Dungeons-Route,Ratfang_Toxin_671,2727683,5.51%,
Dungeons-Route,Doperels_Calling_Rune_671,2727091,5.48%,
Dungeons-Route,Geargrinders_Spare_Keys_671,2726741,5.47%,
Dungeons-Route,Funhouse_Lens_658,2726619,5.46%,
Dungeons-Route,Unstable_Power_Suit_Core_658,2722742,5.31%,
Dungeons-Route,The_Skull_of_Guldan_658,2720960,5.25%,
Dungeons-Route,Garbagemancers_Last_Resort_671,2717223,5.10%,
Dungeons-Route,Bursting_Lightshard_684,2715506,5.03%,
Dungeons-Route,Everburning_Lantern_658,2713638,4.96%,
Dungeons-Route,Hallowed_Tome_Haste_Cloak_658,2709125,4.79%,
Dungeons-Route,Hallowed_Tome_Crit_Cloak_658,2708815,4.78%,
Dungeons-Route,Ratfang_Toxin_658,2707522,4.73%,
Dungeons-Route,Hallowed_Tome_Mastery_Cloak_658,2705909,4.66%,
Dungeons-Route,Arathi_Ministers_Receptacle_Cloak_658,2705767,4.66%,
Dungeons-Route,Living_Flame_658,2705300,4.64%,
Dungeons-Route,Hallowed_Tome_Vers_Cloak_658,2704165,4.60%,
Dungeons-Route,Flarendos_Pilot_Light_684,2699279,4.41%,
Dungeons-Route,Gooblin_Grenade_671,2698864,4.39%,
Dungeons-Route,Abyssal_Volt_671,2698772,4.39%,
Dungeons-Route,Bashful_Book_671,2698723,4.39%,
Dungeons-Route,Blastmaster3000_671,2698623,4.38%,
Dungeons-Route,Garbagemancers_Last_Resort_658,2698522,4.38%,
Dungeons-Route,Prized_Gladiators_Badge_of_Ferocity_658,2698382,4.37%,
Dungeons-Route,Bursting_Lightshard_671,2698315,4.37%,
Dungeons-Route,Flarendos_Pilot_Light_671,2687961,3.97%,
Dungeons-Route,Gooblin_Grenade_658,2684439,3.83%,
Dungeons-Route,Variable_Pulse_Lightning_Capacitor_658,2684299,3.83%,
Dungeons-Route,Blastmaster3000_658,2684249,3.83%,
Dungeons-Route,Abyssal_Volt_658,2684160,3.82%,
Dungeons-Route,Bashful_Book_658,2684151,3.82%,
Dungeons-Route,Amorphous_Relic_671,2683674,3.80%,
Dungeons-Route,Amorphous_Relic_658,2674907,3.46%,
Dungeons-Route,Shining_Arathor_Insignia_658,2672374,3.37%,
Dungeons-Route,Noggenfogger_Ultimate_Deluxe_671,2659513,2.87%,
Dungeons-Route,Burst_of_Knowledge_671,2659358,2.86%,
Dungeons-Route,Noggenfogger_Ultimate_Deluxe_658,2652186,2.59%,
