profile,actor,DPS,increase,
Dungeons-Slice,Arazs_Ritual_Forge_723,4562955,10.56%,
Dungeons-Slice,Voidtouched_Fragment_710,4559794,10.48%,
Dungeons-Slice,Azhiccaran_Parapodia_723,4530466,9.77%,
Dungeons-Slice,Arazs_Ritual_Forge_710,4528395,9.72%,
Dungeons-Slice,Voidtouched_Fragment_704,4525313,9.65%,
Dungeons-Slice,AraKara_Sacbrood_723,4524832,9.64%,
Dungeons-Slice,Signet_of_the_Priory_723,4521670,9.56%,
Dungeons-Slice,Diamantine_Voidcore_Prepull_NoMana_723,4517289,9.45%,
Dungeons-Slice,Soleahs_Secret_Technique_Haste_723,4513636,9.36%,
Dungeons-Slice,Empowering_Crystal_of_Anubikkaj_723,4510964,9.30%,
Dungeons-Slice,Lily_of_the_Eternal_Weave_723,4509888,9.27%,
Dungeons-Slice,Diamantine_Voidcore_723,4506177,9.18%,
Dungeons-Slice,Astral_Antenna_723,4504320,9.14%,
Dungeons-Slice,Arazs_Ritual_Forge_704,4501999,9.08%,
Dungeons-Slice,Soleahs_Secret_Technique_Crit_723,4500140,9.04%,
Dungeons-Slice,Soleahs_Secret_Technique_Versatility_723,4496700,8.95%,
Dungeons-Slice,Essence_Hunters_Eyeglass_710,4493683,8.88%,
Dungeons-Slice,Azhiccaran_Parapodia_710,4492534,8.85%,
Dungeons-Slice,Scale_of_Fates_704,4492056,8.84%,
Dungeons-Slice,Incorporeal_Essence_Gorger_710,4490949,8.81%,
Dungeons-Slice,Soleahs_Secret_Technique_Mastery_723,4490700,8.81%,
Dungeons-Slice,Living_Flame_704,4488019,8.74%,
Dungeons-Slice,Mugs_Moxie_Jug_684,4486083,8.70%,
Dungeons-Slice,AraKara_Sacbrood_710,4485174,8.67%,
Dungeons-Slice,Signet_of_the_Priory_710,4482212,8.60%,
Dungeons-Slice,Energy_Siphon_704,4482057,8.60%,
Dungeons-Slice,Incorporeal_Essence_Gorger_704,4481008,8.57%,
Dungeons-Slice,Diamantine_Voidcore_Prepull_NoMana_710,4480179,8.55%,
Dungeons-Slice,Soleahs_Secret_Technique_Haste_710,4479158,8.53%,
Dungeons-Slice,Gigazaps_Zap_Cap_723,4478526,8.51%,
Dungeons-Slice,Empowering_Crystal_of_Anubikkaj_710,4475252,8.43%,
Dungeons-Slice,Essence_Hunters_Eyeglass_704,4474211,8.41%,
Dungeons-Slice,Lily_of_the_Eternal_Weave_710,4472481,8.37%,
Dungeons-Slice,Pandoras_Plea_704,4471832,8.35%,
Dungeons-Slice,The_Skull_of_Guldan_704,4469577,8.30%,
Dungeons-Slice,Arazs_Ritual_Forge_691,4468892,8.28%,
Dungeons-Slice,Diamantine_Voidcore_710,4467451,8.25%,
Dungeons-Slice,Eye_of_the_Broodmother_704,4467052,8.24%,
Dungeons-Slice,Astral_Antenna_710,4466950,8.23%,
Dungeons-Slice,Soleahs_Secret_Technique_Crit_710,4464926,8.18%,
Dungeons-Slice,Diamantine_Voidcore_Prepull_NoMana_704,4463291,8.14%,
Dungeons-Slice,Elemental_Focus_Stone_704,4462401,8.12%,
Dungeons-Slice,Soleahs_Secret_Technique_Versatility_710,4461909,8.11%,
Dungeons-Slice,Astral_Gladiators_Insignia_of_Alacrity_704,4456159,7.97%,
Dungeons-Slice,Harvesters_Edict_20%_723,4455638,7.96%,
Dungeons-Slice,Naazindhris_Mystic_Lash_723,4454908,7.94%,
Dungeons-Slice,Soleahs_Secret_Technique_Mastery_710,4454726,7.94%,
Dungeons-Slice,Diamantine_Voidcore_704,4452877,7.89%,
Dungeons-Slice,Flare_of_the_Heavens_704,4452179,7.87%,
Dungeons-Slice,Astral_Antenna_704,4443959,7.68%,
Dungeons-Slice,Mereldars_Toll_723,4438339,7.54%,
Dungeons-Slice,Diamantine_Voidcore_Prepull_NoMana_691,4429121,7.32%,
Dungeons-Slice,Gigazaps_Zap_Cap_710,4426623,7.26%,
Dungeons-Slice,Diamantine_Voidcore_691,4421810,7.14%,
Dungeons-Slice,Naazindhris_Mystic_Lash_710,4418618,7.06%,
Dungeons-Slice,House_of_Cards_684,4417788,7.04%,
Dungeons-Slice,Harvesters_Edict_20%_710,4416471,7.01%,
Dungeons-Slice,Astral_Antenna_691,4415989,7.00%,
Dungeons-Slice,Soulbreakers_Sigil_710,4414368,6.96%,
Dungeons-Slice,Sunblood_Amethyst_723,4410622,6.87%,
Dungeons-Slice,Soulbreakers_Sigil_704,4401773,6.65%,
Dungeons-Slice,Naazindhris_Mystic_Lash_704,4399268,6.59%,
Dungeons-Slice,Eye_of_Kezan_684,4398593,6.58%,
Dungeons-Slice,Mereldars_Toll_710,4398258,6.57%,
Dungeons-Slice,Bursting_Lightshard_723,4394941,6.49%,
Dungeons-Slice,Depleted_Kareshi_Battery_710,4393261,6.45%,
Dungeons-Slice,Astral_Gladiators_Badge_of_Ferocity_704,4392072,6.42%,
Dungeons-Slice,Sunblood_Amethyst_710,4388345,6.33%,
Dungeons-Slice,Perfidious_Projector_723,4382377,6.18%,
Dungeons-Slice,Screams_of_a_Forgotten_Sky_723,4380267,6.13%,
Dungeons-Slice,Hibernation_Crystal_691,4378582,6.09%,
Dungeons-Slice,Depleted_Kareshi_Battery_704,4376433,6.04%,
Dungeons-Slice,Naazindhris_Mystic_Lash_691,4370506,5.90%,
Dungeons-Slice,Automatic_Footbomb_Dispenser_710,4368785,5.85%,
Dungeons-Slice,Bursting_Lightshard_710,4366764,5.81%,
Dungeons-Slice,Screams_of_a_Forgotten_Sky_710,4364445,5.75%,
Dungeons-Slice,Miniscule_Mailemental_in_an_Envelope_723,4364174,5.74%,
Dungeons-Slice,Perfidious_Projector_710,4362634,5.71%,
Dungeons-Slice,Variable_Pulse_Lightning_Capacitor_704,4360408,5.65%,
Dungeons-Slice,Perfidious_Projector_704,4356661,5.56%,
Dungeons-Slice,Screams_of_a_Forgotten_Sky_704,4354963,5.52%,
Dungeons-Slice,Automatic_Footbomb_Dispenser_704,4353386,5.48%,
Dungeons-Slice,Miniscule_Mailemental_in_an_Envelope_710,4353375,5.48%,
Dungeons-Slice,Perfidious_Projector_691,4334843,5.03%,
Dungeons-Slice,Screams_of_a_Forgotten_Sky_691,4333949,5.01%,
Dungeons-Slice,Vanquished_Clutches_of_Yogg_Saron_704,4224431,2.36%,
Dungeons-Slice,Chaotic_Nethergate_710,4221138,2.28%,
Dungeons-Slice,Chaotic_Nethergate_704,4208778,1.98%,
Dungeons-Slice,Base,4127166,0.00%,
